epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episodes,test/info_reward_ctrl_max,test/info_reward_ctrl_mean,test/info_reward_ctrl_min,test/info_reward_run_max,test/info_reward_run_mean,test/info_reward_run_min,test/reward_per_eps,test/steps,train/episodes,train/info_reward_ctrl_max,train/info_reward_ctrl_mean,train/info_reward_ctrl_min,train/info_reward_run_max,train/info_reward_run_mean,train/info_reward_run_min,train/reward_per_eps,train/steps
0,nan,nan,0.061221503,2.4762733,10,-0.03866058035715034,-0.08543579933504948,-0.34527666268764545,1.014675398735468,0.0023544503289387496,-0.9277641233639068,-83.08134900611071,10000,6,-0.2913742076794363,-0.2913742076794363,-0.2913742076794363,0.0181548166237998,0.0181548166237998,0.0181548166237998,nan,6000
1,nan,nan,0.07155826,2.321695,20,-0.02286694396116621,-0.33086520136372194,-0.5934429547884147,3.1048934848053378,0.6204345478293691,-1.5119463344442075,289.5693464656473,20000,7,-0.39402025456550216,-0.39402025456550216,-0.39402025456550216,0.0009208122151236193,0.0009208122151236193,0.0009208122151236193,nan,7000
2,nan,nan,0.08999009,2.5291028,30,-0.043051970911133775,-0.432659056928491,-0.5961901138969549,2.9439781404477294,0.021262308163766973,-2.3340638484924714,-411.39674876472407,30000,8,-0.4111751870983177,-0.4111751870983177,-0.4111751870983177,0.64521835842802,0.64521835842802,0.64521835842802,nan,8000
3,nan,nan,0.104476176,2.736981,40,-0.10029118594334226,-0.4675460302289779,-0.5991055801550165,3.388278896268204,0.9806339979030552,-1.3302545634945773,513.0879676740772,40000,9,-0.41340796639077754,-0.41340796639077754,-0.41340796639077754,0.8494269778227309,0.8494269778227309,0.8494269778227309,nan,9000
4,nan,nan,0.11764964,2.9196503,50,-0.05204653884439783,-0.40155815629239666,-0.6000000000000001,3.928933047140797,0.0414491652255013,-4.043745181054756,-360.1089910668953,50000,10,-0.4117175179608163,-0.4117175179608163,-0.4117175179608163,0.8569157631528466,0.8569157631528466,0.8569157631528466,nan,10000
5,nan,nan,0.12461896,3.035271,60,-0.09075743262487454,-0.43861863572425763,-0.5999809989419319,4.20705215580135,0.7641456373238943,-2.310305703508977,325.5270015996366,60000,11,-0.4028619456404197,-0.4028619456404197,-0.4028619456404197,0.9870796851114547,0.9870796851114547,0.9870796851114547,nan,11000
6,nan,nan,0.13240702,3.106372,70,-0.05790772095609667,-0.43255520466556874,-0.6000000000000001,4.973263978190126,1.0583355011760955,-3.2868992035806843,625.7802965105269,70000,12,-0.3581410662570402,-0.3581410662570402,-0.3581410662570402,1.144592379878694,1.144592379878694,1.144592379878694,nan,12000
7,nan,nan,0.12814343,3.1580822,80,-0.12236428782922842,-0.4794890955523566,-0.5999999284744391,4.668004742995464,1.372076156889887,-2.2202296148308953,892.5870613375306,80000,13,-0.452765286894439,-0.452765286894439,-0.452765286894439,1.443828316402636,1.443828316402636,1.443828316402636,nan,13000
8,nan,nan,0.13322769,3.226354,90,-0.15146545358891378,-0.4733639907201047,-0.6000000000000001,4.754572744982113,1.0951230004947974,-2.485651898147907,621.7590097746928,90000,14,-0.3931041779133698,-0.3931041779133698,-0.3931041779133698,1.2915462038458088,1.2915462038458088,1.2915462038458088,nan,14000
9,nan,nan,0.13178721,3.2528322,100,-0.08088053999243257,-0.4791714052835548,-0.5999994397171239,5.056264319794863,1.9333989402976335,-1.3770212674955373,1454.2275350140787,100000,15,-0.445882519000203,-0.445882519000203,-0.445882519000203,0.8845459479300805,0.8845459479300805,0.8845459479300805,nan,15000
10,nan,nan,0.130683,3.279227,110,-0.13561539946572188,-0.5117960129530149,-0.6000000000000001,5.873599147636668,2.272075086950179,-1.794218518541868,1760.2790739971642,110000,16,-0.47716478144267815,-0.47716478144267815,-0.47716478144267815,1.2993813945806731,1.2993813945806731,1.2993813945806731,nan,16000
