epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.5169371,2.3714201,0.263297,1.2395824,20.0,-0.81787825,0.0,40.0,0.0
1,0.36451313,1.9187586,0.17862047,1.0286165,40.0,-0.46347356,0.0,80.0,0.0
2,0.22294256,1.7934628,0.106507,0.9637479,60.0,-0.2645076,0.0,120.0,0.0
3,0.1763713,1.6663363,0.08432573,0.9051715,80.0,-0.41484207,0.05,160.0,0.05
4,0.1390605,1.6047688,0.06540103,0.87553847,100.0,-0.75238585,0.0,200.0,0.0
5,0.14617948,1.5348738,0.067859285,0.8454951,120.0,-0.045225848,0.0,240.0,0.025
6,0.13017994,1.4668338,0.06071166,0.8151448,140.0,-0.3462489,0.05,280.0,0.0
7,0.13600346,1.4304764,0.0637095,0.80031824,160.0,-0.43129748,0.0,320.0,0.05
8,0.1294882,1.3891649,0.06221164,0.787917,180.0,0.65490043,0.05,360.0,0.075
9,0.11624001,1.3437506,0.05665926,0.76968884,200.0,1.5435476,0.15,400.0,0.0
10,0.11930442,1.3038244,0.058790486,0.755687,220.0,1.3843212,0.05,440.0,0.075
11,0.11038698,1.264712,0.055198155,0.7381151,240.0,1.6178265,0.2,480.0,0.1
12,0.10095089,1.2310189,0.05051704,0.72408926,260.0,2.6882339,0.1,520.0,0.175
13,0.0957914,1.2013654,0.048773,0.71318054,280.0,3.2581534,0.0,560.0,0.025
14,0.08467179,1.173145,0.043334085,0.70185626,300.0,5.356597,0.0,600.0,0.05
15,0.078760125,1.1487558,0.04075943,0.6911647,320.0,5.719954,0.05,640.0,0.05
16,0.07564067,1.1271305,0.040247492,0.68202037,340.0,8.296443,0.05,680.0,0.0
17,0.07518777,1.1034352,0.04030154,0.66968596,360.0,12.185598,0.05,720.0,0.0
18,0.074302584,1.0830252,0.04029957,0.65859777,380.0,15.065671,0.05,760.0,0.05
19,0.07188195,1.0641441,0.03923074,0.64829934,400.0,18.787167,0.0,800.0,0.0
20,0.0643907,1.0481787,0.0353954,0.63978314,420.0,15.912457,0.0,840.0,0.0
21,0.061605345,1.0327003,0.034226693,0.6315669,440.0,18.823017,0.05,880.0,0.0
22,0.05965139,1.0190471,0.033062413,0.62420493,460.0,19.023151,0.0,920.0,0.0
23,0.061484635,1.00333,0.034530967,0.6149988,480.0,19.385754,0.0,960.0,0.0
24,0.055854328,0.98994005,0.03088591,0.6071733,500.0,20.77959,0.0,1000.0,0.0
