epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.561573,5.2526307,0.2672682,2.6756327,20.0,-6.1919603,0.0,40.0,0.0
1,0.45051396,5.0046835,0.22280528,2.5359914,40.0,-5.3189697,0.0,80.0,0.0
2,0.13876124,4.7308245,0.06699666,2.390629,60.0,-6.9549065,0.0,120.0,0.0
3,0.0872038,4.462055,0.0427893,2.25652,80.0,-6.3844934,0.0,160.0,0.0
4,0.07134287,4.2127776,0.038573682,2.1294723,100.0,-4.962042,0.0,200.0,0.0
5,0.14285451,3.987875,0.06921904,2.0173516,120.0,-7.4721437,0.0,240.0,0.0
6,0.189484,3.818345,0.09225449,1.9315264,140.0,-4.107815,0.0,280.0,0.0
7,0.2228702,3.6545734,0.10733609,1.8509402,160.0,-3.8046317,0.0,320.0,0.0
8,0.22343051,3.4980826,0.10930595,1.7759233,180.0,-1.4955475,0.05,360.0,0.0
9,0.22427312,3.3945227,0.11023534,1.7279387,200.0,0.5070848,0.1,400.0,0.0
10,0.22335227,3.2724037,0.11177744,1.6716356,220.0,1.0913522,0.35,440.0,0.025
11,0.20134878,3.1540425,0.10141268,1.6170771,240.0,2.2049677,0.25,480.0,0.0
12,0.18496552,3.038567,0.0934931,1.5628521,260.0,3.9109223,0.3,520.0,0.175
13,0.17083994,2.9341125,0.08662977,1.5142354,280.0,3.8364823,0.4,560.0,0.225
14,0.1544916,2.8395321,0.0782592,1.4692531,300.0,4.3810945,0.7,600.0,0.275
15,0.1414022,2.7543538,0.07156154,1.4288082,320.0,4.4015465,0.7,640.0,0.35
16,0.13129053,2.6765099,0.06682217,1.3914409,340.0,4.7288084,0.8,680.0,0.5
17,0.12479703,2.6043181,0.06343006,1.3564583,360.0,5.124303,1.0,720.0,0.4
18,0.11809434,2.5381064,0.059996307,1.3244345,380.0,5.481739,1.0,760.0,0.6
19,0.113141716,2.4774876,0.057295613,1.2949846,400.0,5.83619,0.95,800.0,0.55
20,0.10531198,2.4219143,0.05367271,1.2681068,420.0,5.9941907,0.8,840.0,0.35
21,0.10058041,2.3698876,0.050798334,1.2437122,440.0,6.035972,1.0,880.0,0.675
22,0.097537294,2.3210301,0.049281884,1.2205065,460.0,6.5803003,1.0,920.0,0.3
23,0.09415116,2.2752786,0.04738764,1.1988966,480.0,6.9569283,1.0,960.0,0.4
24,0.09268461,2.2319243,0.046594378,1.1781042,500.0,7.2044272,1.0,1000.0,0.475
