epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.2304892,1.4190257,0.110327154,0.76472294,20.0,-0.5045146,0.0,40.0,0.0
1,-0.0003013909,1.28932,0.0024673697,0.7041079,40.0,-0.4812221,0.0,80.0,0.0
2,-0.027816072,1.2368474,-0.010291326,0.6813719,60.0,-0.2391973,0.05,120.0,0.0
3,-0.03881561,1.2156463,-0.018494248,0.67145455,80.0,-0.09516977,0.0,160.0,0.025
4,-0.034750614,1.2317764,-0.014742212,0.6841099,100.0,-0.19167057,0.2,200.0,0.0
5,-0.04494991,1.2160711,-0.018541768,0.679893,120.0,-0.26580685,0.0,240.0,0.0
6,-0.05644909,1.1848818,-0.025836684,0.67410344,140.0,0.41938132,0.45,280.0,0.025
7,-0.046156514,1.1570904,-0.020455804,0.66557074,160.0,0.8508304,0.35,320.0,0.05
8,-0.049145594,1.129973,-0.022770684,0.6592942,180.0,1.0573606,0.5,360.0,0.05
9,-0.028436936,1.098785,-0.01293662,0.64985317,200.0,1.090296,0.75,400.0,0.15
10,-0.030592274,1.0670445,-0.01410619,0.6413175,220.0,1.3078222,0.65,440.0,0.25
11,-0.020984076,1.0362409,-0.009504439,0.63042074,240.0,1.7472194,0.8,480.0,0.275
12,-0.017527327,1.0148189,-0.007811215,0.6254272,260.0,2.190108,1.0,520.0,0.2
13,-0.011976041,0.99316674,-0.0050898176,0.6184106,280.0,2.1946428,0.7,560.0,0.3
14,-0.008897547,0.9720118,-0.0035211109,0.6103244,300.0,2.651733,0.95,600.0,0.5
15,-0.009997476,0.9551861,-0.004025342,0.6054845,320.0,2.6451087,1.0,640.0,0.425
16,-0.016126584,0.93576336,-0.007446969,0.5969578,340.0,2.9122586,0.95,680.0,0.675
17,-0.015098643,0.9200412,-0.0068503246,0.5913124,360.0,3.085306,1.0,720.0,0.5
18,-0.014387198,0.90622216,-0.0063629225,0.58683217,380.0,3.4280992,1.0,760.0,0.65
19,-0.01346672,0.8943571,-0.0060754046,0.58389443,400.0,3.638429,1.0,800.0,0.5
20,-0.011664402,0.883878,-0.005165181,0.57998335,420.0,3.8986847,1.0,840.0,0.525
21,-0.007385064,0.8742418,-0.0028388426,0.57675517,440.0,3.980592,1.0,880.0,0.65
22,-0.0020881146,0.8648214,-0.00034421124,0.5731056,460.0,4.1618423,1.0,920.0,0.625
23,-0.00014961511,0.8552419,0.0005195299,0.56930053,480.0,4.324155,1.0,960.0,0.625
24,0.0036452767,0.84583634,0.0023475988,0.5653861,500.0,4.69277,1.0,1000.0,0.575
