epoch,loss
0,214.89351
1,56.768414
2,41.215664
3,33.508728
4,28.574408
5,25.230783
6,22.481253
7,20.132795
8,18.016975
9,15.5312605
10,13.50347
11,10.976466
12,8.85342
13,6.9080253
14,5.385717
15,4.1231675
16,3.1205256
17,2.4061396
18,1.8040587
19,1.4141904
20,1.0788306
21,0.8700163
22,0.68868303
23,0.59020144
24,0.51826936
25,0.4614669
26,0.4027742
27,0.36713317
28,0.34523335
29,0.30319926
30,0.28791803
31,0.27471456
32,0.26170954
33,0.25081888
34,0.2270782
35,0.22489928
36,0.20753576
37,0.19665521
38,0.1988234
39,0.20081569
40,0.17987478
41,0.17421657
42,0.17504014
43,0.15903677
44,0.15288807
45,0.15621269
46,0.15643288
47,0.15402918
48,0.1389755
49,0.13517404
