epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.070561364,0.7799821,0.067146234,0.68961096,20.0,1.2088522,0.7,40.0,0.05
1,0.023623575,0.68109787,0.021255963,0.6133622,40.0,1.4537098,0.75,80.0,0.125
2,-0.000116016716,0.64376104,-0.0100947805,0.57998383,60.0,1.3893995,0.8,120.0,0.025
3,-0.023185693,0.62104654,-0.029783148,0.5644938,80.0,1.5029184,0.7,160.0,0.1
4,-0.033101108,0.60949063,-0.038139276,0.5588015,100.0,1.5982882,1.0,200.0,0.1
5,-0.03228002,0.5973145,-0.036800425,0.5496328,120.0,1.4539392,0.85,240.0,0.075
6,-0.030495707,0.59421015,-0.033958994,0.5472127,140.0,1.5551088,1.0,280.0,0.175
7,-0.03413939,0.5910614,-0.0357195,0.54545534,160.0,1.4620143,0.85,320.0,0.175
8,-0.031421974,0.5872475,-0.03219579,0.5410273,180.0,1.594064,0.9,360.0,0.1
9,-0.033954717,0.5798193,-0.027221957,0.5351518,200.0,1.5754174,1.0,400.0,0.175
10,-0.021163825,0.57766247,-0.012365449,0.5348613,220.0,1.4815428,0.95,440.0,0.1
11,-0.02878373,0.57157737,-0.021298647,0.5293367,240.0,1.5903412,0.75,480.0,0.175
12,-0.030718353,0.5729368,-0.02284211,0.53083336,260.0,1.6412777,0.95,520.0,0.15
13,-0.029246043,0.5693172,-0.021970943,0.5262705,280.0,1.5995218,1.0,560.0,0.075
14,-0.030292278,0.56653315,-0.021067634,0.5236431,300.0,1.6554422,1.0,600.0,0.15
15,-0.031882174,0.56664944,-0.02284229,0.5232008,320.0,1.5755837,1.0,640.0,0.2
16,-0.035474326,0.56521595,-0.0270154,0.52322006,340.0,1.6017063,1.0,680.0,0.2
17,-0.03229288,0.5610839,-0.025697384,0.51958954,360.0,1.6093762,1.0,720.0,0.2
18,-0.030318517,0.5597719,-0.024040282,0.52040046,380.0,1.5630419,1.0,760.0,0.125
19,-0.027474362,0.5607377,-0.021816622,0.52163005,400.0,1.6631918,1.0,800.0,0.275
