epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.034658995,0.6646513,0.045019805,0.59896564,20.0,0.63820934,0.7,40.0,0.125
1,0.010055319,0.6224959,0.015315708,0.5667819,40.0,0.66792184,0.5,80.0,0.1
2,-0.0053541474,0.60938,-0.009842688,0.5527241,60.0,0.59427345,0.5,120.0,0.15
3,-0.024607882,0.59618306,-0.026186911,0.54613817,80.0,0.6319402,0.75,160.0,0.1
4,-0.029904831,0.5922822,-0.031113733,0.546476,100.0,0.6605737,0.75,200.0,0.175
5,-0.028887589,0.58500105,-0.029790517,0.5414325,120.0,0.6100826,0.95,240.0,0.175
6,-0.025214512,0.58440125,-0.025744854,0.5412195,140.0,0.6595151,0.9,280.0,0.3
7,-0.028112996,0.5829604,-0.02677518,0.54076016,160.0,0.6362305,0.95,320.0,0.125
8,-0.024710758,0.5815083,-0.022759505,0.5381596,180.0,0.7122856,0.95,360.0,0.15
9,-0.027249997,0.5753368,-0.017837102,0.5331248,200.0,0.712672,1.0,400.0,0.175
10,-0.01458074,0.57339346,-0.003036879,0.53289044,220.0,0.6780793,1.0,440.0,0.15
11,-0.022250045,0.5684843,-0.012188754,0.52856416,240.0,0.8068463,1.0,480.0,0.175
12,-0.024314199,0.57026255,-0.013844393,0.530402,260.0,0.8539362,1.0,520.0,0.175
13,-0.022368135,0.56697154,-0.012478261,0.52616704,280.0,0.8126441,1.0,560.0,0.2
14,-0.023842953,0.5648514,-0.011924873,0.5243124,300.0,0.86300546,1.0,600.0,0.2
15,-0.026334753,0.565305,-0.01461437,0.52412045,320.0,0.81000805,1.0,640.0,0.25
16,-0.030420262,0.5638333,-0.019388733,0.5240189,340.0,0.8312718,1.0,680.0,0.25
17,-0.027496366,0.5601254,-0.018441174,0.52076757,360.0,0.8380907,1.0,720.0,0.2
18,-0.025694683,0.5589199,-0.017116275,0.52169204,380.0,0.86259747,1.0,760.0,0.175
19,-0.023134153,0.55989116,-0.015375877,0.522928,400.0,0.91622275,1.0,800.0,0.275
