epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.042474497,0.5624814,0.048037134,0.555256,20.0,-0.028368423,0.05,40.0,0.0
1,0.032306314,0.5575191,0.043398976,0.5576525,40.0,-0.035914622,0.25,80.0,0.0
2,0.010432026,0.5744348,0.013681537,0.572092,60.0,-0.02237108,0.3,120.0,0.025
3,-0.011695471,0.56581986,-0.009147519,0.5642184,80.0,0.027892018,0.75,160.0,0.05
4,-0.014632484,0.56928027,-0.013398113,0.5614837,100.0,-0.02809388,0.55,200.0,0.1
5,-0.015422724,0.5615871,-0.012978184,0.55602336,120.0,-0.05290722,0.4,240.0,0.05
6,-0.018087342,0.554408,-0.017855158,0.5503235,140.0,0.04982818,0.7,280.0,0.125
7,-0.012142675,0.5452847,-0.011014024,0.54144377,160.0,0.11039553,0.8,320.0,0.05
8,-0.0106542725,0.5450019,-0.0038010655,0.53905153,180.0,0.12879947,0.95,360.0,0.1
9,0.0018680906,0.5395653,0.0049175583,0.5313126,200.0,0.08897137,0.85,400.0,0.1
10,-0.0018775794,0.53810096,-0.0013434109,0.5301256,220.0,0.11724462,1.0,440.0,0.275
11,0.0026313276,0.5330478,0.0017026942,0.52362436,240.0,0.16990422,1.0,480.0,0.15
12,0.0013802252,0.5359961,-2.4450477e-05,0.5242255,260.0,0.25948113,1.0,520.0,0.1
13,0.0022745105,0.5371715,-0.0015311788,0.5252423,280.0,0.23519973,1.0,560.0,0.175
14,0.0026813736,0.53595877,-0.0008542342,0.5224321,300.0,0.30662003,1.0,600.0,0.2
15,-0.0020023813,0.5377365,-0.0075450335,0.5242412,320.0,0.2763222,1.0,640.0,0.225
16,-0.009440279,0.5355284,-0.013703781,0.52194995,340.0,0.30591413,1.0,680.0,0.375
17,-0.008040266,0.5337626,-0.013892284,0.5207342,360.0,0.31413573,1.0,720.0,0.125
18,-0.0075821416,0.53172195,-0.016541652,0.5170323,380.0,0.37849036,1.0,760.0,0.225
19,-0.00665864,0.53190243,-0.014358961,0.5154508,400.0,0.4161542,1.0,800.0,0.25
