epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.0,1.0,0.0,1.0,20.0,-2.300071,0.0,40.0,0.0
1,0.0,1.0,0.0,1.0,40.0,-2.7172072,0.0,80.0,0.0
2,0.0,1.0,0.0,1.0,60.0,-2.9587893,0.0,120.0,0.0
3,0.0,1.0,0.0,1.0,80.0,-2.8495765,0.0,160.0,0.0
4,0.0,1.0,0.0,1.0,100.0,-2.9665782,0.0,200.0,0.0
5,0.0,1.0,0.0,1.0,120.0,-3.94406,0.0,240.0,0.0
6,0.0,1.0,0.0,1.0,140.0,-3.8467853,0.1,280.0,0.0
7,0.0,1.0,0.0,1.0,160.0,-2.8967454,0.15,320.0,0.0
8,0.0,1.0,0.0,1.0,180.0,-2.099825,0.35,360.0,0.0
9,0.0,1.0,0.0,1.0,200.0,-2.6276128,0.4,400.0,0.025
10,0.0,1.0,0.0,1.0,220.0,-2.3111358,0.45,440.0,0.075
11,0.0,1.0,0.0,1.0,240.0,-2.24504,0.55,480.0,0.1
12,0.0,1.0,0.0,1.0,260.0,-2.1108353,0.8,520.0,0.125
13,0.0,1.0,0.0,1.0,280.0,-2.4798222,0.85,560.0,0.25
14,0.0,1.0,0.0,1.0,300.0,-2.0420609,0.55,600.0,0.1
15,0.0,1.0,0.0,1.0,320.0,-2.227381,0.6,640.0,0.275
16,0.0,1.0,0.0,1.0,340.0,-2.2433577,1.0,680.0,0.3
17,0.0,1.0,0.0,1.0,360.0,-1.6678303,1.0,720.0,0.275
18,0.0,1.0,0.0,1.0,380.0,-1.9918346,0.9,760.0,0.15
19,0.0,1.0,0.0,1.0,400.0,-1.9355434,0.95,800.0,0.425
20,0.0,1.0,0.0,1.0,420.0,-2.1230645,1.0,840.0,0.175
21,0.0,1.0,0.0,1.0,440.0,-2.1577659,0.75,880.0,0.225
22,0.0,1.0,0.0,1.0,460.0,-2.2266755,1.0,920.0,0.25
23,0.0,1.0,0.0,1.0,480.0,-2.1676872,1.0,960.0,0.25
24,0.0,1.0,0.0,1.0,500.0,-2.1616626,1.0,1000.0,0.425
25,0.0,1.0,0.0,1.0,520.0,-2.0507174,1.0,1040.0,0.275
26,0.0,1.0,0.0,1.0,540.0,-2.4706502,0.95,1080.0,0.2
27,0.0,1.0,0.0,1.0,560.0,-2.1888433,1.0,1120.0,0.45
28,0.0,1.0,0.0,1.0,580.0,-2.1014917,1.0,1160.0,0.375
29,0.0,1.0,0.0,1.0,600.0,-2.200256,1.0,1200.0,0.325
