epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.0,1.0,0.0,1.0,20.0,-2.6986387,0.0,40.0,0.0
1,0.0,1.0,0.0,1.0,40.0,-2.9168823,0.0,80.0,0.0
2,0.0,1.0,0.0,1.0,60.0,-3.5243294,0.0,120.0,0.0
3,0.0,1.0,0.0,1.0,80.0,-3.1118214,0.0,160.0,0.0
4,0.0,1.0,0.0,1.0,100.0,-4.3214264,0.0,200.0,0.0
5,0.0,1.0,0.0,1.0,120.0,-2.4558463,0.05,240.0,0.0
6,0.0,1.0,0.0,1.0,140.0,-2.940491,0.2,280.0,0.0
7,0.0,1.0,0.0,1.0,160.0,-2.1117797,0.1,320.0,0.025
8,0.0,1.0,0.0,1.0,180.0,-3.028107,0.35,360.0,0.1
9,0.0,1.0,0.0,1.0,200.0,-3.0962985,0.3,400.0,0.1
10,0.0,1.0,0.0,1.0,220.0,-2.2578409,0.45,440.0,0.025
11,0.0,1.0,0.0,1.0,240.0,-2.6001198,0.7,480.0,0.05
12,0.0,1.0,0.0,1.0,260.0,-2.1942353,0.85,520.0,0.15
13,0.0,1.0,0.0,1.0,280.0,-2.278884,0.9,560.0,0.15
14,0.0,1.0,0.0,1.0,300.0,-2.5517125,0.25,600.0,0.175
15,0.0,1.0,0.0,1.0,320.0,-2.4807823,1.0,640.0,0.125
16,0.0,1.0,0.0,1.0,340.0,-2.0693762,0.95,680.0,0.2
17,0.0,1.0,0.0,1.0,360.0,-2.6489496,1.0,720.0,0.2
18,0.0,1.0,0.0,1.0,380.0,-2.1969845,1.0,760.0,0.1
19,0.0,1.0,0.0,1.0,400.0,-2.156732,1.0,800.0,0.125
20,0.0,1.0,0.0,1.0,420.0,-2.2721505,0.85,840.0,0.2
21,0.0,1.0,0.0,1.0,440.0,-2.396507,1.0,880.0,0.25
22,0.0,1.0,0.0,1.0,460.0,-2.0500195,0.95,920.0,0.075
23,0.0,1.0,0.0,1.0,480.0,-2.4324524,1.0,960.0,0.25
24,0.0,1.0,0.0,1.0,500.0,-2.7621555,1.0,1000.0,0.25
25,0.0,1.0,0.0,1.0,520.0,-2.2477434,1.0,1040.0,0.175
26,0.0,1.0,0.0,1.0,540.0,-3.0505447,1.0,1080.0,0.275
27,0.0,1.0,0.0,1.0,560.0,-2.444747,1.0,1120.0,0.25
28,0.0,1.0,0.0,1.0,580.0,-2.538654,1.0,1160.0,0.35
29,0.0,1.0,0.0,1.0,600.0,-2.3709118,0.7,1200.0,0.325
