loss,step,epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
[13.413828, 13.325169, 13.610916, 13.45167],0,,,,,,,,,,
[0.2667823, 0.22796507, 0.27748048, 0.26241297],100,,,,,,,,,,
[0.06063647, 0.05355051, 0.053756405, 0.04779221],200,,,,,,,,,,
[0.03441603, 0.020650037, 0.030898083, 0.029489368],300,,,,,,,,,,
[0.025123395, 0.017450988, 0.017225623, 0.019932153],400,,,,,,,,,,
[0.010783667, 0.010388067, 0.01077844, 0.011147136],500,,,,,,,,,,
[0.011601705, 0.010662874, 0.010980153, 0.010581367],600,,,,,,,,,,
[0.006047776, 0.005623139, 0.007450401, 0.0074671526],700,,,,,,,,,,
[0.006502369, 0.006579389, 0.00763978, 0.006616627],800,,,,,,,,,,
[0.0042978013, 0.004660246, 0.004491857, 0.0031959307],900,,,,,,,,,,
[0.0038187276, 0.0039725676, 0.004544605, 0.0035998],1000,,,,,,,,,,
[0.004412479, 0.0040803747, 0.007442654, 0.005257008],1100,,,,,,,,,,
[0.0038761296, 0.0044226856, 0.0035869638, 0.0036133162],1200,,,,,,,,,,
[0.006976838, 0.0035199644, 0.0053486926, 0.004087788],1300,,,,,,,,,,
[0.004170811, 0.0034604194, 0.0068701953, 0.0036015883],1400,,,,,,,,,,
[0.004961621, 0.003919307, 0.004553574, 0.003350316],1500,,,,,,,,,,
[0.0029780515, 0.003854788, 0.0041970406, 0.004389925],1600,,,,,,,,,,
[0.003248619, 0.0037205247, 0.007382884, 0.0037684804],1700,,,,,,,,,,
[0.0062743435, 0.0038643861, 0.0062018386, 0.0038868876],1800,,,,,,,,,,
[0.003689324, 0.0038762111, 0.0030902252, 0.0026249257],1900,,,,,,,,,,
,,0,0.0,1.0,0.0,1.0,20.0,-2.157947,0.05,44.0,0.05
,,1,0.0,1.0,0.0,1.0,40.0,-2.2604084,0.05,84.0,0.025
,,2,0.0,1.0,0.0,1.0,60.0,-2.5887394,0.2,124.0,0.1
,,3,0.0,1.0,0.0,1.0,80.0,-2.8042917,0.25,164.0,0.15
,,4,0.0,1.0,0.0,1.0,100.0,-2.5447626,0.35,204.0,0.15
,,5,0.0,1.0,0.0,1.0,120.0,-3.0179148,0.35,244.0,0.2
,,6,0.0,1.0,0.0,1.0,140.0,-2.92814,0.45,284.0,0.2
,,7,0.0,1.0,0.0,1.0,160.0,-2.8686674,0.4,324.0,0.225
,,8,0.0,1.0,0.0,1.0,180.0,-2.6823847,0.65,364.0,0.225
,,9,0.0,1.0,0.0,1.0,200.0,-2.5833101,0.5,404.0,0.2
,,10,0.0,1.0,0.0,1.0,220.0,-2.6044626,0.55,444.0,0.1
,,11,0.0,1.0,0.0,1.0,240.0,-2.8994555,0.6,484.0,0.15
,,12,0.0,1.0,0.0,1.0,260.0,-2.7250845,0.85,524.0,0.15
,,13,0.0,1.0,0.0,1.0,280.0,-3.5068762,0.55,564.0,0.25
,,14,0.0,1.0,0.0,1.0,300.0,-2.4105675,1.0,604.0,0.25
,,15,0.0,1.0,0.0,1.0,320.0,-2.790039,0.9,644.0,0.275
,,16,0.0,1.0,0.0,1.0,340.0,-2.7271588,1.0,684.0,0.2
,,17,0.0,1.0,0.0,1.0,360.0,-3.137863,1.0,724.0,0.35
,,18,0.0,1.0,0.0,1.0,380.0,-3.1591885,0.8,764.0,0.275
,,19,0.0,1.0,0.0,1.0,400.0,-3.2162547,0.95,804.0,0.375
,,20,0.0,1.0,0.0,1.0,420.0,-2.6168904,1.0,844.0,0.225
,,21,0.0,1.0,0.0,1.0,440.0,-2.4810326,0.9,884.0,0.375
,,22,0.0,1.0,0.0,1.0,460.0,-2.720734,1.0,924.0,0.375
,,23,0.0,1.0,0.0,1.0,480.0,-2.8987424,0.9,964.0,0.4
,,24,0.0,1.0,0.0,1.0,500.0,-2.4546916,1.0,1004.0,0.325
,,25,0.0,1.0,0.0,1.0,520.0,-2.3300447,0.95,1044.0,0.325
,,26,0.0,1.0,0.0,1.0,540.0,-2.7469273,1.0,1084.0,0.275
,,27,0.0,1.0,0.0,1.0,560.0,-2.7447443,0.95,1124.0,0.25
,,28,0.0,1.0,0.0,1.0,580.0,-2.6734643,1.0,1164.0,0.325
,,29,0.0,1.0,0.0,1.0,600.0,-2.8831885,1.0,1204.0,0.325
