epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.0,1.0,0.0,1.0,20.0,-2.2035608,0.0,40.0,0.0
1,0.0,1.0,0.0,1.0,40.0,-2.807108,0.0,80.0,0.0
2,0.0,1.0,0.0,1.0,60.0,-3.054972,0.0,120.0,0.0
3,0.0,1.0,0.0,1.0,80.0,-2.8067393,0.0,160.0,0.0
4,0.0,1.0,0.0,1.0,100.0,-3.5611422,0.0,200.0,0.0
5,0.0,1.0,0.0,1.0,120.0,-3.1004465,0.0,240.0,0.0
6,0.0,1.0,0.0,1.0,140.0,-3.779115,0.05,280.0,0.0
7,0.0,1.0,0.0,1.0,160.0,-2.290223,0.1,320.0,0.0
8,0.0,1.0,0.0,1.0,180.0,-2.4847484,0.3,360.0,0.025
9,0.0,1.0,0.0,1.0,200.0,-2.8201723,0.3,400.0,0.025
10,0.0,1.0,0.0,1.0,220.0,-2.0273943,0.65,440.0,0.025
11,0.0,1.0,0.0,1.0,240.0,-1.642174,0.95,480.0,0.05
12,0.0,1.0,0.0,1.0,260.0,-1.701649,1.0,520.0,0.2
13,0.0,1.0,0.0,1.0,280.0,-1.6939874,0.95,560.0,0.15
14,0.0,1.0,0.0,1.0,300.0,-1.3405439,1.0,600.0,0.275
15,0.0,1.0,0.0,1.0,320.0,-1.3698918,1.0,640.0,0.375
16,0.0,1.0,0.0,1.0,340.0,-1.099941,1.0,680.0,0.275
17,0.0,1.0,0.0,1.0,360.0,-1.4373242,1.0,720.0,0.325
18,0.0,1.0,0.0,1.0,380.0,-1.4143276,0.85,760.0,0.35
19,0.0,1.0,0.0,1.0,400.0,-1.63051,1.0,800.0,0.225
20,0.0,1.0,0.0,1.0,420.0,-1.2185271,0.95,840.0,0.3
21,0.0,1.0,0.0,1.0,440.0,-1.3968729,1.0,880.0,0.3
22,0.0,1.0,0.0,1.0,460.0,-1.3959368,1.0,920.0,0.2
23,0.0,1.0,0.0,1.0,480.0,-1.5167779,1.0,960.0,0.35
24,0.0,1.0,0.0,1.0,500.0,-1.6321963,1.0,1000.0,0.375
25,0.0,1.0,0.0,1.0,520.0,-1.570309,1.0,1040.0,0.275
26,0.0,1.0,0.0,1.0,540.0,-1.0910759,1.0,1080.0,0.425
27,0.0,1.0,0.0,1.0,560.0,-1.5169985,1.0,1120.0,0.35
28,0.0,1.0,0.0,1.0,580.0,-1.492942,1.0,1160.0,0.4
29,0.0,1.0,0.0,1.0,600.0,-1.4040695,1.0,1200.0,0.35
