epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,nan,nan,0.16526382,0.33641347,5.0,0.55466706,0.0,80.0,0.0
1,nan,nan,0.16649055,0.3381761,10.0,1.0471104,0.0,160.0,0.0
2,nan,nan,0.1661481,0.3335235,15.0,1.8287636,0.0,240.0,0.0
3,nan,nan,0.16501056,0.32886362,20.0,2.5002215,0.0,320.0,0.0
4,nan,nan,0.16433957,0.32405287,25.0,3.1138308,0.0,400.0,0.0
5,nan,nan,0.1639847,0.31824875,30.0,4.0707183,0.0,480.0,0.004166666666666667
6,nan,nan,0.16523762,0.31426477,35.0,4.9806857,0.0,560.0,0.0
7,nan,nan,0.1652287,0.31111607,40.0,5.728205,0.0,640.0,0.004166666666666667
8,nan,nan,0.16520591,0.30831206,45.0,6.8374367,0.0,720.0,0.0
9,nan,nan,0.16557053,0.30552846,50.0,7.134411,0.0,800.0,0.012500000000000002
10,nan,nan,0.1649495,0.3050469,55.0,8.8777485,0.0,880.0,0.012500000000000002
11,nan,nan,0.16413082,0.30447596,60.0,8.927478,0.13333333333333333,960.0,0.020833333333333332
12,nan,nan,0.16321285,0.30633566,65.0,9.693649,0.26666666666666666,1040.0,0.049999999999999996
13,nan,nan,0.16159022,0.30875796,70.0,17.024141,0.8000000000000002,1120.0,0.04583333333333333
14,nan,nan,0.15956083,0.31092948,75.0,18.633062,0.8666666666666667,1200.0,0.09999999999999999
15,nan,nan,0.15792972,0.31212044,80.0,22.274658,0.9333333333333332,1280.0,0.18333333333333335
16,nan,nan,0.15669961,0.31206322,85.0,29.22169,1.0,1360.0,0.2708333333333333
17,nan,nan,0.15504141,0.3116714,90.0,27.057457,0.7999999999999999,1440.0,0.22916666666666666
18,nan,nan,0.15371521,0.31102258,95.0,30.937395,1.0,1520.0,0.31666666666666665
19,nan,nan,0.15236557,0.31046027,100.0,32.189747,1.0,1600.0,0.3666666666666667
20,nan,nan,0.1511933,0.31068587,105.0,35.242184,0.9333333333333332,1680.0,0.29583333333333334
21,nan,nan,0.1507868,0.31118283,110.0,32.470848,0.7333333333333334,1760.0,0.3
22,nan,nan,0.1504766,0.3119225,115.0,36.62473,0.9333333333333332,1840.0,0.32916666666666666
23,nan,nan,0.15024903,0.31223544,120.0,41.261765,1.0,1920.0,0.3
24,nan,nan,0.1502996,0.31310993,125.0,44.18306,1.0,2000.0,0.2416666666666667
25,nan,nan,0.15053096,0.31380162,130.0,44.77789,0.8000000000000002,2080.0,0.29583333333333334
26,nan,nan,0.15055667,0.31468257,135.0,45.534424,0.4000000000000001,2160.0,0.21666666666666667
27,nan,nan,0.15049629,0.3157679,140.0,49.027905,0.8000000000000002,2240.0,0.22083333333333333
28,nan,nan,0.15097526,0.3167078,145.0,52.758793,1.0,2320.0,0.23749999999999996
29,nan,nan,0.15137686,0.3177545,150.0,54.57649,1.0,2400.0,0.25833333333333336
30,nan,nan,0.15158485,0.31839436,155.0,56.81638,1.0,2480.0,0.26249999999999996
31,nan,nan,0.1515404,0.32002208,160.0,57.31842,0.9333333333333332,2560.0,0.19583333333333333
32,nan,nan,0.1514757,0.3216868,165.0,51.224476,0.4666666666666666,2640.0,0.23750000000000002
33,nan,nan,0.151491,0.32369518,170.0,60.5968,0.9333333333333332,2720.0,0.19583333333333333
34,nan,nan,0.15150464,0.32500815,175.0,43.46106,0.3333333333333333,2800.0,0.2708333333333333
35,nan,nan,0.15132505,0.32713458,180.0,61.561646,0.8666666666666667,2880.0,0.22916666666666666
36,nan,nan,0.15111247,0.32786903,185.0,61.566254,0.9333333333333332,2960.0,0.2541666666666667
37,nan,nan,0.15075448,0.3281966,190.0,63.548306,0.9333333333333332,3040.0,0.30833333333333335
38,nan,nan,0.15047917,0.32829672,195.0,53.27737,0.6000000000000001,3120.0,0.24166666666666667
39,nan,nan,0.1503056,0.32872057,200.0,57.289825,0.7333333333333334,3200.0,0.24166666666666667
40,nan,nan,0.15000674,0.32953817,205.0,62.301636,0.7333333333333334,3280.0,0.22499999999999998
41,nan,nan,0.14966115,0.3298758,210.0,59.25001,0.7333333333333334,3360.0,0.2708333333333333
42,nan,nan,0.14946792,0.33009437,215.0,57.256428,0.3333333333333333,3440.0,0.1708333333333333
43,nan,nan,0.14937505,0.33021137,220.0,61.458042,0.7333333333333334,3520.0,0.15833333333333333
44,nan,nan,0.14947729,0.3300973,225.0,58.381664,0.4666666666666666,3600.0,0.13749999999999998
45,nan,nan,0.14952938,0.33002862,230.0,55.896046,0.39999999999999997,3680.0,0.19166666666666665
46,nan,nan,0.14935508,0.32994175,235.0,63.557938,0.39999999999999997,3760.0,0.11666666666666665
47,nan,nan,0.14947696,0.32975993,240.0,58.77678,0.4666666666666666,3840.0,0.08749999999999998
48,nan,nan,0.14963937,0.32977492,245.0,62.71709,0.0,3920.0,0.06666666666666667
49,nan,nan,0.149636,0.3294943,250.0,59.71077,0.26666666666666666,4000.0,0.07083333333333335
