epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.0,0.01,-0.11458873,0.27208486,20.0,-0.24745898,0.3,20.0,0.0
1,0.0,0.01,-0.09583582,0.28509566,40.0,-0.26486677,0.75,36.0,0.1875
2,0.0,0.01,-0.07203184,0.3102987,60.0,-0.33241266,0.7,52.0,0.25
3,0.0,0.01,-0.06967339,0.30645066,80.0,-0.30559927,0.9,68.0,0.375
4,0.0,0.01,-0.05439482,0.3096189,100.0,-0.2873003,1.0,84.0,0.5
5,0.0,0.01,-0.04564118,0.3101368,120.0,-0.22830562,1.0,100.0,0.5
6,0.0,0.01,-0.039035525,0.31171426,140.0,-0.21055076,1.0,116.0,0.6875
7,0.0,0.01,-0.04096811,0.31030238,160.0,-0.17603616,1.0,132.0,0.6875
8,0.0,0.01,-0.034310747,0.3122673,180.0,-0.26998007,1.0,148.0,0.9375
9,0.0,0.01,-0.031879965,0.31065285,200.0,-0.26331636,1.0,164.0,0.5
10,0.0,0.01,-0.03169006,0.30936554,220.0,-0.24829185,1.0,180.0,0.625
11,0.0,0.01,-0.022858484,0.30857888,240.0,-0.29086703,1.0,196.0,0.5
12,0.0,0.01,-0.021830017,0.31096676,260.0,-0.23291814,1.0,212.0,0.5625
13,0.0,0.01,-0.01912489,0.30977938,280.0,-0.22904763,1.0,228.0,0.9375
14,0.0,0.01,-0.018314406,0.30605945,300.0,-0.24661198,1.0,244.0,0.625
15,0.0,0.01,-0.018457787,0.30561203,320.0,-0.23798804,1.0,260.0,0.875
16,0.0,0.01,-0.018696701,0.30495164,340.0,-0.22116308,1.0,276.0,0.625
17,0.0,0.01,-0.017647015,0.30612412,360.0,-0.2966666,1.0,292.0,0.6875
18,0.0,0.01,-0.018014729,0.3103656,380.0,-0.19498587,1.0,308.0,0.5
19,0.0,0.01,-0.017260011,0.31194067,400.0,-0.19354224,1.0,324.0,0.5
20,0.0,0.01,-0.015904829,0.30866498,420.0,-0.27397346,1.0,340.0,0.8125
21,0.0,0.01,-0.012912237,0.30778545,440.0,-0.25886974,1.0,356.0,0.6875
22,0.0,0.01,-0.01024754,0.3077757,460.0,-0.2609626,1.0,372.0,0.4375
23,0.0,0.01,-0.013588896,0.3081796,480.0,-0.25849694,1.0,388.0,0.875
24,0.0,0.01,-0.015127237,0.3080389,500.0,-0.27459234,1.0,404.0,0.4375
25,0.0,0.01,-0.014903894,0.30768567,520.0,-0.23417458,1.0,420.0,0.625
26,0.0,0.01,-0.012800313,0.3077114,540.0,-0.2105824,1.0,436.0,0.625
27,0.0,0.01,-0.015043656,0.307513,560.0,-0.24512088,1.0,452.0,0.625
28,0.0,0.01,-0.015299128,0.30810505,580.0,-0.25986022,1.0,468.0,0.625
29,0.0,0.01,-0.01445036,0.3084058,600.0,-0.22186272,1.0,484.0,0.6875
30,0.0,0.01,-0.015577463,0.30640644,620.0,-0.21042505,1.0,500.0,0.875
31,0.0,0.01,-0.015193545,0.304528,640.0,-0.23765473,1.0,516.0,0.8125
