epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.0,0.01,0.026775843,0.6552751,20.0,-0.52182275,0.15,16.0,0.125
1,0.0,0.01,0.041453965,0.5686447,40.0,-0.2462802,1.0,32.0,0.25
2,0.0,0.01,0.03980879,0.5002458,60.0,-0.29666466,1.0,48.0,0.8125
3,0.0,0.01,0.026715556,0.47703415,80.0,-0.24028642,1.0,64.0,0.5625
4,0.0,0.01,0.035464164,0.46118313,100.0,-0.26847103,1.0,80.0,0.5
5,0.0,0.01,0.031443417,0.46582058,120.0,-0.21935812,1.0,96.0,0.4375
6,0.0,0.01,0.029314367,0.44553614,140.0,-0.25168228,1.0,112.0,0.5625
7,0.0,0.01,0.03844927,0.43645215,160.0,-0.3003785,1.0,128.0,0.875
8,0.0,0.01,0.037876714,0.42755064,180.0,-0.2577582,1.0,144.0,0.5
9,0.0,0.01,0.03942628,0.411513,200.0,-0.2354691,1.0,160.0,0.9375
10,0.0,0.01,0.039362602,0.40287685,220.0,-0.17950161,1.0,176.0,0.6875
11,0.0,0.01,0.040611137,0.3952225,240.0,-0.18035693,1.0,192.0,0.75
12,0.0,0.01,0.03260541,0.38975415,260.0,-0.15691192,1.0,208.0,0.625
13,0.0,0.01,0.030709406,0.38329032,280.0,-0.20777026,1.0,224.0,0.625
14,0.0,0.01,0.021666376,0.3800774,300.0,-0.21163455,1.0,240.0,0.4375
15,0.0,0.01,0.020591509,0.37112677,320.0,-0.20186643,1.0,256.0,0.6875
16,0.0,0.01,0.015098397,0.36534277,340.0,-0.13620836,1.0,272.0,0.625
17,0.0,0.01,0.015780894,0.3581559,360.0,-0.17384072,1.0,288.0,0.5625
