epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.6987867,0.029118313,0.2766358,0.52510726,20.0,-0.57292163,0.1,20.0,0.0
1,0.69915956,0.024239488,0.2512078,0.48492822,40.0,-0.6488935,0.0,36.0,0.125
2,0.6993571,0.021203723,0.3025048,0.48665553,60.0,-0.57047737,0.5,52.0,0.125
3,0.6994794,0.019082054,0.29821676,0.47083586,80.0,-0.5436379,0.95,68.0,0.25
4,0.69956267,0.01748889,0.33121186,0.45450145,100.0,-0.44363636,1.0,84.0,0.3125
5,0.6996231,0.016232138,0.33167112,0.4471481,120.0,-0.73269176,1.0,100.0,0.625
6,0.6996688,0.0152142905,0.3377525,0.44170263,140.0,-0.45556593,1.0,116.0,0.5
7,0.6997047,0.014362858,0.3357937,0.43853205,160.0,-0.3789938,1.0,132.0,0.4375
8,0.69973356,0.013641323,0.3519301,0.4327753,180.0,-0.34763244,1.0,148.0,0.5
9,0.69975734,0.013015238,0.3589812,0.4254317,200.0,-0.59278375,1.0,164.0,0.75
10,0.6997771,0.012472695,0.35856342,0.42666563,220.0,-0.5500604,1.0,180.0,0.6875
11,0.699794,0.01198902,0.37334934,0.41976795,240.0,-0.50313866,1.0,196.0,0.3125
12,0.69980854,0.011554844,0.37674537,0.42110202,260.0,-0.5030801,1.0,212.0,0.8125
13,0.6998211,0.011169267,0.3857424,0.41742977,280.0,-0.45711794,1.0,228.0,0.6875
14,0.6998322,0.010814079,0.38298526,0.41763657,300.0,-0.57197154,1.0,244.0,0.6875
15,0.699842,0.010496628,0.38356817,0.41656297,320.0,-0.57051325,1.0,260.0,0.5625
16,0.6998507,0.010205837,0.3880729,0.41458842,340.0,-0.45511484,1.0,276.0,0.625
17,0.6998584,0.01,0.3905057,0.4154894,360.0,-0.48318356,1.0,292.0,0.75
18,0.69986546,0.01,0.38668367,0.42129263,380.0,-0.37049922,1.0,308.0,0.6875
19,0.69987184,0.01,0.38559774,0.4236863,400.0,-0.47415552,1.0,324.0,0.5625
20,0.6998776,0.01,0.38959256,0.4212452,420.0,-0.4599294,1.0,340.0,0.625
21,0.69988286,0.01,0.39480048,0.41932762,440.0,-0.46530157,1.0,356.0,0.625
22,0.6998876,0.01,0.39906096,0.41811234,460.0,-0.5296302,1.0,372.0,0.625
23,0.6998919,0.01,0.3959831,0.4208193,480.0,-0.58247995,1.0,388.0,0.625
24,0.6998959,0.01,0.3920268,0.4223762,500.0,-0.4190344,1.0,404.0,0.5625
25,0.6998996,0.01,0.39349708,0.42325005,520.0,-0.42976126,1.0,420.0,0.625
26,0.6999031,0.01,0.39543235,0.42243746,540.0,-0.556014,1.0,436.0,0.5625
27,0.6999063,0.01,0.39004135,0.42599905,560.0,-0.6060808,1.0,452.0,0.75
28,0.69990927,0.01,0.39223683,0.4251159,580.0,-0.56171095,1.0,468.0,0.8125
29,0.6999121,0.01,0.39201438,0.42457068,600.0,-0.44543648,1.0,484.0,0.75
30,0.6999147,0.01,0.38962904,0.42527172,620.0,-0.44355553,1.0,500.0,0.5625
31,0.6999172,0.01,0.39123982,0.42281455,640.0,-0.60261834,1.0,516.0,0.5625
