epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.6972762,0.043580983,0.03449667,0.65767455,20.0,-0.7576083,0.15,16.0,0.0625
1,0.69863534,0.03087824,0.08703169,0.60930914,40.0,-0.48877436,0.05,32.0,0.125
2,0.6990896,0.025228718,0.10333727,0.5652748,60.0,-0.7383071,0.0,48.0,0.0625
3,0.6993169,0.0218557,0.11755831,0.5547746,80.0,-0.58144087,0.0,64.0,0.125
4,0.6994534,0.019551838,0.15362541,0.5442283,100.0,-0.6944564,0.75,80.0,0.3125
5,0.6995444,0.017849835,0.16187729,0.5519051,120.0,-0.48172444,0.85,96.0,0.375
6,0.6996096,0.016522387,0.17882319,0.53892523,140.0,-0.66760206,0.75,112.0,0.4375
7,0.69965845,0.015451421,0.20837931,0.5370024,160.0,-0.80643475,0.75,128.0,0.5625
8,0.6996965,0.014562737,0.2160256,0.53106284,180.0,-0.5352843,0.9,144.0,0.3125
9,0.6997269,0.013812837,0.23393725,0.51625276,200.0,-0.5737368,1.0,160.0,0.6875
10,0.6997518,0.013164365,0.24632446,0.5103432,220.0,-0.46277484,1.0,176.0,0.5625
11,0.6997725,0.012603427,0.2626412,0.50192523,240.0,-0.31004682,1.0,192.0,0.4375
12,0.69979006,0.0121028265,0.2597055,0.50113964,260.0,-0.38513058,1.0,208.0,0.5625
13,0.6998051,0.011661389,0.26750073,0.49757922,280.0,-0.5431715,1.0,224.0,0.625
14,0.69981813,0.011260945,0.26296368,0.49776798,300.0,-0.4432167,1.0,240.0,0.4375
15,0.6998295,0.010901911,0.27267978,0.49220663,320.0,-0.5941572,1.0,256.0,0.75
16,0.6998396,0.010577236,0.2753347,0.48799393,340.0,-0.37269974,1.0,272.0,0.5
17,0.6998486,0.010277132,0.28750876,0.4825734,360.0,-0.53957355,1.0,288.0,0.5625
18,0.6998566,0.010006788,0.2964256,0.47766727,380.0,-0.45764685,1.0,304.0,0.25
19,0.6998638,0.01,0.30039462,0.47654518,400.0,-0.54803693,1.0,320.0,0.8125
20,0.6998703,0.01,0.3092599,0.4736817,420.0,-0.5447884,1.0,336.0,0.5625
21,0.69987625,0.01,0.31992623,0.4694095,440.0,-0.6461116,1.0,352.0,0.6875
22,0.6998817,0.01,0.3206457,0.46967688,460.0,-0.57981503,1.0,368.0,0.8125
23,0.69988644,0.01,0.3296999,0.46631244,480.0,-0.64752084,1.0,384.0,0.625
24,0.69989085,0.01,0.33485538,0.4627289,500.0,-0.5098399,1.0,400.0,0.625
25,0.69989496,0.01,0.34233528,0.46083003,520.0,-0.66387534,1.0,416.0,0.8125
26,0.6998987,0.01,0.34485546,0.45784587,540.0,-0.64336586,1.0,432.0,0.6875
27,0.69990224,0.01,0.33997902,0.4604545,560.0,-0.5795907,1.0,448.0,0.5
28,0.6999055,0.01,0.34034896,0.45874545,580.0,-0.5844678,1.0,464.0,0.6875
29,0.69990855,0.01,0.3438067,0.4572535,600.0,-0.4807202,1.0,480.0,0.5625
30,0.6999114,0.01,0.34747663,0.45443532,620.0,-0.62818736,1.0,496.0,0.5625
31,0.6999141,0.01,0.35073474,0.45368582,640.0,-0.594547,1.0,512.0,0.6875
