epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.0,0.01,-0.010235612,0.6703732,20.0,0.043673076,0.1,16.0,0.0625
1,0.0,0.01,0.004152882,0.63518715,40.0,0.3001844,0.5,32.0,0.125
2,0.0,0.01,0.010910753,0.59268546,60.0,0.31544676,0.55,48.0,0.3125
3,0.0,0.01,-0.004429467,0.59921426,80.0,0.7531364,0.65,64.0,0.5625
4,0.0,0.01,0.026352208,0.5984608,100.0,0.6353064,0.6,80.0,0.25
5,0.0,0.01,0.028639292,0.630444,120.0,0.66774166,0.5,96.0,0.3125
6,0.0,0.01,0.030418744,0.6191922,140.0,0.7836947,0.5,112.0,0.25
7,0.0,0.01,0.052994117,0.62409854,160.0,0.64490336,0.45,128.0,0.375
8,0.0,0.01,0.05216396,0.62027055,180.0,0.91033775,0.55,144.0,0.375
9,0.0,0.01,0.062403873,0.6006159,200.0,0.87740934,0.5,160.0,0.6875
10,0.0,0.01,0.060990013,0.6031435,220.0,1.6241949,0.85,176.0,0.3125
11,0.0,0.01,0.06101359,0.59099376,240.0,1.6782345,0.8,192.0,0.6875
12,0.0,0.01,0.039838314,0.5902074,260.0,1.9019349,0.9,208.0,0.5
13,0.0,0.01,0.033694655,0.5836883,280.0,1.5055486,0.6,224.0,0.5625
14,0.0,0.01,0.01781517,0.58501947,300.0,1.829106,0.7,240.0,0.5
15,0.0,0.01,0.017857518,0.5746713,320.0,1.971825,0.8,256.0,0.5625
16,0.0,0.01,0.007005124,0.56614184,340.0,2.7923563,1.0,272.0,0.625
17,0.0,0.01,0.006463817,0.5542859,360.0,2.6675045,0.95,288.0,0.625
18,0.0,0.01,0.008838308,0.5470038,380.0,2.939241,0.95,304.0,0.375
19,0.0,0.01,0.0045278994,0.54678994,400.0,2.4442446,0.75,320.0,0.75
20,0.0,0.01,0.014374032,0.54415673,420.0,3.0698795,1.0,336.0,0.4375
21,0.0,0.01,0.019434674,0.5362493,440.0,2.8408017,0.85,352.0,0.6875
22,0.0,0.01,0.016225383,0.53194475,460.0,3.4987,0.95,368.0,0.75
23,0.0,0.01,0.01882064,0.5256195,480.0,3.1971476,0.9,384.0,0.75
24,0.0,0.01,0.018149933,0.51660985,500.0,3.8822427,1.0,400.0,0.625
25,0.0,0.01,0.019297974,0.5125735,520.0,4.108239,1.0,416.0,0.6875
26,0.0,0.01,0.018074572,0.5046507,540.0,4.249772,1.0,432.0,0.8125
27,0.0,0.01,0.013277359,0.50175196,560.0,4.4283853,1.0,448.0,0.5625
28,0.0,0.01,0.011416392,0.49496862,580.0,4.4889727,1.0,464.0,0.875
29,0.0,0.01,0.012136002,0.48977122,600.0,4.548011,1.0,480.0,0.75
30,0.0,0.01,0.011484998,0.48284066,620.0,4.757436,1.0,496.0,0.6875
31,0.0,0.01,0.012584547,0.4784064,640.0,4.819474,1.0,512.0,0.8125
