epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.0,0.01,-0.00047197257,0.48591012,20.0,10.336833,0.0,20.0,0.0
1,0.0,0.01,0.09308151,0.5942473,40.0,15.438495,0.0,36.0,0.0
2,0.0,0.01,0.19845764,0.72089046,60.0,13.8624935,0.0,52.0,0.0
3,0.0,0.01,0.24731088,0.7517805,80.0,12.460709,0.0,68.0,0.0
4,0.0,0.01,0.31729198,0.79628897,100.0,11.78863,0.0,84.0,0.0
5,0.0,0.01,0.36815494,0.82047224,120.0,10.7616825,0.0,100.0,0.0
6,0.0,0.01,0.40427884,0.8360717,140.0,10.6313095,0.0,116.0,0.0
7,0.0,0.01,0.4263555,0.8398958,160.0,10.393682,0.0,132.0,0.0
8,0.0,0.01,0.46638122,0.8575512,180.0,10.111104,0.0,148.0,0.0
9,0.0,0.01,0.48830947,0.8610649,200.0,9.593445,0.0,164.0,0.0
10,0.0,0.01,0.50443643,0.8623872,220.0,9.525505,0.0,180.0,0.0
11,0.0,0.01,0.54275745,0.8762033,240.0,9.350523,0.0,196.0,0.0
12,0.0,0.01,0.55783105,0.88215625,260.0,9.245823,0.0,212.0,0.0
13,0.0,0.01,0.5822318,0.89047784,280.0,9.089661,0.0,228.0,0.0
14,0.0,0.01,0.59700334,0.88800406,300.0,8.824381,0.0,244.0,0.0
15,0.0,0.01,0.60282946,0.88657105,320.0,8.813667,0.0,260.0,0.0
16,0.0,0.01,0.61066014,0.885454,340.0,8.735353,0.0,276.0,0.0
17,0.0,0.01,0.62846136,0.89627945,360.0,8.528132,0.0,292.0,0.0
18,0.0,0.01,0.6372241,0.904211,380.0,8.49116,0.0,308.0,0.0
19,0.0,0.01,0.65030146,0.9099586,400.0,8.476877,0.0,324.0,0.0
20,0.0,0.01,0.6611926,0.9054722,420.0,8.259654,0.0,340.0,0.0
21,0.0,0.01,0.67522633,0.9071953,440.0,8.185242,0.0,356.0,0.0
22,0.0,0.01,0.6852081,0.90535766,460.0,8.101895,0.0,372.0,0.0
23,0.0,0.01,0.68531233,0.9047982,480.0,8.019644,0.0,388.0,0.0
24,0.0,0.01,0.6868555,0.9030507,500.0,7.849757,0.0,404.0,0.0625
25,0.0,0.01,0.6957083,0.90377617,520.0,8.019489,0.0,420.0,0.0
26,0.0,0.01,0.7032107,0.90379184,540.0,7.82695,0.0,436.0,0.0
27,0.0,0.01,0.70136446,0.9002019,560.0,7.6676607,0.0,452.0,0.0
28,0.0,0.01,0.7062427,0.8999714,580.0,7.554963,0.0,468.0,0.0
29,0.0,0.01,0.71013063,0.8988577,600.0,7.687701,0.0,484.0,0.0
30,0.0,0.01,0.705123,0.8931937,620.0,7.745444,0.0,500.0,0.0
31,0.0,0.01,0.7055446,0.8872059,640.0,7.735199,0.0,516.0,0.0
32,0.0,0.01,0.7044709,0.8819031,660.0,7.6079493,0.0,532.0,0.0
33,0.0,0.01,0.70476645,0.8763211,680.0,7.40935,0.0,548.0,0.0
34,0.0,0.01,0.7039293,0.8723276,700.0,7.373065,0.0,564.0,0.0
35,0.0,0.01,0.7029257,0.869518,720.0,7.269001,0.0,580.0,0.0
36,0.0,0.01,0.70289737,0.8658935,740.0,6.833106,0.0,596.0,0.0
37,0.0,0.01,0.70405066,0.8631485,760.0,6.760634,0.0,612.0,0.0
38,0.0,0.01,0.70392436,0.8575494,780.0,7.1355486,0.0,628.0,0.0
39,0.0,0.01,0.69929403,0.8532873,800.0,7.0479035,0.0,644.0,0.0
40,0.0,0.01,0.6944832,0.8488297,820.0,6.670212,0.0,660.0,0.0
41,0.0,0.01,0.69351584,0.84739625,840.0,6.751512,0.0,676.0,0.0
42,0.0,0.01,0.6932603,0.84327585,860.0,6.5807815,0.0,692.0,0.0
43,0.0,0.01,0.6891031,0.84129536,880.0,6.557302,0.0,708.0,0.125
