epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.0,0.01,-0.00040709856,0.48599482,20.0,12.20903,0.0,20.0,0.0
1,0.0,0.01,0.093138866,0.59429973,40.0,17.519642,0.0,36.0,0.0
2,0.0,0.01,0.19850904,0.72092104,60.0,15.988299,0.0,52.0,0.0
3,0.0,0.01,0.24735746,0.7518037,80.0,14.710068,0.0,68.0,0.0
4,0.0,0.01,0.31733468,0.79630506,100.0,14.517511,0.0,84.0,0.0
5,0.0,0.01,0.3681939,0.8204834,120.0,12.977649,0.0,100.0,0.0
6,0.0,0.01,0.40431458,0.83607966,140.0,13.133446,0.0,116.0,0.0
7,0.0,0.01,0.42638847,0.8399018,160.0,12.977384,0.0,132.0,0.0
8,0.0,0.01,0.4664115,0.85755455,180.0,12.712275,0.0,148.0,0.0
9,0.0,0.01,0.48833746,0.8610668,200.0,12.104368,0.0,164.0,0.0
10,0.0,0.01,0.5044622,0.8623877,220.0,11.969221,0.0,180.0,0.0
11,0.0,0.01,0.54278105,0.8762019,240.0,11.791161,0.0,196.0,0.0
12,0.0,0.01,0.5578531,0.8821542,260.0,11.600843,0.0,212.0,0.0
13,0.0,0.01,0.58225244,0.89047486,280.0,11.592398,0.0,228.0,0.0
14,0.0,0.01,0.5970221,0.8879998,300.0,11.150388,0.0,244.0,0.0
15,0.0,0.01,0.60284704,0.8865664,320.0,11.108518,0.0,260.0,0.0
16,0.0,0.01,0.6106764,0.88544893,340.0,11.070402,0.0,276.0,0.0
17,0.0,0.01,0.6284763,0.8962736,360.0,10.9875145,0.0,292.0,0.0
18,0.0,0.01,0.63723814,0.9042048,380.0,11.031709,0.0,308.0,0.0
19,0.0,0.01,0.6503134,0.9099511,400.0,10.7836895,0.0,324.0,0.0
20,0.0,0.01,0.66119444,0.90545595,420.0,10.658121,0.0,340.0,0.0
21,0.0,0.01,0.67499244,0.9068961,440.0,10.486308,0.0,356.0,0.0
22,0.0,0.01,0.684424,0.9042574,460.0,10.557455,0.0,372.0,0.0
23,0.0,0.01,0.68418545,0.903171,480.0,10.287269,0.0,388.0,0.0
24,0.0,0.01,0.6848922,0.9002157,500.0,10.39535,0.0,404.0,0.0625
25,0.0,0.01,0.6933018,0.9008896,520.0,10.320792,0.0,420.0,0.0
26,0.0,0.01,0.70072013,0.9008891,540.0,10.243034,0.0,436.0,0.0
27,0.0,0.01,0.6953041,0.89631796,560.0,10.135922,0.0,452.0,0.0
28,0.0,0.01,0.6973359,0.8940182,580.0,9.95868,0.0,468.0,0.0
29,0.0,0.01,0.6965588,0.8900667,600.0,10.1098175,0.0,484.0,0.0
30,0.0,0.01,0.6908726,0.88394237,620.0,10.059298,0.0,500.0,0.0
31,0.0,0.01,0.6898237,0.8781499,640.0,9.869649,0.0,516.0,0.0
32,0.0,0.01,0.68644357,0.8723221,660.0,9.696098,0.0,532.0,0.0
33,0.0,0.01,0.68616647,0.8671537,680.0,9.544914,0.0,548.0,0.0
34,0.0,0.01,0.6856305,0.8640232,700.0,9.630715,0.0,564.0,0.0
35,0.0,0.01,0.6827083,0.8605592,720.0,9.407521,0.0,580.0,0.0
36,0.0,0.01,0.67817783,0.85486776,740.0,9.319621,0.0,596.0,0.0625
37,0.0,0.01,0.6773453,0.85082453,760.0,9.366696,0.0,612.0,0.0
38,0.0,0.01,0.6770299,0.8464172,780.0,9.331592,0.0,628.0,0.0625
39,0.0,0.01,0.6727261,0.84252423,800.0,9.413031,0.0,644.0,0.0
40,0.0,0.01,0.66835856,0.83806145,820.0,9.050891,0.0,660.0,0.0
41,0.0,0.01,0.66558737,0.83519936,840.0,8.931619,0.0,676.0,0.0625
42,0.0,0.01,0.6634641,0.83134615,860.0,8.701086,0.0,692.0,0.0625
43,0.0,0.01,0.65964156,0.8286224,880.0,8.6206875,0.0,708.0,0.0625
44,0.0,0.01,0.65821314,0.8250469,900.0,8.995326,0.0,724.0,0.0
45,0.0,0.01,0.6559592,0.82264566,920.0,8.9757185,0.0,740.0,0.0
46,0.0,0.01,0.6533421,0.8180171,940.0,8.7832775,0.0,756.0,0.1875
47,0.0,0.01,0.65042347,0.81505984,960.0,8.784494,0.0,772.0,0.1875
