epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.0,0.01,0.31085014,0.8143738,20.0,11.559811,0.0,20.0,0.0
1,0.0,0.01,0.4638395,0.8887351,40.0,17.600443,0.0,36.0,0.0
2,0.0,0.01,0.6230178,0.92848164,60.0,16.933378,0.0,52.0,0.0
3,0.0,0.01,0.67105347,0.91992974,80.0,15.656738,0.0,68.0,0.0
4,0.0,0.01,0.746034,0.9141641,100.0,15.065294,0.0,84.0,0.0
5,0.0,0.01,0.77894557,0.89762044,120.0,13.090695,0.0,100.0,0.0
6,0.0,0.01,0.78817135,0.8854909,140.0,13.979083,0.0,116.0,0.0
7,0.0,0.01,0.77010685,0.88293463,160.0,14.079564,0.0,132.0,0.0
8,0.0,0.01,0.7962594,0.8828415,180.0,14.159601,0.0,148.0,0.0
9,0.0,0.01,0.8131894,0.87649834,200.0,13.242865,0.0,164.0,0.0
10,0.0,0.01,0.8062203,0.8761231,220.0,12.611503,0.0,180.0,0.0
11,0.0,0.01,0.83139807,0.87065256,240.0,13.399408,0.0,196.0,0.0
12,0.0,0.01,0.8316805,0.8761948,260.0,13.15762,0.0,212.0,0.0
13,0.0,0.01,0.84013146,0.8710496,280.0,12.765354,0.0,228.0,0.0
14,0.0,0.01,0.8280647,0.86132044,300.0,12.063141,0.0,244.0,0.0
15,0.0,0.01,0.8264941,0.86210454,320.0,12.71699,0.0,260.0,0.0
16,0.0,0.01,0.81022716,0.86334366,340.0,12.48267,0.0,276.0,0.0
17,0.0,0.01,0.81438154,0.8614881,360.0,12.270221,0.0,292.0,0.0
18,0.0,0.01,0.82406884,0.87130094,380.0,12.766462,0.0,308.0,0.0
19,0.0,0.01,0.8221536,0.87637407,400.0,12.0382805,0.0,324.0,0.0
20,0.0,0.01,0.82991415,0.87469447,420.0,12.609018,0.0,340.0,0.0
21,0.0,0.01,0.8327729,0.8693473,440.0,12.404905,0.0,356.0,0.0
22,0.0,0.01,0.84931666,0.8777449,460.0,12.275942,0.0,372.0,0.0
23,0.0,0.01,0.84135985,0.87764835,480.0,12.146494,0.0,388.0,0.0625
24,0.0,0.01,0.8396981,0.8764262,500.0,12.769152,0.0,404.0,0.0
25,0.0,0.01,0.845167,0.88252574,520.0,11.765863,0.0,420.0,0.0
26,0.0,0.01,0.85014945,0.88319594,540.0,11.474815,0.0,436.0,0.0
27,0.0,0.01,0.84247684,0.8826797,560.0,11.921558,0.0,452.0,0.0
28,0.0,0.01,0.844689,0.88299227,580.0,11.740288,0.0,468.0,0.0
29,0.0,0.01,0.846607,0.88162696,600.0,11.81622,0.0,484.0,0.0
30,0.0,0.01,0.84175014,0.8820441,620.0,11.997661,0.0,500.0,0.0
31,0.0,0.01,0.8426825,0.8789044,640.0,11.675772,0.0,516.0,0.0
