epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.0,0.01,0.011431267,0.23585242,20.0,7.521062,0.4,20.0,0.375
1,0.0,0.01,0.008031575,0.23707329,40.0,8.247758,1.0,36.0,0.3125
2,0.0,0.01,0.008613563,0.23908792,60.0,9.723665,1.0,52.0,0.6875
3,0.0,0.01,0.0054706796,0.23696317,80.0,9.96274,1.0,68.0,0.8125
4,0.0,0.01,0.008896907,0.23500109,100.0,10.373892,1.0,84.0,0.8125
5,0.0,0.01,0.009384409,0.23508047,120.0,10.197833,1.0,100.0,0.8125
6,0.0,0.01,0.008445595,0.23539256,140.0,10.330246,1.0,116.0,0.875
7,0.0,0.01,0.003650324,0.23751159,160.0,10.822772,1.0,132.0,0.9375
8,0.0,0.01,0.004599368,0.23877448,180.0,10.959523,1.0,148.0,0.875
9,0.0,0.01,0.0033270332,0.2383532,200.0,10.818011,1.0,164.0,0.8125
10,0.0,0.01,0.0021769847,0.23850873,220.0,11.321955,1.0,180.0,0.75
11,0.0,0.01,0.0061255675,0.2372871,240.0,11.156607,1.0,196.0,0.6875
12,0.0,0.01,0.0050102468,0.24136677,260.0,11.806842,1.0,212.0,0.5625
13,0.0,0.01,0.005734866,0.24135303,280.0,11.727738,1.0,228.0,1.0
14,0.0,0.01,0.005256022,0.23911868,300.0,11.972925,1.0,244.0,0.8125
15,0.0,0.01,0.004772707,0.24011974,320.0,11.981136,1.0,260.0,0.9375
16,0.0,0.01,0.0037970743,0.24019994,340.0,12.366526,1.0,276.0,0.75
17,0.0,0.01,0.002819181,0.24237262,360.0,12.2757015,1.0,292.0,0.625
18,0.0,0.01,0.0007156305,0.24709623,380.0,12.742449,1.0,308.0,0.6875
19,0.0,0.01,-1.3885402e-05,0.24980514,400.0,12.708504,1.0,324.0,0.625
20,0.0,0.01,0.00054968655,0.2473139,420.0,12.829326,1.0,340.0,0.875
21,0.0,0.01,0.0020366216,0.24668346,440.0,12.852374,1.0,356.0,0.8125
22,0.0,0.01,0.0033635872,0.24689801,460.0,13.053137,1.0,372.0,0.625
23,0.0,0.01,7.180387e-05,0.24872333,480.0,13.233487,1.0,388.0,0.9375
24,0.0,0.01,-0.0010889752,0.24932197,500.0,13.334497,1.0,404.0,0.5625
25,0.0,0.01,-0.0011027138,0.24980812,520.0,13.427287,1.0,420.0,0.75
26,0.0,0.01,8.510225e-05,0.25006747,540.0,13.668074,1.0,436.0,0.6875
27,0.0,0.01,-0.001852742,0.2508583,560.0,13.4956,1.0,452.0,0.625
28,0.0,0.01,-0.0026610983,0.2524266,580.0,13.592588,1.0,468.0,0.75
29,0.0,0.01,-0.00215791,0.25279698,600.0,13.86633,1.0,484.0,0.875
30,0.0,0.01,-0.0031178736,0.25120142,620.0,13.912969,1.0,500.0,0.8125
31,0.0,0.01,-0.003128302,0.24993931,640.0,14.049998,1.0,516.0,0.75
