epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.0,0.01,-0.010235612,0.6703732,20.0,0.04367308,0.1,16.0,0.0625
1,0.0,0.01,0.004146505,0.63518643,40.0,0.30013174,0.5,32.0,0.125
2,0.0,0.01,0.010764284,0.5926134,60.0,0.30893523,0.55,48.0,0.375
3,0.0,0.01,-0.00433581,0.59889275,80.0,0.7550354,0.65,64.0,0.5625
4,0.0,0.01,0.026597312,0.598042,100.0,0.63686305,0.6,80.0,0.25
5,0.0,0.01,0.028546583,0.6310505,120.0,0.6867524,0.5,96.0,0.3125
6,0.0,0.01,0.030261034,0.62092346,140.0,0.80078536,0.5,112.0,0.25
7,0.0,0.01,0.05063453,0.6255378,160.0,0.6041113,0.4,128.0,0.4375
8,0.0,0.01,0.048735086,0.62305933,180.0,0.922863,0.55,144.0,0.375
9,0.0,0.01,0.059817303,0.6035835,200.0,0.9355728,0.55,160.0,0.6875
10,0.0,0.01,0.059581894,0.6057027,220.0,1.6510147,0.85,176.0,0.3125
11,0.0,0.01,0.058932383,0.59350044,240.0,1.5243633,0.75,192.0,0.6875
12,0.0,0.01,0.038968284,0.59197617,260.0,1.886159,0.8,208.0,0.4375
13,0.0,0.01,0.032139495,0.58645713,280.0,1.3801932,0.55,224.0,0.625
14,0.0,0.01,0.01843974,0.58938915,300.0,1.8541683,0.7,240.0,0.4375
15,0.0,0.01,0.017949741,0.5795684,320.0,1.9377127,0.8,256.0,0.5625
16,0.0,0.01,0.0067095556,0.5709564,340.0,2.7977288,0.95,272.0,0.625
17,0.0,0.01,0.007751704,0.5586979,360.0,2.825059,0.95,288.0,0.625
18,0.0,0.01,0.008866421,0.54973644,380.0,2.8664813,0.95,304.0,0.4375
19,0.0,0.01,0.0055926726,0.5478672,400.0,2.3462856,0.7,320.0,0.875
20,0.0,0.01,0.015495259,0.5452897,420.0,3.1218886,1.0,336.0,0.4375
21,0.0,0.01,0.020524556,0.53799814,440.0,2.809711,0.85,352.0,0.6875
22,0.0,0.01,0.015922941,0.53431267,460.0,3.4914424,0.95,368.0,0.6875
23,0.0,0.01,0.01826001,0.5263459,480.0,3.5794914,1.0,384.0,0.6875
24,0.0,0.01,0.016085673,0.51917714,500.0,3.8400664,1.0,400.0,0.625
25,0.0,0.01,0.017065164,0.51429695,520.0,4.1148744,1.0,416.0,0.8125
26,0.0,0.01,0.015555075,0.5065637,540.0,4.083065,1.0,432.0,0.8125
27,0.0,0.01,0.010254505,0.504708,560.0,4.4384003,1.0,448.0,0.5
28,0.0,0.01,0.0086559905,0.49787486,580.0,4.4453783,1.0,464.0,0.8125
29,0.0,0.01,0.009556011,0.49238205,600.0,4.51852,1.0,480.0,0.8125
30,0.0,0.01,0.009039557,0.48540276,620.0,4.8232794,1.0,496.0,0.75
31,0.0,0.01,0.010365744,0.48091576,640.0,4.7810903,1.0,512.0,0.75
