epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.0,0.01,0.026775854,0.6552751,20.0,-0.52182275,0.15,16.0,0.125
1,0.0,0.01,0.04145396,0.5686447,40.0,-0.2462802,1.0,32.0,0.25
2,0.0,0.01,0.039808806,0.5002458,60.0,-0.2966604,1.0,48.0,0.8125
3,0.0,0.01,0.026715765,0.47704005,80.0,-0.24043784,1.0,64.0,0.5625
4,0.0,0.01,0.035560012,0.46112448,100.0,-0.26865336,1.0,80.0,0.5
5,0.0,0.01,0.031716764,0.46556407,120.0,-0.21948285,1.0,96.0,0.4375
6,0.0,0.01,0.029646879,0.4452157,140.0,-0.2539644,1.0,112.0,0.5625
7,0.0,0.01,0.03891245,0.4362479,160.0,-0.29919904,1.0,128.0,0.875
8,0.0,0.01,0.037960574,0.42770186,180.0,-0.2564301,1.0,144.0,0.5625
9,0.0,0.01,0.039588463,0.41167647,200.0,-0.2354701,1.0,160.0,0.9375
10,0.0,0.01,0.039515793,0.40310514,220.0,-0.17923948,1.0,176.0,0.6875
11,0.0,0.01,0.040792502,0.39544713,240.0,-0.17980935,1.0,192.0,0.8125
