epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.0,0.01,-0.19575909,0.25341368,20.0,-0.34887442,0.0,20.0,0.25
1,0.0,0.01,-0.20498386,0.25233644,40.0,-0.35679764,0.0,36.0,0.125
2,0.0,0.01,-0.20944831,0.25049165,60.0,-0.26772347,1.0,52.0,0.375
3,0.0,0.01,-0.21427399,0.2516408,80.0,-0.26931262,1.0,68.0,0.4375
4,0.0,0.01,-0.21678653,0.25120047,100.0,-0.25889713,1.0,84.0,0.75
5,0.0,0.01,-0.21692103,0.25154576,120.0,-0.2966935,1.0,100.0,0.375
6,0.0,0.01,-0.21879488,0.25111625,140.0,-0.28169054,1.0,116.0,0.6875
7,0.0,0.01,-0.2215688,0.2517283,160.0,-0.27064306,1.0,132.0,0.6875
8,0.0,0.01,-0.22355998,0.251214,180.0,-0.2675992,1.0,148.0,0.75
9,0.0,0.01,-0.22567217,0.25236553,200.0,-0.29046148,1.0,164.0,0.5625
10,0.0,0.01,-0.22823969,0.25205958,220.0,-0.30485567,1.0,180.0,0.625
11,0.0,0.01,-0.22953424,0.25193265,240.0,-0.2842407,1.0,196.0,0.625
12,0.0,0.01,-0.23099458,0.25311956,260.0,-0.2858427,1.0,212.0,0.5625
13,0.0,0.01,-0.22991152,0.2525495,280.0,-0.26406267,1.0,228.0,0.875
14,0.0,0.01,-0.2287221,0.2530357,300.0,-0.27429786,1.0,244.0,0.6875
15,0.0,0.01,-0.23252897,0.2544868,320.0,-0.28339705,1.0,260.0,0.75
16,0.0,0.01,-0.23246098,0.25452304,340.0,-0.2799155,1.0,276.0,0.625
17,0.0,0.01,-0.23248129,0.2567019,360.0,-0.27315328,1.0,292.0,0.625
18,0.0,0.01,-0.23324193,0.25813267,380.0,-0.2668602,1.0,308.0,0.5
19,0.0,0.01,-0.23315445,0.2580712,400.0,-0.27251178,1.0,324.0,0.5
20,0.0,0.01,-0.23321484,0.2571108,420.0,-0.27008283,1.0,340.0,0.75
21,0.0,0.01,-0.23190987,0.257273,440.0,-0.2761826,1.0,356.0,0.6875
22,0.0,0.01,-0.23358308,0.25722623,460.0,-0.27710915,1.0,372.0,0.4375
23,0.0,0.01,-0.23535307,0.25783604,480.0,-0.27530056,1.0,388.0,0.8125
24,0.0,0.01,-0.23615009,0.25797954,500.0,-0.25916645,1.0,404.0,0.375
25,0.0,0.01,-0.23534025,0.2573333,520.0,-0.27310613,1.0,420.0,0.625
26,0.0,0.01,-0.23488379,0.25785822,540.0,-0.2869764,1.0,436.0,0.5625
27,0.0,0.01,-0.234895,0.25814867,560.0,-0.28761184,1.0,452.0,0.625
28,0.0,0.01,-0.23395215,0.25905862,580.0,-0.28898412,1.0,468.0,0.6875
29,0.0,0.01,-0.23350994,0.25885475,600.0,-0.2674626,1.0,484.0,0.6875
30,0.0,0.01,-0.23355019,0.25842658,620.0,-0.27297404,1.0,500.0,0.75
31,0.0,0.01,-0.23313537,0.2585756,640.0,-0.27815327,1.0,516.0,0.75
