epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.0,0.01,0.012628255,0.23307438,20.0,-0.19134417,1.0,20.0,0.125
1,0.0,0.01,0.01249628,0.2359868,40.0,-0.21569017,1.0,36.0,0.625
2,0.0,0.01,0.013631267,0.24121067,60.0,-0.23874204,1.0,52.0,0.5
3,0.0,0.01,0.0075189727,0.24061656,80.0,-0.21926935,1.0,68.0,0.625
4,0.0,0.01,0.011828719,0.24025023,100.0,-0.23252745,1.0,84.0,0.875
5,0.0,0.01,0.012525014,0.24131651,120.0,-0.20461407,1.0,100.0,0.625
6,0.0,0.01,0.011607182,0.24365203,140.0,-0.19328663,1.0,116.0,0.8125
7,0.0,0.01,0.005291715,0.24694984,160.0,-0.17616872,1.0,132.0,0.75
8,0.0,0.01,0.0066146106,0.24980931,180.0,-0.2229255,1.0,148.0,0.9375
9,0.0,0.01,0.0050546187,0.2505119,200.0,-0.26326188,1.0,164.0,0.6875
10,0.0,0.01,0.0015987142,0.2523052,220.0,-0.2430994,1.0,180.0,0.6875
11,0.0,0.01,0.0068876916,0.25182945,240.0,-0.263192,1.0,196.0,0.5
12,0.0,0.01,0.0050365156,0.25743806,260.0,-0.21515715,1.0,212.0,0.5625
13,0.0,0.01,0.0053143846,0.25809076,280.0,-0.19619597,1.0,228.0,0.9375
14,0.0,0.01,0.0042000306,0.25605023,300.0,-0.23522611,1.0,244.0,0.6875
15,0.0,0.01,0.002446183,0.25784647,320.0,-0.20980446,1.0,260.0,0.8125
16,0.0,0.01,0.00047255153,0.25917152,340.0,-0.19786355,1.0,276.0,0.625
17,0.0,0.01,5.1632363e-05,0.26216343,360.0,-0.27114862,1.0,292.0,0.6875
18,0.0,0.01,-0.0021066903,0.26912203,380.0,-0.17837378,1.0,308.0,0.5
19,0.0,0.01,-0.002666572,0.27245626,400.0,-0.17391454,1.0,324.0,0.5
20,0.0,0.01,-0.002194172,0.27007654,420.0,-0.27276307,1.0,340.0,0.875
21,0.0,0.01,-7.4755386e-05,0.270207,440.0,-0.24667068,1.0,356.0,0.625
22,0.0,0.01,0.0013630808,0.2712821,460.0,-0.25121534,1.0,372.0,0.375
23,0.0,0.01,-0.0028710803,0.27338368,480.0,-0.23169406,1.0,388.0,0.8125
24,0.0,0.01,-0.0049082553,0.27450705,500.0,-0.24498868,1.0,404.0,0.375
25,0.0,0.01,-0.0051050647,0.2752746,520.0,-0.21143635,1.0,420.0,0.625
26,0.0,0.01,-0.0033631092,0.27619278,540.0,-0.18370132,1.0,436.0,0.625
27,0.0,0.01,-0.0059721596,0.2771027,560.0,-0.22584705,1.0,452.0,0.625
28,0.0,0.01,-0.006588422,0.2786891,580.0,-0.2446305,1.0,468.0,0.6875
29,0.0,0.01,-0.006150908,0.27984267,600.0,-0.19628036,1.0,484.0,0.6875
30,0.0,0.01,-0.0074870735,0.27847517,620.0,-0.17385516,1.0,500.0,0.75
31,0.0,0.01,-0.007339961,0.27712488,640.0,-0.21445298,1.0,516.0,0.8125
