epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.0,0.01,0.025380168,0.65842855,20.0,-0.52183133,0.15,16.0,0.125
1,0.0,0.01,0.04388839,0.5736621,40.0,-0.23911624,1.0,32.0,0.25
2,0.0,0.01,0.036889136,0.5056887,60.0,-0.29461625,1.0,48.0,0.8125
3,0.0,0.01,0.02357331,0.4820844,80.0,-0.2465665,1.0,64.0,0.5625
4,0.0,0.01,0.033695806,0.46612772,100.0,-0.26679927,1.0,80.0,0.5
5,0.0,0.01,0.029931244,0.469618,120.0,-0.22587538,1.0,96.0,0.375
6,0.0,0.01,0.027895156,0.44877023,140.0,-0.25192207,1.0,112.0,0.5625
7,0.0,0.01,0.037207127,0.43910825,160.0,-0.30174223,1.0,128.0,0.875
8,0.0,0.01,0.036356762,0.4296509,180.0,-0.24755545,1.0,144.0,0.5625
9,0.0,0.01,0.037915695,0.41345182,200.0,-0.22553298,1.0,160.0,0.875
10,0.0,0.01,0.037973743,0.40472576,220.0,-0.17869344,1.0,176.0,0.6875
11,0.0,0.01,0.03940908,0.39687735,240.0,-0.1794002,1.0,192.0,0.8125
12,0.0,0.01,0.03143505,0.39119816,260.0,-0.15476231,1.0,208.0,0.625
13,0.0,0.01,0.029465731,0.3847817,280.0,-0.2065982,1.0,224.0,0.625
14,0.0,0.01,0.020461906,0.38158083,300.0,-0.22644922,1.0,240.0,0.5
15,0.0,0.01,0.019846464,0.37266576,320.0,-0.20780241,1.0,256.0,0.6875
16,0.0,0.01,0.014179585,0.36685786,340.0,-0.14251456,1.0,272.0,0.625
17,0.0,0.01,0.014795502,0.35963562,360.0,-0.17201105,1.0,288.0,0.625
18,0.0,0.01,0.014094385,0.35418317,380.0,-0.15113255,1.0,304.0,0.375
19,0.0,0.01,0.0124254,0.3512305,400.0,-0.27832317,1.0,320.0,0.875
20,0.0,0.01,0.015008926,0.34922397,420.0,-0.2056264,1.0,336.0,0.375
21,0.0,0.01,0.01718856,0.34478155,440.0,-0.25294644,1.0,352.0,0.875
22,0.0,0.01,0.013622606,0.3434194,460.0,-0.19426653,1.0,368.0,0.875
23,0.0,0.01,0.015032029,0.33994982,480.0,-0.2534892,1.0,384.0,0.625
24,0.0,0.01,0.014503747,0.33568004,500.0,-0.23111181,1.0,400.0,0.75
25,0.0,0.01,0.015856436,0.3342973,520.0,-0.16835085,1.0,416.0,0.75
26,0.0,0.01,0.014791893,0.3310842,540.0,-0.23460598,1.0,432.0,0.75
27,0.0,0.01,0.010418855,0.33202463,560.0,-0.1875947,1.0,448.0,0.5625
28,0.0,0.01,0.007626123,0.3297676,580.0,-0.22789164,1.0,464.0,0.8125
29,0.0,0.01,0.008165646,0.32926866,600.0,-0.24439344,1.0,480.0,0.75
30,0.0,0.01,0.007001066,0.32599413,620.0,-0.19685271,1.0,496.0,0.6875
31,0.0,0.01,0.008239474,0.32662767,640.0,-0.21989064,1.0,512.0,0.6875
