epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.0,0.01,-0.002747458,0.48620042,20.0,13.06751,0.0,20.0,0.0
1,0.0,0.01,0.091030285,0.59478784,40.0,19.801762,0.0,36.0,0.0
2,0.0,0.01,0.1965886,0.7215696,60.0,18.431711,0.0,52.0,0.0
3,0.0,0.01,0.24559414,0.7524901,80.0,16.973516,0.0,68.0,0.0
4,0.0,0.01,0.31570455,0.7970477,100.0,16.382965,0.0,84.0,0.0
5,0.0,0.01,0.36667868,0.8212482,120.0,14.730176,0.0,100.0,0.0
6,0.0,0.01,0.4028989,0.8368426,140.0,14.935224,0.0,116.0,0.0
7,0.0,0.01,0.42506018,0.8406498,160.0,14.6989,0.0,132.0,0.0
8,0.0,0.01,0.46516052,0.8583033,180.0,14.872925,0.0,148.0,0.0
9,0.0,0.01,0.48715523,0.86180186,200.0,13.968432,0.0,164.0,0.0
10,0.0,0.01,0.50334173,0.8631049,220.0,13.756231,0.0,180.0,0.0
11,0.0,0.01,0.54171604,0.8769196,240.0,13.589404,0.0,196.0,0.0
12,0.0,0.01,0.5568384,0.88285106,260.0,13.289789,0.0,212.0,0.0
13,0.0,0.01,0.5812835,0.891161,280.0,13.386282,0.0,228.0,0.0
14,0.0,0.01,0.5960954,0.8886743,300.0,13.118032,0.0,244.0,0.0
15,0.0,0.01,0.60195845,0.88722,320.0,13.038765,0.0,260.0,0.0
16,0.0,0.01,0.60982335,0.8860853,340.0,12.784719,0.0,276.0,0.0
17,0.0,0.01,0.6276561,0.896895,360.0,12.994214,0.0,292.0,0.0
18,0.0,0.01,0.6364483,0.90480596,380.0,12.788207,0.0,308.0,0.0
19,0.0,0.01,0.64955235,0.9105388,400.0,12.508547,0.0,324.0,0.0
20,0.0,0.01,0.66046834,0.90604365,420.0,12.413979,0.0,340.0,0.0
21,0.0,0.01,0.6745253,0.90775687,440.0,12.528665,0.0,356.0,0.0
22,0.0,0.01,0.6845287,0.9059091,460.0,12.360938,0.0,372.0,0.0
23,0.0,0.01,0.6846436,0.9053228,480.0,12.008313,0.0,388.0,0.0
24,0.0,0.01,0.6862025,0.90355873,500.0,12.123586,0.0,404.0,0.0625
25,0.0,0.01,0.69619524,0.906246,520.0,12.072687,0.0,420.0,0.0
26,0.0,0.01,0.7035492,0.9061282,540.0,11.614041,0.0,436.0,0.0
27,0.0,0.01,0.70316064,0.9038856,560.0,11.646376,0.0,452.0,0.0
28,0.0,0.01,0.7119024,0.90750265,580.0,11.482462,0.0,468.0,0.0
29,0.0,0.01,0.71414673,0.9087309,600.0,11.296213,0.0,484.0,0.0
30,0.0,0.01,0.7066861,0.90463585,620.0,11.39975,0.0,500.0,0.0
31,0.0,0.01,0.7089933,0.9013613,640.0,11.154035,0.0,516.0,0.0
32,0.0,0.01,0.71031463,0.8973662,660.0,11.191808,0.0,532.0,0.0
33,0.0,0.01,0.71543616,0.8942921,680.0,10.954568,0.0,548.0,0.0
34,0.0,0.01,0.7183355,0.89260346,700.0,10.927603,0.0,564.0,0.0
35,0.0,0.01,0.72048366,0.89204574,720.0,10.69839,0.0,580.0,0.0
36,0.0,0.01,0.72346103,0.8889243,740.0,10.8048,0.0,596.0,0.0
37,0.0,0.01,0.7286021,0.8883693,760.0,10.769549,0.0,612.0,0.0
38,0.0,0.01,0.73624,0.88832825,780.0,10.50139,0.0,628.0,0.0
39,0.0,0.01,0.73768777,0.8864057,800.0,10.338631,0.0,644.0,0.0
40,0.0,0.01,0.73741853,0.8834534,820.0,10.1854,0.0,660.0,0.0
41,0.0,0.01,0.7386964,0.8841635,840.0,10.337936,0.0,676.0,0.0
42,0.0,0.01,0.7438194,0.8834586,860.0,10.279437,0.0,692.0,0.0
43,0.0,0.01,0.7434955,0.88274884,880.0,10.289007,0.0,708.0,0.0
44,0.0,0.01,0.74782825,0.88216513,900.0,9.900162,0.0,724.0,0.0
45,0.0,0.01,0.7523226,0.88362473,920.0,9.78969,0.0,740.0,0.0625
46,0.0,0.01,0.7608066,0.8842672,940.0,9.769455,0.0,756.0,0.0
47,0.0,0.01,0.7643068,0.8839134,960.0,9.688268,0.0,772.0,0.0
48,0.0,0.01,0.76550835,0.8836742,980.0,9.617556,0.0,788.0,0.0
49,0.0,0.01,0.76760423,0.8830637,1000.0,9.518806,0.0,804.0,0.0
50,0.0,0.01,0.7700046,0.88223726,1020.0,9.344271,0.0,820.0,0.0
51,0.0,0.01,0.7708802,0.88197285,1040.0,9.384005,0.0,836.0,0.0
52,0.0,0.01,0.76689404,0.87916684,1060.0,9.271286,0.0,852.0,0.0
53,0.0,0.01,0.76258093,0.8792053,1080.0,9.048868,0.0,868.0,0.0625
54,0.0,0.01,0.76239216,0.8757401,1100.0,9.343508,0.05,884.0,0.0
55,0.0,0.01,0.7551151,0.8763385,1120.0,9.226245,0.3,900.0,0.0625
56,0.0,0.01,0.7518231,0.8749037,1140.0,9.148303,0.0,916.0,0.0625
57,0.0,0.01,0.7480921,0.87307096,1160.0,8.921738,0.0,932.0,0.0
58,0.0,0.01,0.7402423,0.8724182,1180.0,8.652391,0.0,948.0,0.0
59,0.0,0.01,0.73976314,0.87259907,1200.0,8.559807,0.0,964.0,0.0625
60,0.0,0.01,0.7410103,0.87062,1220.0,8.552356,0.0,980.0,0.0
61,0.0,0.01,0.73988414,0.86953205,1240.0,8.986426,0.0,996.0,0.0
62,0.0,0.01,0.74025047,0.86787826,1260.0,8.189935,0.0,1012.0,0.0
63,0.0,0.01,0.73698556,0.86628246,1280.0,8.738696,0.0,1028.0,0.0625
