epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.0,0.01,-0.0075092576,0.6801636,20.0,0.05275656,0.1,16.0,0.125
1,0.0,0.01,0.017759603,0.66553074,40.0,0.26910442,0.4,32.0,0.125
2,0.0,0.01,0.029186102,0.6092591,60.0,0.3614297,0.6,48.0,0.375
3,0.0,0.01,0.017469216,0.5819832,80.0,0.6545342,0.65,64.0,0.6875
4,0.0,0.01,0.03653591,0.58378696,100.0,0.70290166,0.65,80.0,0.375
5,0.0,0.01,0.032747857,0.62303656,120.0,0.6926702,0.65,96.0,0.3125
6,0.0,0.01,0.036434826,0.6105896,140.0,0.80697536,0.6,112.0,0.25
7,0.0,0.01,0.05483225,0.61792,160.0,0.5794045,0.45,128.0,0.3125
8,0.0,0.01,0.054072335,0.61438715,180.0,0.91053104,0.5,144.0,0.375
9,0.0,0.01,0.06269222,0.59405226,200.0,1.0032818,0.6,160.0,0.6875
10,0.0,0.01,0.06452909,0.59560835,220.0,1.7296053,0.9,176.0,0.5
11,0.0,0.01,0.063414685,0.5836309,240.0,1.5782065,0.8,192.0,0.625
12,0.0,0.01,0.042020418,0.58320576,260.0,2.1318817,0.9,208.0,0.4375
13,0.0,0.01,0.03592695,0.5772619,280.0,1.7255386,0.85,224.0,0.5625
14,0.0,0.01,0.02320467,0.5757302,300.0,1.7294064,0.7,240.0,0.5
15,0.0,0.01,0.02438945,0.56404513,320.0,2.1003442,0.8,256.0,0.625
16,0.0,0.01,0.015296221,0.5540311,340.0,2.4460597,0.85,272.0,0.6875
17,0.0,0.01,0.016310234,0.5419169,360.0,2.7588751,0.95,288.0,0.625
18,0.0,0.01,0.017778242,0.53536165,380.0,3.059794,0.95,304.0,0.5625
19,0.0,0.01,0.013790105,0.53501314,400.0,2.4777775,0.75,320.0,0.8125
20,0.0,0.01,0.023222547,0.53210473,420.0,3.1727757,1.0,336.0,0.4375
21,0.0,0.01,0.02772759,0.5237755,440.0,2.9899898,0.9,352.0,0.75
22,0.0,0.01,0.02707672,0.522514,460.0,3.6915371,1.0,368.0,0.75
23,0.0,0.01,0.028748676,0.5167431,480.0,3.7350717,1.0,384.0,0.5
24,0.0,0.01,0.02773763,0.50778204,500.0,3.646914,1.0,400.0,0.6875
25,0.0,0.01,0.028246174,0.50476074,520.0,4.088649,1.0,416.0,0.6875
26,0.0,0.01,0.027111977,0.49733096,540.0,4.142946,1.0,432.0,0.8125
27,0.0,0.01,0.021556608,0.4949164,560.0,4.3835,1.0,448.0,0.5625
28,0.0,0.01,0.01950824,0.4883397,580.0,4.390545,1.0,464.0,0.8125
29,0.0,0.01,0.020126384,0.483247,600.0,4.5952296,1.0,480.0,0.75
30,0.0,0.01,0.019211857,0.47646138,620.0,4.725916,1.0,496.0,0.6875
31,0.0,0.01,0.020126538,0.47216594,640.0,4.8767447,1.0,512.0,0.6875
