epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.0,0.01,0.009912766,0.22314733,20.0,7.878554,0.4,20.0,0.375
1,0.0,0.01,0.0076611415,0.2276793,40.0,8.67541,0.75,36.0,0.4375
2,0.0,0.01,0.009763321,0.23139046,60.0,9.217958,0.25,52.0,0.5
3,0.0,0.01,0.008464243,0.23067436,80.0,9.770209,0.0,68.0,0.5625
4,0.0,0.01,0.012271837,0.22966391,100.0,9.977158,1.0,84.0,0.625
5,0.0,0.01,0.010573462,0.230765,120.0,9.976607,1.0,100.0,0.375
6,0.0,0.01,0.007752907,0.23165743,140.0,9.884909,1.0,116.0,0.625
7,0.0,0.01,0.0007765242,0.23437306,160.0,10.54422,1.0,132.0,0.625
8,0.0,0.01,0.00078522274,0.23614293,180.0,10.605211,1.0,148.0,0.875
9,0.0,0.01,-0.00047091124,0.23590602,200.0,10.691397,1.0,164.0,0.8125
10,0.0,0.01,-0.0019104078,0.2362218,220.0,10.97159,1.0,180.0,0.75
11,0.0,0.01,0.0022289914,0.23518191,240.0,10.894482,1.0,196.0,0.75
12,0.0,0.01,0.0011248324,0.23937109,260.0,11.360408,1.0,212.0,0.5625
13,0.0,0.01,0.0017986428,0.23946828,280.0,11.346501,1.0,228.0,1.0
14,0.0,0.01,0.0013032516,0.23725665,300.0,11.627573,1.0,244.0,0.75
15,0.0,0.01,0.00088674424,0.23835236,320.0,11.708666,1.0,260.0,0.9375
16,0.0,0.01,-9.999419e-05,0.23848484,340.0,11.877211,1.0,276.0,0.875
17,0.0,0.01,-0.0010730698,0.24073021,360.0,11.775545,1.0,292.0,0.625
18,0.0,0.01,-0.00312822,0.24550828,380.0,12.426581,1.0,308.0,0.75
19,0.0,0.01,-0.0037873776,0.24828446,400.0,12.3519125,1.0,324.0,0.625
20,0.0,0.01,-0.003239761,0.2458424,420.0,12.497739,1.0,340.0,0.9375
21,0.0,0.01,-0.0017141836,0.2452736,440.0,12.803166,1.0,356.0,0.8125
22,0.0,0.01,-0.00034201317,0.24556503,460.0,12.73598,1.0,372.0,0.6875
23,0.0,0.01,-0.0036768874,0.24739856,480.0,12.753461,1.0,388.0,0.9375
24,0.0,0.01,-0.0048715654,0.24802811,500.0,13.025553,1.0,404.0,0.5
25,0.0,0.01,-0.0048598032,0.24855717,520.0,13.075747,1.0,420.0,0.75
26,0.0,0.01,-0.0036976582,0.24885099,540.0,13.142334,1.0,436.0,0.6875
27,0.0,0.01,-0.005630999,0.24966723,560.0,13.315857,1.0,452.0,0.625
28,0.0,0.01,-0.0064127324,0.25126228,580.0,13.367803,1.0,468.0,0.6875
29,0.0,0.01,-0.0059349,0.25166425,600.0,13.539099,1.0,484.0,0.75
30,0.0,0.01,-0.0068556117,0.2500693,620.0,13.706708,1.0,500.0,0.75
31,0.0,0.01,-0.0068459418,0.24881971,640.0,13.785925,1.0,516.0,0.75
