epoch,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,test/total_reward,train/episode,train/success_rate,train/total_reward
0,0.089679845,0.44068068,5.0,-0.11971836,0.0,1.7495108653324563,80.0,0.0,1.884876986187602
1,0.09598864,0.45391798,10.0,0.003032771,0.0,1.8180890236279392,160.0,0.0,1.7881465665155618
2,0.10531171,0.45959798,15.0,0.056516506,0.0,1.9940936601677028,240.0,0.0,1.7880128486472011
3,0.11409368,0.4585002,20.0,0.106878266,0.0,1.770190203542609,320.0,0.0,1.8494579969730738
4,0.12014146,0.45537174,25.0,0.14143479,0.0,1.9538056688466907,400.0,0.0,1.8533360910381345
5,0.12507066,0.45100114,30.0,0.14801984,0.0,1.8301480779311443,480.0,0.0,1.9283752609349638
6,0.12961243,0.44652727,35.0,0.17313623,0.0,1.8749617803026726,560.0,0.0,1.944394711429005
7,0.13233815,0.4421584,40.0,0.15906209,0.0,1.8025325213847316,640.0,0.0,1.8759252473342314
8,0.13477375,0.43842295,45.0,0.16135319,0.0,1.885946585819245,720.0,0.0,1.985833298549446
9,0.1368919,0.43502057,50.0,0.17737421,0.0,1.9016695380458466,800.0,0.0,1.967921623156109
10,0.13905177,0.43198413,55.0,0.16374785,0.0,2.063262133529193,880.0,0.0,1.962725500338316
11,0.14066416,0.42913815,60.0,0.17324337,0.0,2.5794173223325734,960.0,0.0,1.9589308069741909
12,0.1417736,0.4265412,65.0,0.16202071,0.0,2.641539326555298,1040.0,0.0,2.187364804970657
13,0.14302287,0.42426643,70.0,0.18968913,0.0,11.649598331216321,1120.0,0.0,2.0419156376106846
14,0.14419256,0.4218088,75.0,0.21993609,0.0,31.52899617655263,1200.0,0.0,2.1510725326657756
15,0.14563316,0.4197512,80.0,0.23395458,0.0,46.00132715068884,1280.0,0.0,2.2263790651256814
16,0.14658779,0.41773224,85.0,0.27256107,0.0,73.92399440401988,1360.0,0.0,2.4431705122917604
17,0.14751837,0.4161927,90.0,0.24049748,0.0,30.486525720617482,1440.0,0.0,2.76655446538563
18,0.14840543,0.41456565,95.0,0.31646955,0.0,27.093946459698117,1520.0,0.0,3.3358856960034022
19,0.1490923,0.4130439,100.0,0.24601063,0.0,83.41284726066137,1600.0,0.0,3.8305710465782363
20,0.14987038,0.41163513,105.0,0.4414588,0.0,139.6112185358764,1680.0,0.0,4.597642789322247
21,0.15059334,0.4108141,110.0,0.4108582,0.0,80.00733269821305,1760.0,0.0,7.220440754354291
22,0.15157034,0.4100437,115.0,0.43017757,0.0,71.10855582396161,1840.0,0.0,7.949287234732658
23,0.1524805,0.4101043,120.0,0.54387176,0.0,77.35159483458334,1920.0,0.0,9.536079924509487
24,0.15330184,0.41065064,125.0,0.6405517,0.0,94.16235880013129,2000.0,0.0,11.864789279720512
25,0.15418772,0.41123465,130.0,0.76447856,0.0,150.97984658932856,2080.0,0.0,13.116899979293322
26,0.1549977,0.41142514,135.0,0.82123685,0.0,145.44169092784216,2160.0,0.0,15.631494242699093
27,0.15569808,0.41179654,140.0,0.89983666,0.0,219.5249090706453,2240.0,0.0,17.52319126036251
28,0.1562495,0.41209367,145.0,0.7855891,0.0,93.84734743377412,2320.0,0.0,17.832950483552118
29,0.15698169,0.41236973,150.0,0.951402,0.0,158.18786128189674,2400.0,0.0,16.62524606035343
30,0.15769029,0.41238144,155.0,1.0555735,0.0,169.32169998914594,2480.0,0.0,20.052889294914387
31,0.15834318,0.41240203,160.0,1.1947917,0.0,242.71704690171782,2560.0,0.0,19.688402256955403
32,0.15908977,0.41215447,165.0,1.2617104,0.0,250.93839744089948,2640.0,0.0,23.924400548711922
33,0.1597725,0.4118632,170.0,1.296954,0.0,163.41691788654043,2720.0,0.0,23.75550159129334
34,0.16040789,0.41179782,175.0,1.4880002,0.0,262.822128807032,2800.0,0.0,22.356030568477802
35,0.16112302,0.41158992,180.0,1.5565414,0.0,305.2479423771488,2880.0,0.0,27.092396071234
36,0.16169356,0.41136476,185.0,1.6165638,0.0,217.642670815103,2960.0,0.0,28.029881754325526
37,0.16230991,0.41104603,190.0,1.7396604,0.0,235.2499105377892,3040.0,0.0,29.519356772200226
38,0.16287282,0.4106311,195.0,1.8042417,0.0,319.8278658233229,3120.0,0.0,31.627054711157154
39,0.16349031,0.41010666,200.0,1.8674943,0.0,260.9530761274637,3200.0,0.0,34.21237779359609
40,0.16423327,0.40979758,205.0,2.1079798,0.0,309.58932491241535,3280.0,0.0,34.06826290631764
41,0.16498123,0.40941474,210.0,2.2070956,0.0,311.36569904063936,3360.0,0.0,38.49998451050886
42,0.16559748,0.4091388,215.0,2.299179,0.0,332.96550429845746,3440.0,0.0,38.84149528130711
43,0.16608304,0.4089236,220.0,2.4963646,0.0,342.4083942184933,3520.0,0.0,36.70887482354999
44,0.1666929,0.40859795,225.0,2.6610289,0.0,312.99104756844855,3600.0,0.0,43.76505309791774
45,0.16722149,0.40823907,230.0,2.7677517,0.0,301.5944411253946,3680.0,0.0,47.54492117893439
46,0.16771366,0.40803042,235.0,2.8066535,0.0,295.4914804390765,3760.0,0.0,55.045356588217345
47,0.1681696,0.4077649,240.0,3.0485647,0.0,308.5915689037534,3840.0,0.0,55.241806340276995
48,0.16857105,0.40748832,245.0,3.4507134,0.0,317.1897460860383,3920.0,0.0,60.20509970552467
49,0.16898413,0.40732935,250.0,3.737078,0.0,318.70909081100694,4000.0,0.0,59.84092659882984
50,0.16942829,0.40718472,255.0,3.8561313,0.0,279.6540598378189,4080.0,0.0,64.01160764325404
