epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,test/total_reward,train/episode,train/success_rate,train/total_reward
0,0.0,0.01,-0.051118206,0.67255276,20.0,-0.033146642,0.0,0.45,16.0,0.0625,0.75
1,0.0,0.01,0.0031227926,0.66651106,40.0,0.106434025,0.2,2.85,32.0,0.0625,1.8125
2,0.0,0.01,-0.00087282655,0.61892986,60.0,0.25242695,0.5,4.4,48.0,0.125,1.1875
3,0.0,0.01,-0.012858105,0.58111656,80.0,0.83111036,0.7,9.65,64.0,0.4375,6.1875
4,0.0,0.01,0.005457158,0.5687138,100.0,0.64097166,0.6,7.8,80.0,0.3125,6.0625
5,0.0,0.01,0.0042913994,0.61398023,120.0,0.6913825,0.65,8.1,96.0,0.1875,1.625
6,0.0,0.01,0.0072248783,0.6039458,140.0,0.56105024,0.5,6.5,112.0,0.25,4.75
7,0.0,0.01,0.01614192,0.6141795,160.0,0.56841135,0.4,5.7,128.0,0.3125,4.3125
8,0.0,0.01,0.017901776,0.6077196,180.0,0.8227478,0.55,7.7,144.0,0.375,4.75
9,0.0,0.01,0.031054689,0.59498155,200.0,0.7603958,0.45,6.3,160.0,0.625,8.375
10,0.0,0.01,0.039110105,0.5971933,220.0,1.2217612,0.7,10.1,176.0,0.5625,5.625
11,0.0,0.01,0.03908958,0.5870029,240.0,1.2509892,0.65,9.15,192.0,0.6875,8.125
12,0.0,0.01,0.0139430165,0.59191114,260.0,1.8950039,0.9,12.8,208.0,0.3125,6.8125
13,0.0,0.01,0.0076071825,0.5848483,280.0,1.3089881,0.55,8.2,224.0,0.4375,6.75
14,0.0,0.01,-0.0036143383,0.5809472,300.0,1.6819832,0.7,10.25,240.0,0.625,6.4375
15,0.0,0.01,-0.0021042773,0.5740056,320.0,1.6201134,0.65,9.1,256.0,0.625,9.3125
16,0.0,0.01,-0.0143719455,0.5708312,340.0,2.6066356,0.95,13.7,272.0,0.625,7.8125
17,0.0,0.01,-0.015280681,0.56189305,360.0,2.235827,0.0,1.8,288.0,0.75,9.3125
18,0.0,0.01,-0.016223878,0.5560498,380.0,3.001735,1.0,14.3,304.0,0.375,6.6875
19,0.0,0.01,-0.019766843,0.55031013,400.0,2.3626275,0.85,10.75,320.0,0.3125,7.8125
20,0.0,0.01,-0.014548109,0.5437727,420.0,2.6642873,0.85,12.15,336.0,0.75,9.0625
21,0.0,0.01,-0.010128731,0.5374265,440.0,2.7966847,0.9,11.8,352.0,0.6875,8.9375
22,0.0,0.01,-0.014917288,0.53245103,460.0,3.2839074,1.0,13.6,368.0,0.625,8.6875
23,0.0,0.01,-0.010569778,0.5271116,480.0,3.2848518,0.95,13.05,384.0,0.625,8.1875
24,0.0,0.01,-0.011021293,0.5216108,500.0,3.5474563,1.0,13.5,400.0,0.75,8.3125
25,0.0,0.01,-0.007072969,0.5169534,520.0,3.750856,0.95,14.15,416.0,0.5625,9.5625
26,0.0,0.01,-0.0076869163,0.50884974,540.0,3.9465275,1.0,14.15,432.0,0.75,9.875
27,0.0,0.01,-0.013413909,0.50600517,560.0,4.161108,1.0,14.55,448.0,0.625,8.25
28,0.0,0.01,-0.0147628095,0.499128,580.0,4.380234,1.0,14.25,464.0,0.6875,9.8125
29,0.0,0.01,-0.014895427,0.49319673,600.0,4.523042,1.0,14.35,480.0,0.875,9.625
30,0.0,0.01,-0.014871048,0.48727742,620.0,4.6754045,1.0,14.55,496.0,0.5625,9.125
31,0.0,0.01,-0.014174989,0.4814299,640.0,4.604581,1.0,14.45,512.0,0.8125,9.625
