epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.035489023,0.73803246,0.016093947,0.68120044,20.0,-0.27823263,0.0,40.0,0.0
1,0.017808422,0.72441816,0.020923454,0.67515475,40.0,-0.27863517,0.0,80.0,0.0
2,-0.010633388,0.707595,-0.009230904,0.66542244,60.0,-0.3514113,0.0,120.0,0.0
3,-0.026620343,0.7133919,-0.022275744,0.6753996,80.0,-0.40450084,0.0,160.0,0.0
4,-0.020574488,0.7109914,-0.018834548,0.6770151,100.0,-0.4122001,0.05,200.0,0.0
5,-0.019004226,0.7017496,-0.019892702,0.67010057,120.0,-0.4659792,0.0,240.0,0.0
6,-0.013194382,0.6911035,-0.012750706,0.6623781,140.0,-0.4971403,0.0,280.0,0.025
7,-0.011075742,0.6821364,-0.0116925845,0.6560637,160.0,-0.5500122,0.0,320.0,0.025
8,-0.01041931,0.6785853,-0.009062102,0.65154433,180.0,-0.43956617,0.05,360.0,0.0
9,0.00034963526,0.6679375,0.006390527,0.64375144,200.0,-0.41860548,0.1,400.0,0.025
10,0.012884103,0.66184294,0.020826444,0.6386812,220.0,-0.53701884,0.0,440.0,0.05
11,0.0031507881,0.65388393,0.009759404,0.63154036,240.0,-0.30796164,0.1,480.0,0.0
12,0.0006100391,0.65028036,0.0076749064,0.62954694,260.0,-0.12822476,0.4,520.0,0.025
13,0.002424073,0.6408365,0.00969566,0.61945206,280.0,-0.32668045,0.4,560.0,0.0
14,0.0013339706,0.63591,0.009782292,0.61432475,300.0,-0.23716787,0.3,600.0,0.0
15,-0.0031416346,0.63046026,0.0058706603,0.6094974,320.0,-0.30443126,0.4,640.0,0.05
16,-0.0034077698,0.62609303,0.00683767,0.6053562,340.0,-0.289942,0.45,680.0,0.025
17,-0.0033446266,0.6181855,0.0053867176,0.5975798,360.0,-0.26645124,0.65,720.0,0.1
18,0.00038512936,0.61249757,0.008995859,0.59361684,380.0,-0.26572526,0.8,760.0,0.175
19,-0.000902059,0.60946107,0.006766616,0.59118056,400.0,-0.15271811,0.9,800.0,0.1
20,-0.0011671004,0.60696435,0.0076971985,0.58677006,420.0,-0.19024326,0.9,840.0,0.25
21,-0.0018260335,0.60263926,0.007693037,0.58280504,440.0,-0.29371664,0.9,880.0,0.175
22,-0.00095058,0.6000471,0.007010706,0.5809394,460.0,-0.25705177,0.95,920.0,0.275
23,0.00078088744,0.59591043,0.009667054,0.5770818,480.0,-0.18919675,0.9,960.0,0.1
24,0.0022890824,0.5925,0.009075994,0.5739693,500.0,-0.19326808,1.0,1000.0,0.15
25,-0.0020846499,0.5900706,0.005570671,0.5711225,520.0,-0.2725915,0.9,1040.0,0.2
26,-0.0026591625,0.58737755,0.0048110895,0.5683038,540.0,-0.16586752,0.95,1080.0,0.125
27,-0.001053944,0.5849787,0.0045085647,0.5655675,560.0,-0.20689587,0.95,1120.0,0.175
28,0.0032610456,0.582827,0.008381018,0.56372494,580.0,-0.1048481,1.0,1160.0,0.225
29,0.0022179731,0.5803716,0.0072353017,0.56117284,600.0,-0.2041648,1.0,1200.0,0.15
