epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.053508542,1.2855414,-0.048972666,1.0717313,20.0,-0.920351,0.0,40.0,0.0
1,-0.012307234,1.2664161,0.0010816455,1.0651401,40.0,-0.89187735,0.0,80.0,0.0
2,-0.05316356,1.257268,-0.039618835,1.0633396,60.0,-1.0242327,0.0,120.0,0.0
3,-0.06125158,1.2275592,-0.047258183,1.0444522,80.0,-1.1068193,0.0,160.0,0.0
4,-0.05588022,1.1810952,-0.044365376,1.0136405,100.0,-0.9242297,0.0,200.0,0.0
5,-0.047601514,1.1345806,-0.04141136,0.97973204,120.0,-1.1076202,0.0,240.0,0.0
6,-0.045938734,1.0844519,-0.039642025,0.94336414,140.0,-1.1759446,0.0,280.0,0.0
7,-0.039573137,1.0474057,-0.03369746,0.91662365,160.0,-1.0620927,0.0,320.0,0.0
8,-0.03626182,1.0145841,-0.02916666,0.8910994,180.0,-0.84938073,0.0,360.0,0.0
9,-0.017014908,0.9813354,-0.006946342,0.86726314,200.0,-0.9020941,0.0,400.0,0.0
10,-0.0054170303,0.9568275,0.0071954876,0.84982693,220.0,-0.9823541,0.0,440.0,0.0
11,-0.013679735,0.9293995,-0.0020328742,0.8282476,240.0,-0.6971788,0.05,480.0,0.025
12,-0.012854101,0.9079459,-0.0016430449,0.81329525,260.0,-0.39710847,0.05,520.0,0.0
13,-0.013427278,0.88458973,-0.002267018,0.7941047,280.0,-0.5752267,0.05,560.0,0.025
14,-0.011035465,0.8653631,0.0005267933,0.7790166,300.0,-0.4879114,0.2,600.0,0.05
15,-0.013286641,0.8478404,-0.0015195627,0.76517594,320.0,-0.540904,0.2,640.0,0.025
16,-0.012330355,0.8325792,0.0003354177,0.7532,340.0,-0.50010765,0.45,680.0,0.0
17,-0.011507232,0.81584847,-0.0005671494,0.73884857,360.0,-0.38972032,0.7,720.0,0.025
18,-0.00791952,0.8028656,0.0028586304,0.7293832,380.0,-0.37050158,0.8,760.0,0.125
19,-0.00910471,0.7926863,0.0006153602,0.72153467,400.0,-0.22467056,1.0,800.0,0.15
20,-0.009484528,0.7830733,0.0013473658,0.7123245,420.0,-0.3052289,1.0,840.0,0.2
21,-0.00998087,0.7729992,0.0014016908,0.7039863,440.0,-0.40572163,0.85,880.0,0.25
22,-0.008732319,0.76484144,0.0009623356,0.69776094,460.0,-0.39468706,1.0,920.0,0.325
23,-0.0070409887,0.7557601,0.0035882257,0.6903014,480.0,-0.32219192,0.95,960.0,0.175
24,-0.005166931,0.7476283,0.0032508029,0.6836738,500.0,-0.3062264,1.0,1000.0,0.125
25,-0.00939079,0.74053407,-0.00021844264,0.67752236,520.0,-0.35067716,1.0,1040.0,0.2
26,-0.010130923,0.73348975,-0.0011553047,0.67158,540.0,-0.3294813,1.0,1080.0,0.15
27,-0.008192974,0.72732276,-0.0011564596,0.66598535,560.0,-0.3021766,1.0,1120.0,0.15
28,-0.0038375407,0.72143865,0.0027286261,0.66141343,580.0,-0.29541793,1.0,1160.0,0.175
29,-0.0045630094,0.715405,0.0018278398,0.6562488,600.0,-0.36917707,0.8,1200.0,0.15
