epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.13027751,0.58162093,0.11626195,0.5718725,20.0,-0.19103244,0.1,40.0,0.0
1,0.066292435,0.5799315,0.058188193,0.5836315,40.0,-0.24146442,0.1,80.0,0.025
2,0.04860729,0.5704489,0.038345248,0.5735209,60.0,-0.2631617,0.1,120.0,0.025
3,0.029181428,0.5557415,0.019691885,0.5561761,80.0,-0.2267979,0.5,160.0,0.025
4,0.026109882,0.56315255,0.017017731,0.5605141,100.0,-0.3240528,0.35,200.0,0.1
5,0.025593124,0.56023383,0.017363528,0.56057066,120.0,-0.40534076,0.2,240.0,0.025
6,0.023266686,0.5577056,0.014791309,0.5578022,140.0,-0.3102611,0.5,280.0,0.05
7,0.02888923,0.55182385,0.022407027,0.5527656,160.0,-0.26850083,0.65,320.0,0.1
8,0.029402975,0.5501908,0.02990751,0.5489954,180.0,-0.31523225,0.65,360.0,0.05
9,0.03865363,0.5448599,0.03599635,0.54127944,200.0,-0.38216427,0.55,400.0,0.175
10,0.03194245,0.54371285,0.028423226,0.53780854,220.0,-0.36607277,0.75,440.0,0.025
11,0.033747032,0.5384421,0.027762748,0.53234535,240.0,-0.35056898,0.7,480.0,0.125
12,0.03212949,0.5376779,0.023883503,0.5293778,260.0,-0.2668963,0.85,520.0,0.1
13,0.034551777,0.5381125,0.023749208,0.5301014,280.0,-0.3371391,0.85,560.0,0.2
14,0.037680883,0.5341482,0.02843295,0.5261642,300.0,-0.26796487,0.85,600.0,0.125
15,0.029291395,0.5350456,0.019704064,0.5269971,320.0,-0.34097117,0.8,640.0,0.125
16,0.022385838,0.53308535,0.014170667,0.5255201,340.0,-0.31744382,0.85,680.0,0.175
17,0.020444527,0.53101623,0.011806577,0.524352,360.0,-0.3540453,0.75,720.0,0.125
18,0.019271238,0.5298495,0.0078288745,0.52142894,380.0,-0.28878987,0.85,760.0,0.125
19,0.018568693,0.5275992,0.007720709,0.51834977,400.0,-0.27020222,0.9,800.0,0.15
20,0.015563757,0.52635825,0.0044353358,0.51646984,420.0,-0.26630965,0.95,840.0,0.125
21,0.016858758,0.5276724,0.004544502,0.51663685,440.0,-0.2932964,0.9,880.0,0.125
22,0.020541577,0.5287117,0.007512388,0.5174094,460.0,-0.297931,0.9,920.0,0.225
23,0.022339048,0.5275381,0.010580571,0.51561224,480.0,-0.30962962,0.9,960.0,0.15
24,0.022980157,0.526384,0.00969304,0.51472926,500.0,-0.25280872,0.95,1000.0,0.1
25,0.022928908,0.52515423,0.010429643,0.5126259,520.0,-0.3564547,0.85,1040.0,0.15
26,0.020692643,0.52630126,0.009483564,0.5125686,540.0,-0.27467903,0.95,1080.0,0.075
27,0.018905265,0.5260629,0.008431643,0.5120206,560.0,-0.3040431,1.0,1120.0,0.175
28,0.01820846,0.52716213,0.009484205,0.51251066,580.0,-0.22608757,0.95,1160.0,0.175
29,0.020180678,0.5256276,0.010703999,0.51065975,600.0,-0.21434511,1.0,1200.0,0.15
