epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.04802454,0.5511638,0.1229258,0.90399015,20.0,-3.093812,0.0,44.0,0.0
1,0.037554823,0.55430907,0.097927004,0.87320626,40.0,-3.5802927,0.0,84.0,0.0
2,0.03458375,0.5608486,0.09017211,0.8570674,60.0,-3.4434414,0.05,124.0,0.0
3,0.03207496,0.56363285,0.08208748,0.83498746,80.0,-3.0430775,0.0,164.0,0.025
4,0.034542076,0.56427914,0.08290581,0.8168099,100.0,-3.564202,0.0,204.0,0.025
5,0.030313397,0.57246625,0.07574001,0.80496466,120.0,-3.5867274,0.0,244.0,0.025
6,0.03198354,0.56822836,0.071318805,0.7879038,140.0,-3.8154757,0.05,284.0,0.0
7,0.026452014,0.5704784,0.06474193,0.7759005,160.0,-3.5668464,0.05,324.0,0.0
8,0.028392738,0.57024336,0.06286443,0.7621752,180.0,-3.753622,0.05,364.0,0.025
9,0.023124997,0.57148206,0.0550258,0.75143623,200.0,-3.7371922,0.05,404.0,0.05
10,0.016892817,0.57219577,0.04919583,0.7415278,220.0,-3.6114035,0.15,444.0,0.025
11,0.016330939,0.5696846,0.046259306,0.7308847,240.0,-3.7026863,0.3,484.0,0.05
12,0.013852915,0.573112,0.041496947,0.7232044,260.0,-3.1587594,0.2,524.0,0.075
13,0.012503231,0.5733985,0.0391253,0.7152124,280.0,-3.2010748,0.2,564.0,0.175
14,0.01088726,0.5751807,0.036870353,0.7073313,300.0,-3.924947,0.15,604.0,0.075
15,0.011046675,0.57336247,0.03588045,0.6988381,320.0,-3.654461,0.5,644.0,0.1
16,0.01229741,0.5761721,0.033592127,0.69325453,340.0,-3.6710289,0.4,684.0,0.125
17,0.014908544,0.5755925,0.03226137,0.68520355,360.0,-3.171708,0.4,724.0,0.1
18,0.015508968,0.5738007,0.032273937,0.67785877,380.0,-3.165022,0.7,764.0,0.075
19,0.012058208,0.574476,0.029147131,0.6734895,400.0,-3.6642616,0.55,804.0,0.25
20,0.013078565,0.57514286,0.029738834,0.66834146,420.0,-3.372072,0.5,844.0,0.2
21,0.010339683,0.5755054,0.028268542,0.66329503,440.0,-3.0461535,0.6,884.0,0.25
22,0.011619149,0.5756984,0.028120842,0.65769196,460.0,-3.45157,0.3,924.0,0.225
23,0.011588062,0.5780635,0.027681436,0.6536953,480.0,-3.582948,0.6,964.0,0.2
24,0.014184379,0.57792675,0.027845811,0.64925414,500.0,-3.4684923,0.45,1004.0,0.175
25,0.014140794,0.577719,0.02748691,0.64526176,520.0,-3.5291574,0.5,1044.0,0.25
26,0.016914649,0.5784621,0.027756367,0.6406569,540.0,-4.4476514,0.35,1084.0,0.175
27,0.014209643,0.5779077,0.025891166,0.6364569,560.0,-3.3229342,0.55,1124.0,0.2
28,0.015774904,0.5774102,0.025862938,0.63238263,580.0,-3.485788,0.3,1164.0,0.125
29,0.014341931,0.57706237,0.024029609,0.6287369,600.0,-3.3893914,0.7,1204.0,0.175
30,0.015939543,0.5777271,0.024643386,0.6250498,620.0,-3.3670716,0.65,1244.0,0.1
31,0.01627146,0.57610846,0.024430279,0.620488,640.0,-3.1534936,0.55,1284.0,0.125
32,0.018535044,0.5754611,0.025063116,0.61746275,660.0,-3.3817134,0.75,1324.0,0.25
33,0.021551792,0.5765396,0.025765758,0.6147939,680.0,-3.2410727,0.85,1364.0,0.1
34,0.019821605,0.57883096,0.02413017,0.61304957,700.0,-3.4680984,0.6,1404.0,0.225
35,0.020936249,0.57854116,0.024592182,0.6108369,720.0,-3.6471715,0.7,1444.0,0.15
36,0.019801933,0.57873654,0.023789665,0.6085298,740.0,-3.2274144,0.8,1484.0,0.25
37,0.019347982,0.5782472,0.02323426,0.6060199,760.0,-3.8615718,0.8,1524.0,0.225
38,0.018939637,0.5776098,0.022668049,0.60328376,780.0,-3.6445055,0.9,1564.0,0.175
39,0.017938245,0.5767852,0.021840213,0.60100174,800.0,-3.6560745,0.85,1604.0,0.3
40,0.016808433,0.5769054,0.020779073,0.5988846,820.0,-3.6327312,0.85,1644.0,0.2
41,0.017864715,0.5767957,0.021058485,0.5981552,840.0,-3.5138917,0.7,1684.0,0.2
42,0.01666651,0.57732,0.020115957,0.5966332,860.0,-3.0122433,0.7,1724.0,0.225
43,0.019745136,0.5775056,0.020946516,0.5962528,880.0,-3.8324819,0.95,1764.0,0.15
44,0.018458243,0.57787967,0.02031618,0.5957228,900.0,-3.2889228,0.95,1804.0,0.225
45,0.01775917,0.57802045,0.01974794,0.5949409,920.0,-3.8328526,0.7,1844.0,0.35
46,0.016319389,0.57692647,0.018658463,0.5934789,940.0,-3.6508958,0.8,1884.0,0.2
47,0.016088406,0.57769835,0.018240387,0.5924341,960.0,-3.2954779,0.85,1924.0,0.325
48,0.014584983,0.5785806,0.017357703,0.59145874,980.0,-3.203562,0.95,1964.0,0.35
49,0.014765816,0.5787566,0.01715981,0.5898834,1000.0,-3.6693258,0.85,2004.0,0.35
