epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.015501946,0.5614267,-0.052656207,1.1437373,20.0,-2.5426464,0.0,40.0,0.0
1,0.07297961,0.5772433,-0.0839925,1.0315919,40.0,-2.7399094,0.0,80.0,0.0
2,0.043325637,0.5793476,-0.12563625,0.9456379,60.0,-2.938116,0.0,120.0,0.0
3,-0.009409852,0.5764917,-0.11469774,0.9073949,80.0,-2.9161074,0.0,160.0,0.0
4,-0.013127084,0.5819844,-0.09341863,0.86399806,100.0,-3.4396136,0.0,200.0,0.0
5,-0.0073721465,0.5773041,-0.10069594,0.83245885,120.0,-3.298205,0.0,240.0,0.0
6,-0.0015404215,0.57878506,-0.08522214,0.8092076,140.0,-3.5501568,0.0,280.0,0.025
7,-0.0044352226,0.5812564,-0.08722725,0.78223574,160.0,-3.643328,0.0,320.0,0.025
8,2.7277041e-05,0.57627386,-0.08113896,0.75848603,180.0,-2.5159967,0.0,360.0,0.0
9,0.0031258846,0.5757574,-0.07731826,0.73966813,200.0,-2.6728342,0.25,400.0,0.025
10,0.004111343,0.5757574,-0.07222873,0.7237841,220.0,-2.6263814,0.25,440.0,0.05
11,0.0116203185,0.57665306,-0.06292121,0.70888615,240.0,-2.5578718,0.4,480.0,0.025
12,0.013356769,0.57693064,-0.05673565,0.6955448,260.0,-2.818838,0.15,520.0,0.125
13,0.019842215,0.57265973,-0.049555823,0.6836922,280.0,-2.5772038,0.25,560.0,0.15
14,0.012765292,0.57223034,-0.047275726,0.67285335,300.0,-2.9445577,0.25,600.0,0.1
15,0.0062675234,0.5706875,-0.04516769,0.6641216,320.0,-2.7938695,0.1,640.0,0.1
16,0.005956022,0.5727271,-0.04159222,0.6561634,340.0,-2.438432,0.2,680.0,0.125
17,0.0059755724,0.5748411,-0.037195906,0.6498747,360.0,-2.6501324,0.15,720.0,0.1
18,0.001855535,0.5738765,-0.034768116,0.6422783,380.0,-2.6491528,0.1,760.0,0.075
19,0.001641715,0.5767441,-0.030912753,0.63911647,400.0,-2.9918199,0.2,800.0,0.025
20,0.0048764874,0.5767193,-0.026962817,0.63332266,420.0,-2.5694869,0.1,840.0,0.075
21,0.0050596446,0.57585466,-0.024266351,0.6274916,440.0,-2.554394,0.3,880.0,0.125
22,0.004370294,0.57509303,-0.021873528,0.62259555,460.0,-2.4410903,0.5,920.0,0.05
23,0.004021936,0.5752826,-0.020372767,0.61769676,480.0,-2.67878,0.4,960.0,0.075
24,0.00086364313,0.57166594,-0.019947782,0.61136055,500.0,-2.5794518,0.2,1000.0,0.125
25,0.004488097,0.57052225,-0.016223382,0.6073995,520.0,-2.8379464,0.45,1040.0,0.1
26,0.0047121015,0.57071966,-0.014466181,0.6043514,540.0,-2.7652829,0.4,1080.0,0.125
27,0.0047962903,0.5718102,-0.013110196,0.6015036,560.0,-2.6102371,0.4,1120.0,0.225
28,0.0043445574,0.5731859,-0.01217399,0.5989467,580.0,-2.6223154,0.2,1160.0,0.125
29,0.0041237976,0.5725266,-0.011175128,0.5969473,600.0,-2.3627408,0.65,1200.0,0.175
30,0.0054073897,0.57333016,-0.009912128,0.5950212,620.0,-2.8690946,0.65,1240.0,0.175
31,0.008385616,0.5742247,-0.007450631,0.5927336,640.0,-2.572076,0.45,1280.0,0.225
32,0.01141357,0.57577765,-0.004558104,0.5912811,660.0,-2.4514794,0.6,1320.0,0.325
33,0.012056973,0.57562923,-0.0033856165,0.5889009,680.0,-2.568645,0.35,1360.0,0.225
34,0.013685929,0.5762385,-0.0022595478,0.58646363,700.0,-2.3208447,0.75,1400.0,0.175
35,0.011304324,0.57720375,-0.0030971556,0.5850304,720.0,-3.0349045,0.65,1440.0,0.225
36,0.01020101,0.57813394,-0.0033045541,0.5838609,740.0,-2.9522748,0.6,1480.0,0.1
37,0.00925013,0.57940155,-0.0032965597,0.58248997,760.0,-2.7736335,0.45,1520.0,0.125
38,0.010678148,0.5792519,-0.0022532726,0.58150864,780.0,-2.8537066,0.8,1560.0,0.25
39,0.011349777,0.5792396,-0.0018671541,0.58001834,800.0,-3.2081473,0.85,1600.0,0.25
40,0.008889046,0.57962817,-0.0028513623,0.5784372,820.0,-2.1807652,0.85,1640.0,0.225
41,0.006810018,0.57985175,-0.0038224752,0.57704616,840.0,-2.903158,0.7,1680.0,0.275
42,0.0072480654,0.5799758,-0.0036318987,0.57543796,860.0,-2.9575138,0.65,1720.0,0.25
43,0.009017102,0.57976735,-0.0024850653,0.57429534,880.0,-2.5693066,0.9,1760.0,0.275
44,0.008139325,0.5793022,-0.0029873364,0.5736636,900.0,-3.2091837,0.95,1800.0,0.275
45,0.0065775695,0.57867616,-0.0036966233,0.57197094,920.0,-2.6661708,0.9,1840.0,0.225
46,0.008527166,0.5792626,-0.0026472067,0.57091856,940.0,-2.4693546,0.85,1880.0,0.275
47,0.008114168,0.57913,-0.0027042367,0.56952065,960.0,-3.280756,0.8,1920.0,0.225
48,0.007840133,0.57845664,-0.003104826,0.5683979,980.0,-2.728136,0.95,1960.0,0.275
49,0.009634359,0.57782054,-0.001975224,0.5671044,1000.0,-2.6251285,0.85,2000.0,0.325
