loss,step,epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
[31.104988],0,,,,,,,,,,
[1.9386507],100,,,,,,,,,,
[1.4995158],200,,,,,,,,,,
[1.0229056],300,,,,,,,,,,
[0.89973253],400,,,,,,,,,,
[0.6140275],500,,,,,,,,,,
[0.6515003],600,,,,,,,,,,
[0.4858572],700,,,,,,,,,,
[0.4516001],800,,,,,,,,,,
[0.42328042],900,,,,,,,,,,
[0.40182376],1000,,,,,,,,,,
[0.34348503],1100,,,,,,,,,,
[0.39870098],1200,,,,,,,,,,
[0.39997458],1300,,,,,,,,,,
[0.31787616],1400,,,,,,,,,,
[0.25943553],1500,,,,,,,,,,
[0.3322538],1600,,,,,,,,,,
[0.22451645],1700,,,,,,,,,,
[0.28063104],1800,,,,,,,,,,
[0.20580798],1900,,,,,,,,,,
,,0,0.8776085,0.10808677,0.20129612,0.0835349,20.0,4.587965,0.0,204.0,0.055
,,1,0.8772609,0.10787487,0.20153934,0.08690724,40.0,3.1697392,0.05,404.0,0.025
,,2,0.8773958,0.10757794,0.20175843,0.086996734,60.0,3.7207935,0.1,604.0,0.035
,,3,0.8771338,0.10738662,0.20205171,0.08629198,80.0,3.171629,0.1,804.0,0.04
,,4,0.877744,0.10783336,0.20210949,0.085417554,100.0,1.2225078,0.0,1004.0,0.02
,,5,0.8770855,0.107557885,0.20229517,0.08401744,120.0,2.2206113,0.1,1204.0,0.03
,,6,0.87606984,0.10731236,0.20245424,0.08266841,140.0,1.3088095,0.0,1404.0,0.03
,,7,0.876054,0.10699407,0.20258932,0.08127049,160.0,-0.37256938,0.0,1604.0,0.035
,,8,0.8759844,0.106821716,0.20268531,0.079638146,180.0,-0.7111129,0.05,1804.0,0.025
,,9,0.875797,0.10660958,0.20275086,0.07804947,200.0,0.15797982,0.05,2004.0,0.025
,,10,0.8751057,0.10640949,0.20282853,0.07657105,220.0,-1.5739907,0.05,2204.0,0.035
,,11,0.87500834,0.10626488,0.20283613,0.07524871,240.0,-2.1625106,0.1,2404.0,0.045
,,12,0.8750984,0.10642594,0.20295645,0.074027695,260.0,-1.7619288,0.0,2604.0,0.03
,,13,0.87501544,0.106391944,0.20293528,0.072898455,280.0,-2.8853965,0.0,2804.0,0.08
,,14,0.8749373,0.106396556,0.2029415,0.071836606,300.0,-3.0070777,0.0,3004.0,0.05
,,15,0.87527686,0.1065067,0.20297699,0.07084714,320.0,-3.4725142,0.1,3204.0,0.06
,,16,0.8752108,0.10652933,0.2030756,0.06995711,340.0,-3.619069,0.0,3404.0,0.025
,,17,0.87524796,0.106502034,0.2031225,0.069054775,360.0,-4.109289,0.0,3604.0,0.04
,,18,0.87541676,0.10650947,0.20322867,0.068271525,380.0,-4.259564,0.0,3804.0,0.025
,,19,0.87563086,0.10655888,0.20326388,0.06756593,400.0,-4.071672,0.0,4004.0,0.035
,,20,0.87563294,0.1065921,0.20332865,0.06683515,420.0,-5.076174,0.15,4204.0,0.025
,,21,0.8757642,0.10658416,0.20331231,0.06616672,440.0,-4.956213,0.1,4404.0,0.055
,,22,0.87604666,0.106684685,0.20342636,0.06555541,460.0,-4.779445,0.05,4604.0,0.035
,,23,0.87598515,0.10667804,0.20343846,0.06501902,480.0,-6.357612,0.0,4804.0,0.04
,,24,0.87581867,0.10668967,0.20342301,0.0644419,500.0,-5.7900586,0.1,5004.0,0.03
,,25,0.87582034,0.10672283,0.2033759,0.063947074,520.0,-6.624561,0.05,5204.0,0.03
,,26,0.8758498,0.10667756,0.2033942,0.06343348,540.0,-5.9162564,0.05,5404.0,0.03
,,27,0.875897,0.10674832,0.2034536,0.062934816,560.0,-7.0606484,0.05,5604.0,0.01
,,28,0.87592196,0.106562614,0.20342468,0.06243813,580.0,-5.64225,0.05,5804.0,0.035
,,29,0.8759067,0.106555216,0.20345409,0.061992273,600.0,-6.7923765,0.05,6004.0,0.07
,,30,0.8758507,0.10657985,0.20348497,0.061650008,620.0,-7.495843,0.0,6204.0,0.055
,,31,0.87591934,0.10671576,0.20351839,0.061358873,640.0,-7.167379,0.1,6404.0,0.05
,,32,0.87597066,0.10670533,0.20354222,0.06095481,660.0,-7.679347,0.0,6604.0,0.03
,,33,0.8759033,0.10668782,0.20352499,0.060590215,680.0,-8.451041,0.0,6804.0,0.035
,,34,0.8758537,0.106662415,0.20352489,0.060195554,700.0,-8.295053,0.0,7004.0,0.035
,,35,0.8756623,0.10656282,0.20353435,0.05996209,720.0,-8.252913,0.05,7204.0,0.035
,,36,0.8756047,0.10656944,0.20354502,0.05963075,740.0,-8.450711,0.0,7404.0,0.035
,,37,0.8757429,0.10664579,0.20351759,0.059311748,760.0,-8.892258,0.0,7604.0,0.035
,,38,0.87593913,0.10668407,0.20353046,0.059021372,780.0,-7.366013,0.1,7804.0,0.025
,,39,0.87608814,0.10668204,0.20355015,0.058727037,800.0,-9.88138,0.0,8004.0,0.035
,,40,0.8759945,0.106639065,0.20356183,0.058451906,820.0,-7.9289474,0.1,8204.0,0.03
,,41,0.87604207,0.106639646,0.2035725,0.058185663,840.0,-9.01065,0.1,8404.0,0.015
,,42,0.8759745,0.10655749,0.2035978,0.057944678,860.0,-12.022246,0.0,8604.0,0.03
,,43,0.8758666,0.10654056,0.20357832,0.057745162,880.0,-9.35492,0.1,8804.0,0.065
,,44,0.87596995,0.1065586,0.2036182,0.057473402,900.0,-8.657386,0.0,9004.0,0.04
,,45,0.8759484,0.10655672,0.20362696,0.057219796,920.0,-10.446764,0.0,9204.0,0.06
,,46,0.87596345,0.10660577,0.203656,0.05697505,940.0,-10.461661,0.05,9404.0,0.035
,,47,0.87597543,0.10656047,0.20369667,0.05674643,960.0,-9.610025,0.05,9604.0,0.065
,,48,0.87609595,0.10664627,0.20371796,0.056529075,980.0,-9.316904,0.0,9804.0,0.025
,,49,0.8760478,0.10664155,0.20373608,0.05630643,1000.0,-11.79225,0.05,10004.0,0.02
,,50,0.8761689,0.10669836,0.20370895,0.056096338,1020.0,-8.930735,0.05,10204.0,0.025
,,51,0.8762334,0.10673767,0.20372559,0.05595171,1040.0,-9.018205,0.05,10404.0,0.055
,,52,0.87615615,0.106702946,0.2037457,0.055736095,1060.0,-9.941651,0.05,10604.0,0.03
,,53,0.8762317,0.10673668,0.20376071,0.05565931,1080.0,-10.089637,0.0,10804.0,0.02
,,54,0.8762224,0.1067273,0.20373778,0.055504486,1100.0,-10.879751,0.05,11004.0,0.045
,,55,0.87624675,0.106714524,0.20375118,0.05533954,1120.0,-9.826597,0.1,11204.0,0.02
,,56,0.87624985,0.10672005,0.2037551,0.055146646,1140.0,-9.67547,0.05,11404.0,0.035
,,57,0.876235,0.10665678,0.2037478,0.054972116,1160.0,-10.5297575,0.05,11604.0,0.04
,,58,0.87625074,0.10669104,0.20374593,0.054860562,1180.0,-11.42911,0.05,11804.0,0.055
,,59,0.8762893,0.106660366,0.20375203,0.054731738,1200.0,-11.073762,0.0,12004.0,0.025
,,60,0.876317,0.10670226,0.20378141,0.05455106,1220.0,-10.2364235,0.05,12204.0,0.025
,,61,0.8762689,0.10667797,0.20377086,0.054388884,1240.0,-7.6980886,0.15,12404.0,0.035
,,62,0.87616295,0.1066454,0.20378017,0.05422439,1260.0,-9.368984,0.05,12604.0,0.025
,,63,0.87620354,0.1066643,0.20377941,0.054073554,1280.0,-10.6012125,0.0,12804.0,0.035
,,64,0.87633294,0.10668778,0.20378582,0.0539723,1300.0,-11.120095,0.0,13004.0,0.045
,,65,0.8762534,0.10659921,0.20380339,0.05381502,1320.0,-11.393,0.1,13204.0,0.035
,,66,0.87632304,0.10662413,0.20380604,0.053688046,1340.0,-9.887054,0.05,13404.0,0.015
,,67,0.8762922,0.10656949,0.20381008,0.053570583,1360.0,-10.413237,0.05,13604.0,0.035
,,68,0.87631494,0.10657627,0.2038398,0.053494994,1380.0,-11.192146,0.0,13804.0,0.03
,,69,0.87639326,0.10658536,0.20383623,0.053414226,1400.0,-11.471922,0.05,14004.0,0.035
,,70,0.8763358,0.10656976,0.20383492,0.053281564,1420.0,-10.309656,0.05,14204.0,0.025
,,71,0.876369,0.10652661,0.20383322,0.053242736,1440.0,-10.700685,0.05,14404.0,0.06
,,72,0.87643605,0.10656083,0.2038487,0.05323912,1460.0,-10.730433,0.0,14604.0,0.025
,,73,0.8763914,0.10652473,0.20383741,0.053157598,1480.0,-10.968049,0.05,14804.0,0.04
,,74,0.8763165,0.10653559,0.20383732,0.053039584,1500.0,-12.833861,0.0,15004.0,0.06
,,75,0.87628144,0.1065015,0.20384382,0.052913856,1520.0,-10.117156,0.0,15204.0,0.025
,,76,0.876321,0.1065194,0.20384061,0.052781973,1540.0,-13.193395,0.0,15404.0,0.035
,,77,0.8763283,0.10650941,0.20382518,0.052673254,1560.0,-12.442166,0.0,15604.0,0.03
,,78,0.87632436,0.10647237,0.20382717,0.052627236,1580.0,-11.8989315,0.0,15804.0,0.04
,,79,0.8764179,0.10654227,0.2038475,0.0525177,1600.0,-10.379846,0.05,16004.0,0.025
,,80,0.87640905,0.10651902,0.20387171,0.052400857,1620.0,-11.63616,0.05,16204.0,0.015
,,81,0.8763683,0.10649232,0.2038747,0.052310847,1640.0,-9.718236,0.05,16404.0,0.065
,,82,0.8763948,0.106512226,0.20387696,0.052211247,1660.0,-13.292341,0.0,16604.0,0.04
,,83,0.87638205,0.10647482,0.2038859,0.052155472,1680.0,-11.2705765,0.0,16804.0,0.065
,,84,0.8763624,0.106475234,0.20388536,0.052056927,1700.0,-9.782937,0.1,17004.0,0.025
,,85,0.87634605,0.10654417,0.203884,0.05198367,1720.0,-10.709027,0.0,17204.0,0.015
,,86,0.87634915,0.10651819,0.20388597,0.051951677,1740.0,-12.747687,0.0,17404.0,0.055
,,87,0.87636846,0.106498905,0.20388085,0.051841144,1760.0,-11.93651,0.05,17604.0,0.03
,,88,0.8763091,0.10648767,0.20388912,0.0517487,1780.0,-11.291587,0.1,17804.0,0.03
,,89,0.87629384,0.10650549,0.20389263,0.051666893,1800.0,-11.181217,0.0,18004.0,0.035
,,90,0.8762774,0.10647396,0.20389447,0.051578876,1820.0,-11.907974,0.0,18204.0,0.045
,,91,0.8762989,0.10645714,0.20389932,0.05154457,1840.0,-10.417237,0.05,18404.0,0.045
,,92,0.87627345,0.10646524,0.20389041,0.05153463,1860.0,-12.364793,0.1,18604.0,0.035
,,93,0.8762433,0.10647603,0.20390083,0.05144775,1880.0,-11.724963,0.05,18804.0,0.035
,,94,0.8762679,0.1064842,0.2039041,0.05136902,1900.0,-10.791661,0.05,19004.0,0.02
,,95,0.87628585,0.10648791,0.2038993,0.05133412,1920.0,-7.8631573,0.05,19204.0,0.03
,,96,0.87628627,0.10648805,0.20389415,0.05130921,1940.0,-12.955289,0.0,19404.0,0.025
,,97,0.8763551,0.10644742,0.20389047,0.051260196,1960.0,-10.312651,0.0,19604.0,0.045
,,98,0.87630606,0.10644535,0.20388508,0.051215515,1980.0,-9.5208845,0.05,19804.0,0.04
,,99,0.8763476,0.106467135,0.20388165,0.05114581,2000.0,-10.632911,0.0,20004.0,0.04
