epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8462073,0.09016865,0.20424746,0.037832823,20.0,-0.86301124,0.05,200.0,0.015
1,0.8452992,0.09032056,0.20396684,0.03921972,40.0,-1.1693838,0.05,400.0,0.025
2,0.8456998,0.091778,0.20400646,0.03982149,60.0,-1.8327016,0.1,600.0,0.02
3,0.8449314,0.090935685,0.20382786,0.038943328,80.0,-1.9288747,0.0,800.0,0.025
4,0.84361273,0.0910572,0.20346498,0.039262682,100.0,-2.227369,0.0,1000.0,0.025
5,0.84390783,0.09155095,0.20345263,0.040708955,120.0,-3.192394,0.0,1200.0,0.015
6,0.8441655,0.09180238,0.2034836,0.041503645,140.0,-3.0889542,0.05,1400.0,0.03
7,0.84437776,0.09190124,0.20356473,0.041875057,160.0,-4.030369,0.0,1600.0,0.04
8,0.8445665,0.092147,0.2035663,0.041967746,180.0,-4.3953443,0.0,1800.0,0.01
9,0.8448453,0.09240835,0.20364961,0.0425864,200.0,-4.831775,0.05,2000.0,0.045
10,0.8451014,0.09231487,0.20375381,0.043932926,220.0,-4.490872,0.0,2200.0,0.05
11,0.8450431,0.09236006,0.20374273,0.044379637,240.0,-4.6228027,0.0,2400.0,0.06
12,0.8451216,0.092540175,0.20373262,0.04450411,260.0,-5.628043,0.0,2600.0,0.065
13,0.8448653,0.09274543,0.2036485,0.04553296,280.0,-7.7870603,0.0,2800.0,0.04
14,0.84485906,0.092751026,0.20362976,0.046052657,300.0,-5.4364853,0.05,3000.0,0.02
15,0.8447156,0.09288994,0.20359401,0.045958854,320.0,-6.020687,0.05,3200.0,0.03
16,0.8448289,0.09296461,0.20363298,0.046410218,340.0,-6.466956,0.05,3400.0,0.035
17,0.8448768,0.09299732,0.20367841,0.04682704,360.0,-5.6891074,0.1,3600.0,0.045
18,0.8449657,0.09329239,0.20368691,0.047486678,380.0,-7.2599177,0.0,3800.0,0.03
19,0.8450916,0.09346893,0.2037611,0.04754747,400.0,-7.209815,0.05,4000.0,0.045
20,0.84488267,0.0935696,0.20371908,0.04774346,420.0,-6.6311197,0.0,4200.0,0.03
21,0.84491247,0.09359035,0.20374507,0.04788327,440.0,-7.1263485,0.1,4400.0,0.025
22,0.84491795,0.093515396,0.20378338,0.048164487,460.0,-6.8611393,0.1,4600.0,0.005
23,0.84487945,0.09339159,0.20380123,0.048141867,480.0,-5.7917314,0.1,4800.0,0.06
24,0.84472054,0.093180686,0.20372772,0.048378035,500.0,-5.5655956,0.0,5000.0,0.06
25,0.8449952,0.093187034,0.20378056,0.04905571,520.0,-7.4098716,0.0,5200.0,0.04
26,0.84502053,0.093197055,0.20379452,0.04949396,540.0,-6.390197,0.05,5400.0,0.04
27,0.8450721,0.09330926,0.20384367,0.05007335,560.0,-8.622297,0.05,5600.0,0.02
28,0.8451362,0.09345003,0.20382647,0.050209586,580.0,-7.274409,0.05,5800.0,0.035
29,0.8450952,0.09351743,0.20383216,0.0505583,600.0,-7.068383,0.1,6000.0,0.03
30,0.84506226,0.09357452,0.20386821,0.05099038,620.0,-8.724973,0.0,6200.0,0.05
31,0.8452649,0.09357516,0.20391138,0.05088277,640.0,-7.7138,0.1,6400.0,0.06
32,0.8453167,0.093773104,0.20389421,0.051288173,660.0,-7.5862503,0.0,6600.0,0.055
33,0.84536153,0.09385402,0.20389092,0.051895496,680.0,-8.248502,0.05,6800.0,0.02
34,0.8452948,0.093893565,0.20388196,0.052331854,700.0,-7.6117005,0.05,7000.0,0.025
35,0.8451352,0.094101846,0.2038699,0.053123116,720.0,-9.091523,0.05,7200.0,0.015
36,0.8452104,0.09409202,0.20388032,0.05348842,740.0,-8.57231,0.0,7400.0,0.025
37,0.84504104,0.094200514,0.20386015,0.053882834,760.0,-9.298591,0.1,7600.0,0.055
38,0.8450625,0.09423258,0.20384596,0.054018788,780.0,-8.109579,0.05,7800.0,0.055
39,0.8450286,0.09434775,0.20387723,0.054513264,800.0,-8.470066,0.0,8000.0,0.02
40,0.8450281,0.09432436,0.20387311,0.05483739,820.0,-9.068234,0.05,8200.0,0.03
41,0.8449888,0.09441952,0.20385769,0.05478542,840.0,-9.159628,0.0,8400.0,0.01
42,0.844979,0.094458334,0.20386063,0.055146877,860.0,-8.018999,0.0,8600.0,0.045
43,0.8450424,0.0945642,0.20387737,0.055308133,880.0,-10.524392,0.0,8800.0,0.02
44,0.84513193,0.0945346,0.20390464,0.055302005,900.0,-7.887649,0.1,9000.0,0.065
45,0.84504867,0.094503365,0.20388316,0.055654336,920.0,-9.674719,0.0,9200.0,0.06
46,0.8451312,0.094497584,0.20389849,0.055924676,940.0,-9.99642,0.1,9400.0,0.05
47,0.8451802,0.09451091,0.20390388,0.055822324,960.0,-8.806078,0.05,9600.0,0.045
48,0.845233,0.09451917,0.20391546,0.056034934,980.0,-8.563174,0.1,9800.0,0.055
49,0.84518415,0.09457006,0.20390475,0.05605141,1000.0,-8.206117,0.1,10000.0,0.04
