epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8706836,0.10017151,0.20496601,0.036110666,20.0,-0.69506276,0.1,200.0,0.045
1,0.8752935,0.10343438,0.20476389,0.03954133,40.0,-1.1053542,0.0,400.0,0.025
2,0.8735936,0.102052785,0.20456812,0.0437045,60.0,-1.5759978,0.1,600.0,0.06
3,0.8751609,0.1041466,0.20436913,0.04491978,80.0,-2.5750864,0.05,800.0,0.02
4,0.8751893,0.10432751,0.20411715,0.044047043,100.0,-2.363941,0.1,1000.0,0.045
5,0.8748929,0.104655646,0.20396847,0.044546537,120.0,-3.168126,0.0,1200.0,0.03
6,0.8757193,0.10491591,0.20390645,0.044694528,140.0,-3.706233,0.0,1400.0,0.045
7,0.87505263,0.10485109,0.20387739,0.04409286,160.0,-3.7940497,0.1,1600.0,0.065
8,0.87556696,0.10510207,0.20384268,0.04360822,180.0,-3.3220108,0.05,1800.0,0.02
9,0.8751273,0.1049383,0.20396948,0.043136884,200.0,-4.1666017,0.1,2000.0,0.045
10,0.87601715,0.10474121,0.20398465,0.042732447,220.0,-4.249786,0.05,2200.0,0.015
11,0.8761704,0.10495553,0.20412341,0.04266986,240.0,-5.1735244,0.05,2400.0,0.035
12,0.8759925,0.10508626,0.20413977,0.043171946,260.0,-5.274245,0.1,2600.0,0.055
13,0.876043,0.10525232,0.20412214,0.042887818,280.0,-5.7361474,0.0,2800.0,0.025
14,0.8758293,0.105324484,0.2041931,0.042508807,300.0,-5.840639,0.0,3000.0,0.04
15,0.87570477,0.10535962,0.20422596,0.04221202,320.0,-6.5775194,0.0,3200.0,0.045
16,0.87535787,0.10531986,0.20419806,0.04219001,340.0,-6.8350883,0.05,3400.0,0.025
17,0.87530977,0.10545484,0.20423344,0.042014394,360.0,-7.505841,0.0,3600.0,0.015
18,0.87516326,0.1050499,0.20410468,0.042673554,380.0,-8.24771,0.0,3800.0,0.015
19,0.87530893,0.10511538,0.20410442,0.042510584,400.0,-6.8763127,0.0,4000.0,0.03
20,0.87536675,0.105167605,0.20404041,0.042471357,420.0,-7.7588067,0.0,4200.0,0.04
21,0.87547654,0.10519872,0.20405287,0.042571865,440.0,-7.5137863,0.05,4400.0,0.035
22,0.87555456,0.105230115,0.2040483,0.04287551,460.0,-8.609514,0.0,4600.0,0.05
23,0.87541944,0.105257384,0.20404945,0.043133594,480.0,-9.118629,0.05,4800.0,0.06
24,0.87545896,0.10537229,0.20404068,0.04292895,500.0,-7.338381,0.05,5000.0,0.045
25,0.87545276,0.10554743,0.20406891,0.0427594,520.0,-8.340692,0.0,5200.0,0.01
26,0.8752012,0.105517246,0.20406483,0.0425874,540.0,-8.728718,0.0,5400.0,0.035
27,0.8754225,0.10561346,0.20412827,0.042741284,560.0,-7.237392,0.05,5600.0,0.03
28,0.8755927,0.105613,0.20410542,0.042873744,580.0,-9.778617,0.0,5800.0,0.055
29,0.87540454,0.10562569,0.2041601,0.043210544,600.0,-8.534913,0.05,6000.0,0.04
30,0.87546474,0.105677895,0.20420334,0.043297816,620.0,-8.541444,0.0,6200.0,0.05
31,0.87541986,0.1057527,0.20415886,0.043298796,640.0,-8.346921,0.0,6400.0,0.025
32,0.87534624,0.10566759,0.20417045,0.04326715,660.0,-7.99109,0.05,6600.0,0.03
33,0.87535113,0.105708815,0.20419925,0.04317289,680.0,-8.304788,0.0,6800.0,0.03
