loss,step,epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
[31.214441],0,,,,,,,,,,
[2.3531976],100,,,,,,,,,,
[1.215584],200,,,,,,,,,,
[1.1452792],300,,,,,,,,,,
[0.9470674],400,,,,,,,,,,
[0.7586436],500,,,,,,,,,,
[0.864338],600,,,,,,,,,,
[0.75074804],700,,,,,,,,,,
[0.69589406],800,,,,,,,,,,
[0.37856463],900,,,,,,,,,,
[0.37568557],1000,,,,,,,,,,
[0.30338466],1100,,,,,,,,,,
[0.336241],1200,,,,,,,,,,
[0.30541527],1300,,,,,,,,,,
[0.23061205],1400,,,,,,,,,,
[0.29607445],1500,,,,,,,,,,
[0.2960275],1600,,,,,,,,,,
[0.30303606],1700,,,,,,,,,,
[0.26764804],1800,,,,,,,,,,
[0.22419499],1900,,,,,,,,,,
,,0,0.87559456,0.106921494,0.20529768,0.079942934,20.0,3.8083858,0.05,204.0,0.085
,,1,0.8750658,0.10658892,0.20523353,0.082034074,40.0,2.880492,0.05,404.0,0.065
,,2,0.8752791,0.10709002,0.20501223,0.08393137,60.0,3.2611697,0.0,604.0,0.045
,,3,0.8752671,0.10689341,0.20478223,0.083890915,80.0,2.662575,0.05,804.0,0.045
,,4,0.8752813,0.10683928,0.20475231,0.082855456,100.0,2.0124266,0.05,1004.0,0.03
,,5,0.8754391,0.106747866,0.2046504,0.081821166,120.0,1.3627877,0.0,1204.0,0.045
,,6,0.8752572,0.10694995,0.20454666,0.08058954,140.0,0.63245964,0.0,1404.0,0.035
,,7,0.8749564,0.10696828,0.20460665,0.079234816,160.0,0.48320255,0.1,1604.0,0.03
,,8,0.87530637,0.10704749,0.20453145,0.07779132,180.0,-0.31540534,0.1,1804.0,0.035
,,9,0.87500834,0.10697178,0.20460252,0.07662198,200.0,-0.5859034,0.05,2004.0,0.05
,,10,0.87517047,0.106999196,0.20453161,0.075214304,220.0,-1.3432986,0.05,2204.0,0.025
,,11,0.87552625,0.10704112,0.20453261,0.07390491,240.0,-2.1339283,0.05,2404.0,0.07
,,12,0.87529254,0.106877245,0.20451663,0.07270034,260.0,-2.348332,0.1,2604.0,0.045
,,13,0.87558866,0.1068759,0.20451415,0.07160588,280.0,-2.6968882,0.0,2804.0,0.035
,,14,0.8757728,0.106755316,0.2045139,0.0705852,300.0,-2.757243,0.05,3004.0,0.025
,,15,0.8757041,0.10667903,0.2044627,0.06964482,320.0,-3.182464,0.05,3204.0,0.05
,,16,0.8756754,0.10679502,0.20443097,0.06876273,340.0,-2.7671416,0.05,3404.0,0.04
,,17,0.87580293,0.10681487,0.20440947,0.067883946,360.0,-3.4575386,0.0,3604.0,0.03
,,18,0.87556905,0.10684685,0.2043818,0.067177854,380.0,-3.9838598,0.0,3804.0,0.02
,,19,0.8755853,0.10679015,0.20440632,0.06670888,400.0,-4.6884456,0.0,4004.0,0.045
,,20,0.8758785,0.10679519,0.20438644,0.06603114,420.0,-5.791497,0.05,4204.0,0.025
,,21,0.8757662,0.10679882,0.20439793,0.065540574,440.0,-5.086001,0.1,4404.0,0.04
,,22,0.8760411,0.10695049,0.20432623,0.06494393,460.0,-4.2069006,0.1,4604.0,0.055
,,23,0.8761092,0.10697702,0.20427579,0.06457771,480.0,-5.2954516,0.1,4804.0,0.035
,,24,0.87616706,0.107043624,0.20425124,0.06401932,500.0,-5.3808193,0.0,5004.0,0.015
,,25,0.8762906,0.10709859,0.20424038,0.063464954,520.0,-7.41337,0.05,5204.0,0.02
,,26,0.87638044,0.1071515,0.20429116,0.06299031,540.0,-5.7119875,0.05,5404.0,0.045
,,27,0.87628645,0.10709127,0.20429398,0.06267744,560.0,-6.480546,0.05,5604.0,0.055
,,28,0.87603694,0.10703373,0.20429325,0.062315837,580.0,-5.9746346,0.05,5804.0,0.055
,,29,0.87598723,0.106899776,0.20425996,0.06196731,600.0,-5.842849,0.1,6004.0,0.055
,,30,0.87588334,0.106867336,0.20420934,0.061565448,620.0,-7.5075116,0.0,6204.0,0.035
,,31,0.87574744,0.10682886,0.20424253,0.061314683,640.0,-6.5240383,0.1,6404.0,0.02
,,32,0.87585276,0.10685443,0.20423257,0.061011333,660.0,-8.234926,0.1,6604.0,0.04
,,33,0.8759008,0.106826045,0.2042517,0.060650337,680.0,-7.0275836,0.1,6804.0,0.015
,,34,0.87585926,0.10675799,0.2042617,0.060319785,700.0,-7.129172,0.1,7004.0,0.04
,,35,0.875928,0.106803894,0.20426422,0.059992064,720.0,-10.079159,0.05,7204.0,0.075
,,36,0.87602156,0.10686675,0.20425858,0.05968693,740.0,-7.5276856,0.1,7404.0,0.02
,,37,0.8759396,0.10681524,0.20427504,0.059405398,760.0,-8.083346,0.05,7604.0,0.045
,,38,0.875932,0.10674572,0.2042812,0.059135947,780.0,-9.800036,0.05,7804.0,0.04
,,39,0.87573594,0.10664654,0.20425789,0.058857694,800.0,-9.394418,0.05,8004.0,0.04
,,40,0.8757069,0.106652446,0.20424639,0.05869212,820.0,-9.39318,0.1,8204.0,0.04
,,41,0.8758437,0.106716335,0.20423366,0.05842675,840.0,-10.802203,0.0,8404.0,0.03
,,42,0.8757615,0.10669064,0.2042272,0.058339585,860.0,-10.039862,0.0,8604.0,0.025
,,43,0.87574244,0.106699646,0.20424257,0.05812321,880.0,-11.666999,0.0,8804.0,0.05
,,44,0.87562346,0.10663724,0.2042231,0.057930447,900.0,-11.240737,0.0,9004.0,0.065
,,45,0.87558717,0.10661507,0.20420028,0.05768253,920.0,-11.587225,0.0,9204.0,0.025
