epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8480838,0.09081167,0.20486706,0.04867803,20.0,-0.7652064,0.0,200.0,0.065
1,0.846169,0.09137297,0.20424189,0.047509313,40.0,-1.2394928,0.0,400.0,0.035
2,0.8466312,0.091924764,0.20423466,0.046417,60.0,-1.5835513,0.0,600.0,0.025
3,0.8472502,0.09314814,0.2043037,0.045737017,80.0,-2.4244604,0.0,800.0,0.035
4,0.8465442,0.09310561,0.20406736,0.046076335,100.0,-2.6885657,0.0,1000.0,0.03
5,0.84665656,0.092870556,0.2040658,0.045510773,120.0,-3.0865667,0.0,1200.0,0.02
6,0.8462679,0.09289505,0.2040474,0.04507701,140.0,-3.7975888,0.0,1400.0,0.03
7,0.84575325,0.09280685,0.20396377,0.04470685,160.0,-3.7073057,0.0,1600.0,0.045
8,0.8453238,0.09272594,0.20390655,0.044274975,180.0,-4.5178404,0.1,1800.0,0.02
9,0.8455644,0.092696704,0.20401737,0.044063564,200.0,-4.750878,0.0,2000.0,0.035
10,0.8456076,0.092414625,0.2040307,0.044730175,220.0,-3.9817257,0.15,2200.0,0.02
11,0.84550244,0.09276015,0.20399153,0.04528779,240.0,-3.8170235,0.1,2400.0,0.035
12,0.8456361,0.09297496,0.20398901,0.044931136,260.0,-6.4543724,0.0,2600.0,0.02
13,0.8454004,0.09292805,0.20389828,0.045349,280.0,-5.9590607,0.0,2800.0,0.055
14,0.8458031,0.093231924,0.20403793,0.047079273,300.0,-5.2361846,0.1,3000.0,0.035
15,0.84590816,0.09331683,0.20406814,0.04727144,320.0,-5.4062977,0.05,3200.0,0.035
16,0.84574676,0.09326372,0.20403278,0.04706417,340.0,-6.1394563,0.1,3400.0,0.025
17,0.8458436,0.093175136,0.20405556,0.047063045,360.0,-6.22869,0.05,3600.0,0.03
18,0.84585404,0.09324116,0.20407471,0.04704891,380.0,-6.3146906,0.0,3800.0,0.04
19,0.8459649,0.09323546,0.20412491,0.04710656,400.0,-7.9276423,0.0,4000.0,0.025
20,0.8455482,0.09317517,0.20396648,0.04732574,420.0,-7.0515575,0.05,4200.0,0.04
21,0.8455685,0.09346205,0.20394917,0.047280002,440.0,-6.624809,0.0,4400.0,0.03
22,0.84526324,0.093504906,0.20386139,0.047484625,460.0,-5.8771477,0.05,4600.0,0.025
23,0.8453562,0.09367409,0.20390785,0.047871016,480.0,-6.9522676,0.1,4800.0,0.09
24,0.84549934,0.09371694,0.20393622,0.047732007,500.0,-6.857828,0.15,5000.0,0.055
25,0.8456807,0.093651265,0.20398478,0.047870442,520.0,-7.7871423,0.1,5200.0,0.03
26,0.8456972,0.093646474,0.20399018,0.04789621,540.0,-6.783233,0.05,5400.0,0.04
27,0.8456791,0.09363243,0.20396732,0.047993734,560.0,-10.011458,0.0,5600.0,0.03
28,0.84557134,0.09362334,0.2039476,0.04793929,580.0,-8.58374,0.0,5800.0,0.055
29,0.8455241,0.093633525,0.20394988,0.047975935,600.0,-9.233751,0.05,6000.0,0.03
30,0.84542185,0.09369135,0.20393878,0.048175484,620.0,-7.8643436,0.0,6200.0,0.035
31,0.8454635,0.09362638,0.20394804,0.048113123,640.0,-8.597444,0.0,6400.0,0.02
32,0.84552354,0.09351519,0.2039772,0.04811139,660.0,-10.130254,0.0,6600.0,0.025
33,0.84554726,0.09356543,0.20396578,0.048120357,680.0,-8.954549,0.0,6800.0,0.03
34,0.8455522,0.093465425,0.20397834,0.04834198,700.0,-8.297902,0.15,7000.0,0.04
35,0.8455608,0.093480766,0.20397776,0.04845324,720.0,-7.457336,0.0,7200.0,0.065
36,0.84548396,0.09345453,0.2039741,0.04854883,740.0,-10.105232,0.05,7400.0,0.045
37,0.8454787,0.093541555,0.20398127,0.048992705,760.0,-8.996899,0.05,7600.0,0.05
38,0.8454698,0.0935736,0.20394422,0.04906167,780.0,-9.932121,0.0,7800.0,0.05
39,0.84555763,0.093607076,0.20395845,0.049915638,800.0,-8.343467,0.05,8000.0,0.06
40,0.84561515,0.09356007,0.20397423,0.04991776,820.0,-8.413095,0.05,8200.0,0.025
41,0.84557277,0.09350214,0.20398018,0.050187305,840.0,-10.906621,0.05,8400.0,0.025
42,0.84562105,0.093500085,0.20399463,0.05059059,860.0,-9.389586,0.05,8600.0,0.035
43,0.84563285,0.093476646,0.20400053,0.05083643,880.0,-7.878973,0.0,8800.0,0.04
44,0.8456941,0.093436666,0.20400375,0.050949488,900.0,-8.475592,0.05,9000.0,0.04
