loss,step,epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
[12.224484],0,,,,,,,,,,
[0.15404287],100,,,,,,,,,,
[0.06738261],200,,,,,,,,,,
[0.027325124],300,,,,,,,,,,
[0.030412246],400,,,,,,,,,,
[0.02035718],500,,,,,,,,,,
[0.014958344],600,,,,,,,,,,
[0.015493564],700,,,,,,,,,,
[0.014833291],800,,,,,,,,,,
[0.012588374],900,,,,,,,,,,
,,0,-0.018117659,0.5782154,0.0014836246,0.5431187,20.0,-2.273462,0.2,44.0,0.0
,,1,-0.017263016,0.57770145,0.0023985864,0.54313713,40.0,-1.9155561,0.25,84.0,0.025
,,2,-0.024904175,0.5760286,-0.0033612044,0.54446054,60.0,-2.2392557,0.0,124.0,0.025
,,3,-0.019912725,0.57865655,-0.0008882929,0.5455991,80.0,-2.3395731,0.3,164.0,0.0
,,4,-0.0166558,0.5783354,0.0006293941,0.5458801,100.0,-2.108836,0.25,204.0,0.125
,,5,-0.019796707,0.57583416,-0.002236287,0.5442975,120.0,-2.1050491,0.35,244.0,0.15
,,6,-0.020679282,0.5759612,-0.003019771,0.54598254,140.0,-2.121901,0.5,284.0,0.175
,,7,-0.017090378,0.57607424,-0.0014864402,0.5461235,160.0,-2.2257223,0.6,324.0,0.175
,,8,-0.017535498,0.5767591,-0.0022811866,0.5460178,180.0,-2.4199445,0.45,364.0,0.3
,,9,-0.016312554,0.57763827,-0.0025170748,0.5458279,200.0,-2.101397,0.7,404.0,0.2
,,10,-0.013872763,0.5783527,-0.001865766,0.5444031,220.0,-2.1364954,0.65,444.0,0.175
,,11,-0.014336244,0.578184,-0.0023887283,0.5449983,240.0,-2.2702937,1.0,484.0,0.275
,,12,-0.015635185,0.5774499,-0.003504279,0.5450082,260.0,-2.2064881,0.8,524.0,0.25
,,13,-0.0156393,0.5784638,-0.0037503508,0.5445124,280.0,-2.3741884,0.95,564.0,0.25
,,14,-0.016794551,0.5780772,-0.005078245,0.5443152,300.0,-2.6906621,0.85,604.0,0.25
,,15,-0.0168595,0.5789664,-0.005911832,0.54432636,320.0,-2.0211253,0.95,644.0,0.225
,,16,-0.014727234,0.5793539,-0.0047819023,0.54443187,340.0,-2.7681167,0.9,684.0,0.3
,,17,-0.017323598,0.5783833,-0.006615742,0.5434772,360.0,-2.3219097,0.95,724.0,0.275
,,18,-0.017934922,0.5779749,-0.0072504515,0.5431463,380.0,-1.8926171,1.0,764.0,0.225
,,19,-0.017331574,0.5780208,-0.006810604,0.54267365,400.0,-2.6057656,0.9,804.0,0.3
,,20,-0.015581615,0.5800485,-0.005963645,0.54427046,420.0,-2.3667843,1.0,844.0,0.35
,,21,-0.0142929405,0.5809331,-0.0054763937,0.5442759,440.0,-2.1533642,1.0,884.0,0.4
,,22,-0.014196146,0.57992107,-0.0052399086,0.5437491,460.0,-2.1005545,1.0,924.0,0.4
,,23,-0.013263349,0.57973444,-0.005756856,0.5430381,480.0,-2.266496,1.0,964.0,0.35
,,24,-0.012767811,0.58021855,-0.0056038876,0.54314166,500.0,-2.197229,1.0,1004.0,0.525
,,25,-0.013032538,0.58142424,-0.005597377,0.5434175,520.0,-2.2277057,0.95,1044.0,0.3
,,26,-0.012439774,0.58170253,-0.0052474337,0.54348755,540.0,-2.0341659,1.0,1084.0,0.425
,,27,-0.012755586,0.58171743,-0.005355713,0.54288536,560.0,-2.421347,1.0,1124.0,0.45
,,28,-0.010956406,0.58204377,-0.0046111075,0.5424761,580.0,-1.9853451,0.95,1164.0,0.275
,,29,-0.009880493,0.5826275,-0.00442018,0.5427929,600.0,-2.0170603,1.0,1204.0,0.45
