epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.21522501,1.4678634,0.13190186,0.87674665,20.0,-1.9918547,0.0,40.0,0.0
1,0.15763119,1.4399681,0.095132306,0.86704564,40.0,-2.547329,0.0,80.0,0.0
2,0.12546445,1.4199198,0.07441014,0.859148,60.0,-3.1510737,0.0,120.0,0.0
3,0.11061819,1.3919954,0.0661382,0.8436805,80.0,-2.361404,0.0,160.0,0.0
4,0.08611681,1.3598958,0.054484546,0.8299188,100.0,-3.7733004,0.0,200.0,0.0
5,0.006555326,1.3335435,0.011035857,0.81954044,120.0,-3.4223013,0.0,240.0,0.025
6,0.0032509412,1.302126,0.008956668,0.80675185,140.0,-3.7494903,0.0,280.0,0.0
7,0.022359077,1.2761264,0.01956557,0.7973951,160.0,-2.8744228,0.1,320.0,0.025
8,0.010667287,1.2379185,0.012221016,0.78293574,180.0,-2.7324374,0.3,360.0,0.025
9,0.0067668306,1.2171888,0.008689396,0.7788861,200.0,-2.1714504,0.45,400.0,0.025
10,-0.0024742708,1.1920276,0.003242949,0.7709455,220.0,-2.3741796,0.7,440.0,0.075
11,-0.0064594755,1.1638346,-0.00038170165,0.76020265,240.0,-2.6140864,0.75,480.0,0.1
12,-0.0047608223,1.135752,0.0008114112,0.7498176,260.0,-2.379536,0.85,520.0,0.125
13,-0.0048633926,1.1136215,0.0010999726,0.74201846,280.0,-1.199338,0.95,560.0,0.15
14,-0.005442446,1.0934565,0.0009087429,0.7364501,300.0,-1.3322912,1.0,600.0,0.2
15,-0.0036198702,1.0709752,0.0020666781,0.72675085,320.0,-1.3920041,0.95,640.0,0.4
16,-0.0018788036,1.0491881,0.002801247,0.7181437,340.0,-1.4283693,1.0,680.0,0.325
17,0.0024799043,1.0329776,0.0043056877,0.71194625,360.0,-1.4723513,1.0,720.0,0.375
18,0.008623606,1.0151206,0.0071423957,0.7043548,380.0,-1.8693618,1.0,760.0,0.3
19,0.0043567475,1.0006847,0.0054493956,0.69866204,400.0,-1.7834975,1.0,800.0,0.3
20,0.0021510208,0.9863732,0.0046356637,0.6928793,420.0,-1.6336118,1.0,840.0,0.375
21,-0.002512259,0.97341514,0.001757799,0.6867757,440.0,-1.9678037,1.0,880.0,0.35
22,-0.0011699107,0.960474,0.0019417037,0.6811601,460.0,-1.6248568,1.0,920.0,0.3
23,-0.0032948814,0.9482475,0.00035051245,0.6754357,480.0,-1.7505541,1.0,960.0,0.35
24,-0.0034847315,0.93789494,4.818209e-05,0.6721184,500.0,-1.4626864,1.0,1000.0,0.45
25,-0.006765755,0.9289044,-0.0014837875,0.66979146,520.0,-1.9319489,1.0,1040.0,0.325
26,-0.006804515,0.9208128,-0.002073171,0.666571,540.0,-1.6647379,1.0,1080.0,0.45
27,-0.0038532089,0.91257644,-0.001125392,0.6632639,560.0,-1.7174027,1.0,1120.0,0.5
28,-0.0052627893,0.90363765,-0.0021165262,0.65898025,580.0,-1.3415735,1.0,1160.0,0.475
29,-0.0040627364,0.8957112,-0.0017144094,0.6554388,600.0,-2.0066552,0.95,1200.0,0.3
