loss,step,epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
[158.04651],0,,,,,,,,,,
[25.826914],100,,,,,,,,,,
[17.897734],200,,,,,,,,,,
[17.744488],300,,,,,,,,,,
[16.15552],400,,,,,,,,,,
[14.669752],500,,,,,,,,,,
[10.270376],600,,,,,,,,,,
[13.483137],700,,,,,,,,,,
[8.9954405],800,,,,,,,,,,
[8.217119],900,,,,,,,,,,
[10.530596],1000,,,,,,,,,,
[10.554457],1100,,,,,,,,,,
[6.4271793],1200,,,,,,,,,,
[6.98433],1300,,,,,,,,,,
[8.518332],1400,,,,,,,,,,
[6.896497],1500,,,,,,,,,,
[7.8760266],1600,,,,,,,,,,
[7.2642207],1700,,,,,,,,,,
[7.794849],1800,,,,,,,,,,
[9.755046],1900,,,,,,,,,,
,,0,0.8776085,0.10808677,0.20252484,0.1120516,20.0,-4.3371415,0.0,204.0,0.055
,,1,0.8772609,0.10787487,0.20261528,0.10996209,40.0,-5.3524885,0.05,404.0,0.025
,,2,0.8773958,0.10757794,0.20271796,0.10775581,60.0,-7.2009897,0.1,604.0,0.035
,,3,0.8771338,0.10738662,0.20293808,0.10529205,80.0,-7.8469915,0.1,804.0,0.04
,,4,0.877744,0.10783336,0.20291199,0.103002146,100.0,-10.226445,0.0,1004.0,0.02
,,5,0.8770855,0.107557885,0.20305388,0.1005503,120.0,-10.265463,0.1,1204.0,0.035
,,6,0.87606984,0.10731236,0.20310444,0.09838709,140.0,-13.761985,0.0,1404.0,0.035
,,7,0.876054,0.10699407,0.20314947,0.09648496,160.0,-15.214035,0.0,1604.0,0.035
,,8,0.8759844,0.106821716,0.20320907,0.09443709,180.0,-17.080418,0.05,1804.0,0.025
,,9,0.875797,0.10660958,0.2032398,0.09243063,200.0,-17.733368,0.05,2004.0,0.025
,,10,0.8751057,0.10640949,0.20327532,0.090634145,220.0,-19.693039,0.05,2204.0,0.035
,,11,0.87500834,0.10626488,0.2032556,0.08904436,240.0,-18.996248,0.1,2404.0,0.05
,,12,0.8750984,0.10642594,0.20335655,0.08755348,260.0,-22.716394,0.0,2604.0,0.03
,,13,0.87501544,0.106391944,0.20332573,0.086156,280.0,-23.19166,0.0,2804.0,0.085
,,14,0.8749373,0.106396556,0.20331572,0.08481782,300.0,-24.275354,0.0,3004.0,0.05
,,15,0.87527686,0.1065067,0.20330803,0.083754174,320.0,-24.024813,0.1,3204.0,0.06
,,16,0.8752108,0.10652933,0.20337643,0.08258081,340.0,-27.466682,0.0,3404.0,0.025
,,17,0.87524796,0.106502034,0.20341422,0.08166053,360.0,-27.417168,0.0,3604.0,0.04
,,18,0.87541676,0.10650947,0.20350724,0.080619924,380.0,-28.737173,0.0,3804.0,0.025
,,19,0.87563086,0.10655888,0.20353109,0.079663984,400.0,-29.066204,0.0,4004.0,0.035
,,20,0.87563294,0.1065921,0.2036045,0.078794435,420.0,-26.795153,0.15,4204.0,0.025
,,21,0.8757642,0.10658416,0.20357591,0.07795638,440.0,-27.536266,0.1,4404.0,0.055
