epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8468862,0.09537665,0.20457095,0.051390976,20.0,-3.0355988,0.037500000000000006,200.0,0.025
1,0.8460889,0.093959324,0.20416433,0.04848182,40.0,-5.0493526,0.0125,400.0,0.037500000000000006
2,0.8463618,0.09392161,0.2040811,0.046884157,60.0,-6.886447,0.05,600.0,0.039999999999999994
3,0.8463118,0.0952461,0.20391402,0.050774883,80.0,-8.782949,0.025,800.0,0.03125
4,0.84576607,0.09652609,0.2038111,0.05326201,100.0,-10.643594,0.037500000000000006,1000.0,0.026250000000000002
5,0.8459718,0.09688637,0.20371881,0.05465357,120.0,-11.985527,0.0625,1200.0,0.0375
6,0.84624344,0.09714186,0.20372832,0.057076536,140.0,-13.768032,0.025,1400.0,0.0475
7,0.846323,0.097634114,0.203829,0.05876717,160.0,-14.549393,0.05,1600.0,0.04375
8,0.8465058,0.09802786,0.20380236,0.06128137,180.0,-16.737211,0.025,1800.0,0.0625
9,0.84624034,0.0984714,0.20382266,0.06426233,200.0,-17.135275,0.05,2000.0,0.07
10,0.84596235,0.099219136,0.20391193,0.068465516,220.0,-17.250174,0.1,2200.0,0.1075
11,0.8458457,0.0999976,0.20389776,0.07302361,240.0,-12.655651,0.2875,2400.0,0.16125
12,0.84607035,0.101180114,0.20398128,0.07696415,260.0,-15.551181,0.2375,2600.0,0.16749999999999998
13,0.84613055,0.10175493,0.20400499,0.08079716,280.0,-13.310765,0.35,2800.0,0.23374999999999999
14,0.8463175,0.10186124,0.20402454,0.08394608,300.0,-13.835215,0.375,3000.0,0.27249999999999996
15,0.84626263,0.10187768,0.20401116,0.08625208,320.0,-13.708271,0.45,3200.0,0.3
16,0.8461895,0.10176712,0.20405686,0.08852103,340.0,-12.784509,0.55,3400.0,0.3675
17,0.8460482,0.10196441,0.20406684,0.09104774,360.0,-13.42602,0.4875,3600.0,0.385
18,0.8462148,0.102003284,0.20404501,0.09302391,380.0,-10.744406,0.575,3800.0,0.39499999999999996
19,0.84615326,0.102189064,0.20411387,0.09499383,400.0,-14.111316,0.5,4000.0,0.44499999999999995
20,0.8460881,0.10265606,0.20408864,0.097360305,420.0,-9.48404,0.6,4200.0,0.44125
21,0.8462314,0.10271906,0.20413956,0.09957696,440.0,-8.823169,0.525,4400.0,0.44875
22,0.84636974,0.10278815,0.20411462,0.1014615,460.0,-5.106565,0.6625,4600.0,0.47750000000000004
23,0.84654355,0.10292054,0.20420076,0.103091925,480.0,-2.845626,0.7125,4800.0,0.48000000000000004
24,0.8468614,0.1030547,0.20431279,0.10468914,500.0,-6.5621977,0.6000000000000001,5000.0,0.48375
25,0.8471878,0.10356647,0.20452406,0.10601148,520.0,-3.0594141,0.6625,5200.0,0.48624999999999996
26,0.84748346,0.10402307,0.20474184,0.10702255,540.0,-2.3896027,0.825,5400.0,0.5437500000000001
27,0.8477452,0.10422414,0.204913,0.10762263,560.0,-4.8917513,0.7375,5600.0,0.5475000000000001
28,0.8480528,0.10424287,0.20495263,0.10800108,580.0,-1.6310272,0.8500000000000001,5800.0,0.5375
29,0.8482582,0.10437786,0.20500073,0.10820473,600.0,-3.0573113,0.8,6000.0,0.5662499999999999
30,0.84857005,0.10459743,0.2050745,0.10849547,620.0,-0.62737715,0.8875000000000001,6200.0,0.54625
31,0.84876007,0.10482954,0.20514633,0.108737186,640.0,-0.30023545,0.95,6400.0,0.54625
32,0.848872,0.10494775,0.20518424,0.10894403,660.0,-0.19239095,0.9249999999999999,6600.0,0.5725
33,0.8490257,0.1051513,0.20524643,0.10911185,680.0,-1.8757476,0.825,6800.0,0.55625
34,0.8492522,0.1052893,0.20531954,0.109241374,700.0,-1.2834147,0.8999999999999999,7000.0,0.5925
35,0.8493095,0.10532215,0.2053104,0.109387286,720.0,-1.1345118,0.9,7200.0,0.5562499999999999
36,0.84938556,0.105346896,0.20533113,0.10936175,740.0,-1.2218677,0.875,7400.0,0.5687500000000001
37,0.849442,0.10542059,0.20536496,0.109331034,760.0,-2.3480227,0.9375,7600.0,0.6
38,0.84958273,0.10543426,0.20538336,0.10935423,780.0,0.9532263,0.925,7800.0,0.5875
39,0.84968805,0.105417944,0.20542562,0.10941198,800.0,-0.67455244,0.925,8000.0,0.5762499999999999
40,0.84992146,0.1053228,0.2054609,0.10939856,820.0,-0.9313654,0.8374999999999999,8200.0,0.5825
41,0.85007256,0.10535588,0.20554166,0.109587945,840.0,-0.4389966,0.8625,8400.0,0.585
42,0.850197,0.10548893,0.20558214,0.10978853,860.0,1.0931772,0.925,8600.0,0.5825
43,0.85030586,0.105602175,0.20560062,0.1098081,880.0,0.15966685,0.8625,8800.0,0.54875
44,0.85041904,0.105692394,0.20561695,0.109825164,900.0,1.5757636,0.9,9000.0,0.5237499999999999
45,0.8505802,0.10575961,0.20565116,0.109782636,920.0,2.0224736,0.95,9200.0,0.55625
46,0.8507552,0.105910726,0.20568894,0.10978075,940.0,1.9682572,0.9,9400.0,0.55375
47,0.8508711,0.106037796,0.20568492,0.109782994,960.0,1.3544054,0.875,9600.0,0.5525
48,0.85103077,0.10607768,0.20567982,0.10975848,980.0,1.8987652,0.9249999999999999,9800.0,0.525
49,0.85106474,0.10617139,0.205725,0.109793425,1000.0,3.0592024,0.9624999999999999,10000.0,0.53125
