epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8769,0.10689858,0.20583573,0.039395917,20.0,-2.9537888,0.0,200.0,0.02
1,0.87738496,0.10589848,0.20475122,0.039889902,40.0,-5.126411,0.0,400.0,0.03
2,0.8760381,0.10451815,0.20386192,0.03948479,60.0,-6.990098,0.05,600.0,0.04
3,0.87450486,0.10497438,0.20416303,0.038346317,80.0,-9.10099,0.0,800.0,0.04
4,0.8738672,0.104421936,0.20410073,0.042203855,100.0,-9.7546425,0.1,1000.0,0.045
5,0.87378335,0.1048741,0.20407514,0.044010114,120.0,-13.023015,0.0,1200.0,0.035
6,0.8743345,0.10497586,0.20403357,0.04372356,140.0,-13.904718,0.05,1400.0,0.03
7,0.87416834,0.10516534,0.20387255,0.0441059,160.0,-16.443027,0.0,1600.0,0.045
8,0.8739276,0.10505309,0.20385484,0.044921625,180.0,-16.998405,0.0,1800.0,0.05
9,0.8740205,0.10528412,0.20404413,0.045965742,200.0,-18.00028,0.05,2000.0,0.04
10,0.87388945,0.10513967,0.20408036,0.046210203,220.0,-20.760958,0.0,2200.0,0.025
11,0.8741369,0.105208814,0.20403221,0.046673555,240.0,-19.75156,0.1,2400.0,0.04
12,0.8742179,0.10503533,0.2040656,0.047007624,260.0,-21.791573,0.05,2600.0,0.045
13,0.8746376,0.10519135,0.20416363,0.047366295,280.0,-23.614336,0.05,2800.0,0.055
14,0.8745856,0.10513786,0.2042324,0.04733971,300.0,-24.61646,0.05,3000.0,0.03
15,0.87472314,0.10502696,0.20420517,0.04740624,320.0,-26.806969,0.0,3200.0,0.03
16,0.87418336,0.10479665,0.20413527,0.047941666,340.0,-25.365934,0.05,3400.0,0.03
17,0.8744611,0.10478143,0.20410544,0.048144903,360.0,-23.450115,0.1,3600.0,0.035
18,0.87435466,0.10485528,0.20403476,0.048788782,380.0,-26.258253,0.05,3800.0,0.035
19,0.87434834,0.10488564,0.20410231,0.049241647,400.0,-28.595465,0.05,4000.0,0.025
20,0.8745632,0.10508904,0.20407234,0.049470272,420.0,-28.20781,0.0,4200.0,0.015
21,0.87445384,0.10511792,0.20401832,0.049681608,440.0,-31.256325,0.0,4400.0,0.035
22,0.8742128,0.10498344,0.2040495,0.049987745,460.0,-30.267815,0.0,4600.0,0.025
23,0.87427044,0.10494367,0.20400552,0.050175384,480.0,-30.320234,0.05,4800.0,0.065
24,0.8746433,0.105317004,0.2040195,0.050362796,500.0,-30.711296,0.05,5000.0,0.035
25,0.87470835,0.1053499,0.20401725,0.05037005,520.0,-29.680817,0.0,5200.0,0.03
26,0.8746419,0.105281286,0.20399877,0.050862674,540.0,-29.053856,0.0,5400.0,0.055
27,0.8746632,0.105293006,0.2040081,0.05140821,560.0,-28.36475,0.05,5600.0,0.03
28,0.87486607,0.10533649,0.20398827,0.052058883,580.0,-33.825367,0.05,5800.0,0.025
29,0.87485665,0.10524252,0.20402275,0.052622512,600.0,-29.164309,0.1,6000.0,0.055
30,0.8747303,0.10521493,0.20406769,0.052954692,620.0,-31.680244,0.05,6200.0,0.03
31,0.87482405,0.10537658,0.20406519,0.053478323,640.0,-34.314266,0.0,6400.0,0.045
32,0.8748212,0.10532624,0.2040606,0.054052133,660.0,-32.104675,0.0,6600.0,0.055
33,0.8749295,0.10537386,0.2040399,0.054013256,680.0,-36.14589,0.0,6800.0,0.02
34,0.874815,0.10542061,0.20408349,0.0544942,700.0,-33.39525,0.05,7000.0,0.025
