epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.84095615,0.070786335,0.20205143,0.051462356,20.0,0.06464273,0.0625,200.0,0.0575
1,0.83954304,0.06970606,0.20159005,0.049003653,40.0,-0.040291235,0.0625,400.0,0.07
2,0.8391139,0.069486685,0.20153598,0.04857791,60.0,-0.13443027,0.037500000000000006,600.0,0.06
3,0.839284,0.06952874,0.20156704,0.048007764,80.0,-0.30795687,0.0625,800.0,0.05
4,0.83891124,0.069387816,0.2014652,0.047291175,100.0,-0.36839807,0.05,1000.0,0.06375
5,0.8388684,0.069330744,0.20138133,0.04718043,120.0,-0.58218545,0.037500000000000006,1200.0,0.065
6,0.8392847,0.06935681,0.2014887,0.04684212,140.0,-0.67415905,0.0625,1400.0,0.06625
7,0.839297,0.069372095,0.20154265,0.046962023,160.0,-0.8817978,0.0875,1600.0,0.0675
8,0.83934426,0.0694327,0.2015538,0.0468736,180.0,-1.2162118,0.0625,1800.0,0.06625
9,0.839276,0.0694331,0.20151472,0.04662247,200.0,-1.5055629,0.07500000000000001,2000.0,0.057499999999999996
10,0.83917856,0.06945819,0.20147751,0.046483945,220.0,-1.9685493,0.1,2200.0,0.07250000000000001
11,0.8392026,0.06948707,0.2014716,0.046245955,240.0,-2.7090125,0.0625,2400.0,0.065
12,0.8392051,0.06943741,0.20145892,0.04606663,260.0,-3.6408248,0.08750000000000001,2600.0,0.06875
13,0.83921605,0.06940011,0.20142944,0.046174668,280.0,-4.6681943,0.1375,2800.0,0.053750000000000006
14,0.8391411,0.06944959,0.20140545,0.046193656,300.0,-7.3714414,0.07500000000000001,3000.0,0.0625
15,0.8390748,0.069594726,0.20138435,0.04688449,320.0,-9.335753,0.05,3200.0,0.07875000000000001
16,0.8390264,0.0696659,0.20137388,0.046835616,340.0,-10.889828,0.0625,3400.0,0.06625
17,0.83883995,0.06975483,0.20134045,0.047041535,360.0,-12.543894,0.07500000000000001,3600.0,0.06125
18,0.8389849,0.06982996,0.20138589,0.04736459,380.0,-13.836916,0.1,3800.0,0.061250000000000006
19,0.83893484,0.0699671,0.20140432,0.047631454,400.0,-15.579878,0.037500000000000006,4000.0,0.09125
20,0.838939,0.070266426,0.20141174,0.048261527,420.0,-16.117962,0.0875,4200.0,0.07125000000000001
21,0.8387988,0.0705779,0.20137168,0.04872736,440.0,-16.552105,0.0875,4400.0,0.06625
22,0.8387849,0.0709223,0.20140487,0.0495444,460.0,-17.771296,0.125,4600.0,0.09125
23,0.8387382,0.07133887,0.20139083,0.050611902,480.0,-19.8004,0.0625,4800.0,0.07625
24,0.8387013,0.071878396,0.20136032,0.05135688,500.0,-19.99586,0.08750000000000001,5000.0,0.11875
25,0.83868235,0.07238559,0.20134524,0.052237283,520.0,-19.164738,0.125,5200.0,0.1075
26,0.8387251,0.072772756,0.20137651,0.053301703,540.0,-20.510696,0.07500000000000001,5400.0,0.10625000000000001
27,0.8386748,0.07311613,0.20137322,0.05453724,560.0,-19.914993,0.125,5600.0,0.10125
28,0.83869237,0.07337072,0.20135176,0.05584172,580.0,-19.68393,0.1375,5800.0,0.14500000000000002
29,0.83869475,0.073774,0.20134567,0.057654113,600.0,-20.6967,0.1875,6000.0,0.14625
30,0.8386561,0.07413424,0.20138623,0.060511764,620.0,-18.067595,0.3,6200.0,0.20125
31,0.8386271,0.07452719,0.20133244,0.06319757,640.0,-17.806417,0.35,6400.0,0.2575
32,0.8386402,0.074757926,0.20129359,0.06618284,660.0,-14.159567,0.4625,6600.0,0.2875
33,0.83869284,0.074877076,0.2012924,0.06943271,680.0,-11.563393,0.4625,6800.0,0.34750000000000003
34,0.83870715,0.07496583,0.20126085,0.07195939,700.0,-9.579625,0.5875,7000.0,0.47124999999999995
35,0.8387763,0.07537325,0.20134035,0.074843384,720.0,-7.022812,0.65,7200.0,0.52625
36,0.8388736,0.076002784,0.20139512,0.077860735,740.0,-4.8430586,0.7625000000000001,7400.0,0.57125
37,0.83886236,0.0763041,0.20140275,0.08009067,760.0,-3.798761,0.825,7600.0,0.6962499999999999
38,0.8388203,0.07648159,0.20142911,0.08196149,780.0,-2.6826057,0.85,7800.0,0.7675000000000001
39,0.83880585,0.07662311,0.20147419,0.08381938,800.0,-2.7194107,0.8624999999999999,8000.0,0.75375
40,0.8387842,0.076528944,0.2015193,0.08516131,820.0,-1.8912077,0.8999999999999999,8200.0,0.815
41,0.83879083,0.076506145,0.20153397,0.08688762,840.0,-1.3536471,0.825,8400.0,0.7875000000000001
42,0.8388459,0.076373056,0.20161478,0.08872817,860.0,1.3294983,0.9125,8600.0,0.845
43,0.8387849,0.076288134,0.2017634,0.090787195,880.0,3.4440966,0.8875,8800.0,0.8425
44,0.8388383,0.07616872,0.2018886,0.092267334,900.0,4.6961737,0.95,9000.0,0.8724999999999999
45,0.8388414,0.07606168,0.20189446,0.09341695,920.0,4.800322,0.925,9200.0,0.9012500000000001
46,0.8388193,0.07595759,0.20191397,0.09437703,940.0,6.3495197,0.9875,9400.0,0.9099999999999999
47,0.8388219,0.075791605,0.20192857,0.09505969,960.0,5.5399437,0.975,9600.0,0.92625
48,0.8387862,0.07562301,0.20190579,0.095688775,980.0,6.1422415,0.9875,9800.0,0.9275
49,0.8388028,0.07552246,0.20191854,0.09609978,1000.0,5.6324053,0.9625,10000.0,0.9375
50,0.838795,0.07541123,0.2018704,0.096524164,1020.0,6.0661306,0.9875,10200.0,0.94125
51,0.8387497,0.07538728,0.20186405,0.09681901,1040.0,6.770754,0.975,10400.0,0.92875
52,0.83876467,0.075268015,0.20185813,0.0971322,1060.0,5.8295836,1.0,10600.0,0.95
53,0.8387635,0.07515328,0.20184454,0.09738264,1080.0,5.513108,1.0,10800.0,0.9425
54,0.83872014,0.07506298,0.20184812,0.09754803,1100.0,5.2584724,1.0,11000.0,0.9512499999999999
55,0.83870786,0.07494227,0.20185429,0.0977244,1120.0,5.0797896,0.9875,11200.0,0.9450000000000001
56,0.8386831,0.07489077,0.20184948,0.09792342,1140.0,5.1721497,1.0,11400.0,0.94
