epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8402261,0.075778596,0.20211433,0.04892825,20.0,-2.5575132,0.1,200.0,0.056249999999999994
1,0.8379981,0.07274146,0.20117226,0.046111546,40.0,-4.463522,0.1125,400.0,0.0625
2,0.83829737,0.07244148,0.20127012,0.04700159,60.0,-6.503687,0.0625,600.0,0.0575
3,0.83879733,0.07188403,0.2014654,0.046222895,80.0,-8.128499,0.0875,800.0,0.065
4,0.8386492,0.07185485,0.2014695,0.047155075,100.0,-10.115064,0.05,1000.0,0.08375
5,0.8382321,0.07273308,0.2013376,0.048743322,120.0,-10.91574,0.1125,1200.0,0.07125000000000001
6,0.83777267,0.074464954,0.2013169,0.051393967,140.0,-13.1737585,0.0625,1400.0,0.07875
7,0.8376148,0.07604543,0.20131184,0.053582083,160.0,-14.207078,0.07500000000000001,1600.0,0.10250000000000001
8,0.8376073,0.076142706,0.2011349,0.055372763,180.0,-14.904217,0.1375,1800.0,0.11875000000000001
9,0.8376053,0.07716427,0.20127444,0.058539964,200.0,-15.98655,0.1375,2000.0,0.1225
10,0.83726716,0.0775084,0.20113048,0.060469065,220.0,-15.86554,0.15000000000000002,2200.0,0.18625
11,0.83720237,0.077766836,0.20105377,0.064109065,240.0,-13.708179,0.3,2400.0,0.24125
12,0.8371868,0.07820181,0.20115975,0.06843949,260.0,-8.513776,0.6499999999999999,2600.0,0.36125
13,0.8371477,0.07804498,0.20126507,0.07199975,280.0,-8.6010475,0.5625,2800.0,0.52
14,0.8370414,0.07811366,0.20125216,0.07649678,300.0,-4.44168,0.7625,3000.0,0.63
15,0.8370905,0.07806919,0.2012599,0.081209116,320.0,-4.0137644,0.7625000000000001,3200.0,0.6849999999999999
16,0.83715516,0.07786177,0.20135988,0.08478833,340.0,-2.0446985,0.9125000000000001,3400.0,0.7775000000000001
17,0.8372837,0.07806126,0.20149611,0.08765218,360.0,-2.1744425,0.875,3600.0,0.805
18,0.83736706,0.07783461,0.20169662,0.09074306,380.0,-1.5237857,0.9875,3800.0,0.84
19,0.8373511,0.07756078,0.20178711,0.09328042,400.0,-1.5622387,0.95,4000.0,0.8812500000000001
20,0.83734316,0.07737821,0.20206392,0.095286705,420.0,-1.3148009,0.975,4200.0,0.8825
21,0.8373974,0.07703823,0.20220852,0.096696556,440.0,-1.1965804,0.975,4400.0,0.9
22,0.8374517,0.07673527,0.20222588,0.09821159,460.0,-0.7599143,0.975,4600.0,0.91625
23,0.8374746,0.07642025,0.20225845,0.099312365,480.0,-0.6145892,1.0,4800.0,0.92
24,0.83748525,0.07612582,0.20222522,0.1002467,500.0,-0.8806073,0.975,5000.0,0.9412499999999999
25,0.8375065,0.07591947,0.20228663,0.10114827,520.0,-0.34779686,1.0,5200.0,0.945
26,0.8374936,0.07567502,0.20220403,0.101935245,540.0,0.07391268,1.0,5400.0,0.93875
27,0.8375016,0.07532134,0.20221671,0.10253256,560.0,0.55217075,0.95,5600.0,0.9424999999999999
28,0.8374576,0.07509725,0.20219748,0.103123575,580.0,0.121061385,0.9375,5800.0,0.93
29,0.83734876,0.07497068,0.2020945,0.103597686,600.0,1.3329724,0.975,6000.0,0.9
