epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.1826691,1.6365787,0.114894435,1.0167325,20.0,-0.12764095,0.0,40.0,0.0
1,0.13497806,1.4772167,0.0793126,0.9172877,40.0,0.22221267,0.45,80.0,0.025
2,0.08225587,1.4579275,0.048830613,0.90936077,60.0,1.6355945,0.7,120.0,0.025
3,0.012642051,1.4482625,0.0118654985,0.9036404,80.0,-0.24996686,0.5,160.0,0.075
4,0.022539008,1.3938177,0.017168915,0.87446797,100.0,-0.20702146,0.3,200.0,0.075
5,0.016660234,1.3385279,0.013203387,0.8473087,120.0,2.4454381,0.7,240.0,0.125
6,0.026170146,1.299026,0.014451178,0.8281884,140.0,1.6691409,0.65,280.0,0.05
7,0.016216308,1.2444367,0.008310521,0.80145437,160.0,2.5089433,0.75,320.0,0.1
8,0.008537478,1.2034042,0.0031300166,0.7844585,180.0,3.5360203,0.9,360.0,0.125
9,0.013084289,1.1616404,0.005816011,0.7694355,200.0,3.897508,1.0,400.0,0.1
10,0.00590699,1.1255517,0.0016598005,0.75254166,220.0,3.8526332,1.0,440.0,0.175
11,0.0051787538,1.0905454,0.0006322999,0.73646396,240.0,4.2023625,1.0,480.0,0.225
12,0.0076702135,1.0658181,0.0024441255,0.72503805,260.0,4.233269,0.95,520.0,0.2
13,0.007896858,1.0414553,0.0018175672,0.71556723,280.0,4.763823,1.0,560.0,0.1
14,0.004331411,1.019299,0.0005002038,0.70601565,300.0,4.745474,1.0,600.0,0.175
15,0.005887632,1.003328,0.0012827406,0.69985497,320.0,4.7199116,0.95,640.0,0.125
16,0.0006868148,0.98464096,-0.0008899949,0.6921089,340.0,4.923322,1.0,680.0,0.15
17,-0.003432022,0.9698343,-0.0029713714,0.68552554,360.0,4.7838635,1.0,720.0,0.2
18,-0.0024518697,0.9565026,-0.0025013809,0.68124694,380.0,5.095518,1.0,760.0,0.1
19,0.0035440484,0.9440614,0.00064925617,0.67634606,400.0,4.9027686,1.0,800.0,0.15
20,0.0090616,0.9315331,0.0039774524,0.6701033,420.0,5.380859,1.0,840.0,0.3
21,0.0071382634,0.9197881,0.0025560064,0.6651644,440.0,5.552252,1.0,880.0,0.1
22,0.003506192,0.9087763,0.00085910317,0.66054785,460.0,6.061593,1.0,920.0,0.175
23,0.004342718,0.90004134,0.0012608889,0.6569031,480.0,5.940656,1.0,960.0,0.175
24,0.0036650463,0.8918237,0.001052986,0.6536913,500.0,6.0011196,1.0,1000.0,0.225
