epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.11860857,2.3905787,0.08506226,1.3930113,20.0,-0.43519008,0.0,40.0,0.0
1,0.15457061,1.8877757,0.1003137,1.1326818,40.0,1.251538,0.0,80.0,0.0
2,0.124123216,1.7582262,0.07895804,1.0719941,60.0,2.6112688,0.05,120.0,0.0
3,0.10986882,1.7473643,0.07126064,1.0605216,80.0,3.8152359,0.0,160.0,0.0
4,0.13131374,1.6475736,0.08107577,1.006987,100.0,4.217517,0.05,200.0,0.025
5,0.1202068,1.5880477,0.073677704,0.9754269,120.0,8.134953,0.0,240.0,0.025
6,0.1264552,1.5052388,0.073769525,0.93222916,140.0,7.516614,0.0,280.0,0.0
7,0.12468687,1.4273646,0.07139322,0.8920641,160.0,7.597703,0.1,320.0,0.025
8,0.11184052,1.3732178,0.06287474,0.86505353,180.0,10.540287,0.1,360.0,0.0
9,0.115870416,1.3198757,0.06465952,0.84103143,200.0,12.82413,0.1,400.0,0.05
10,0.104190744,1.274101,0.057676256,0.8177527,220.0,13.063255,0.15,440.0,0.025
11,0.10059568,1.2308997,0.05524117,0.7958738,240.0,14.455392,0.1,480.0,0.05
12,0.09797606,1.1961495,0.054235548,0.7784344,260.0,13.9212265,0.15,520.0,0.05
13,0.09329564,1.1647844,0.050926015,0.7641274,280.0,15.759061,0.25,560.0,0.025
14,0.08679024,1.13695,0.04805833,0.75099266,300.0,14.756593,0.15,600.0,0.025
15,0.086992204,1.1128534,0.048023105,0.73961574,320.0,14.941761,0.3,640.0,0.05
16,0.07909775,1.0893462,0.044294547,0.728856,340.0,14.9595375,0.05,680.0,0.075
17,0.07261553,1.0691481,0.040993717,0.7192149,360.0,15.351017,0.1,720.0,0.075
18,0.070514575,1.050832,0.03982735,0.7121608,380.0,15.943041,0.15,760.0,0.025
19,0.07549782,1.0341353,0.042265005,0.70469016,400.0,13.991009,0.3,800.0,0.075
20,0.079171136,1.0180037,0.044330284,0.6963242,420.0,15.5720215,0.1,840.0,0.1
21,0.07571023,1.0031118,0.04214752,0.6896144,440.0,16.172817,0.15,880.0,0.0
22,0.06951929,0.98930585,0.038844943,0.68348664,460.0,17.048922,0.1,920.0,0.075
23,0.06924865,0.977468,0.03860968,0.6779863,480.0,17.257248,0.1,960.0,0.025
24,0.06789825,0.96696305,0.03781623,0.673567,500.0,15.687709,0.05,1000.0,0.025
