epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.39947987,1.4629714,0.22864269,0.96046126,20.0,4.119111,0.05,40.0,0.0
1,0.1870769,1.1886661,0.10612054,0.8138846,40.0,4.9331303,0.05,80.0,0.025
2,0.10934822,1.055998,0.06179412,0.74945736,60.0,4.674139,0.1,120.0,0.0
3,0.07067061,0.9868328,0.040076368,0.7174995,80.0,6.356593,0.05,160.0,0.05
4,0.09018411,0.9601363,0.050832983,0.69772685,100.0,7.0208373,0.0,200.0,0.0
5,0.078056216,0.92881167,0.045309525,0.6790042,120.0,10.032708,0.05,240.0,0.05
6,0.08801737,0.89551795,0.048249573,0.65892816,140.0,10.057022,0.0,280.0,0.025
7,0.08100177,0.8622593,0.043395136,0.6395893,160.0,10.601939,0.25,320.0,0.0
8,0.077728935,0.84199464,0.040343225,0.6288495,180.0,12.61776,0.1,360.0,0.05
9,0.07498509,0.8187441,0.03815661,0.61931324,200.0,13.455634,0.0,400.0,0.05
10,0.06559215,0.8034466,0.03288604,0.60934913,220.0,14.271377,0.0,440.0,0.05
11,0.06217649,0.78777677,0.030544344,0.60054064,240.0,14.601392,0.05,480.0,0.025
12,0.05962705,0.7746877,0.029947668,0.5926189,260.0,14.283815,0.15,520.0,0.125
13,0.05743352,0.7636414,0.028372888,0.5874438,280.0,15.591948,0.1,560.0,0.025
14,0.052819967,0.75348353,0.026460176,0.58194286,300.0,15.554593,0.15,600.0,0.05
15,0.053514764,0.74531186,0.026929613,0.57773066,320.0,15.743625,0.1,640.0,0.125
16,0.048263002,0.7356338,0.024822291,0.57275826,340.0,17.295227,0.15,680.0,0.05
17,0.042172533,0.72937953,0.021846578,0.56935674,360.0,16.637901,0.1,720.0,0.025
18,0.04141201,0.72406584,0.021551287,0.56812185,380.0,16.635088,0.0,760.0,0.1
19,0.046595477,0.71806824,0.024070624,0.5648784,400.0,16.364992,0.0,800.0,0.075
20,0.051290024,0.71207446,0.026773171,0.560812,420.0,16.816488,0.15,840.0,0.075
21,0.04899166,0.7062395,0.025178878,0.5582031,440.0,17.163263,0.0,880.0,0.075
22,0.043711662,0.70199966,0.02243915,0.55619293,460.0,18.014301,0.2,920.0,0.1
23,0.04357472,0.6985811,0.022433849,0.55454546,480.0,17.848795,0.3,960.0,0.0
24,0.04208112,0.6963333,0.021663887,0.5540252,500.0,17.687998,0.25,1000.0,0.1
