epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.11637896,2.3246756,0.08024645,1.3411777,20.0,5.406943,0.0,40.0,0.0
1,0.05807213,1.754054,0.04181439,1.0572498,40.0,8.551451,0.7,80.0,0.025
2,0.029176075,1.501023,0.022727858,0.94496715,60.0,10.75383,0.7,120.0,0.0
3,0.009828474,1.4705144,0.010853765,0.93888354,80.0,9.909114,0.65,160.0,0.075
4,0.026503295,1.3626012,0.019296166,0.8863504,100.0,11.644461,0.7,200.0,0.0
5,0.006844934,1.3334242,0.008600714,0.8671665,120.0,14.322954,0.9,240.0,0.075
6,0.028837914,1.2619718,0.017980535,0.83022046,140.0,13.991834,0.85,280.0,0.025
7,0.030055432,1.200658,0.017309558,0.7984772,160.0,14.382866,0.85,320.0,0.125
8,0.030565593,1.1545184,0.016706444,0.77698416,180.0,15.620657,0.3,360.0,0.075
9,0.032849133,1.1140499,0.017749228,0.75875753,200.0,16.731453,0.6,400.0,0.05
10,0.024238152,1.0905536,0.012658421,0.7456833,220.0,16.356813,0.2,440.0,0.075
11,0.024304017,1.0581924,0.012363538,0.7292646,240.0,17.16242,0.3,480.0,0.15
12,0.025472287,1.0341375,0.013610372,0.71682334,260.0,16.248667,0.3,520.0,0.025
13,0.025196552,1.012071,0.012819208,0.7068699,280.0,17.577354,0.35,560.0,0.05
14,0.021965979,0.9917531,0.011714077,0.69692713,300.0,16.683851,0.4,600.0,0.05
15,0.024794998,0.9753667,0.01318722,0.6888405,320.0,17.257412,0.6,640.0,0.075
16,0.019224606,0.9582205,0.010834122,0.6806222,340.0,17.28924,0.2,680.0,0.1
17,0.015467107,0.9444941,0.008953052,0.6736919,360.0,16.72178,0.5,720.0,0.0
18,0.016062154,0.9323833,0.009182926,0.6691735,380.0,17.173346,0.65,760.0,0.025
19,0.022348788,0.92147744,0.012445105,0.6642354,400.0,16.5922,0.35,800.0,0.05
20,0.027700681,0.91036665,0.015600935,0.6581478,420.0,17.279287,0.4,840.0,0.05
21,0.026185062,0.89997995,0.014434924,0.65326583,440.0,17.507864,0.3,880.0,0.1
22,0.022168016,0.89003104,0.012502896,0.64885175,460.0,18.292458,0.15,920.0,0.025
23,0.023125108,0.8820126,0.013090008,0.64505595,480.0,17.978155,0.3,960.0,0.025
24,0.02320217,0.8738998,0.013135394,0.6412977,500.0,17.468733,0.6,1000.0,0.025
