epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.27847564,2.528091,-0.14203191,1.4441683,20.0,4.2962337,0.0,40.0,0.0
1,-0.17284864,1.90469,-0.089988,1.1245337,40.0,8.916871,0.7,80.0,0.0
2,-0.12956402,1.607331,-0.06878374,0.98391294,60.0,10.151563,0.65,120.0,0.025
3,-0.1345462,1.4793613,-0.072417304,0.9299954,80.0,9.150746,0.4,160.0,0.075
4,-0.08997829,1.3718054,-0.04813059,0.8775649,100.0,9.452937,0.4,200.0,0.025
5,-0.07056685,1.3090007,-0.03395372,0.8490076,120.0,11.44032,0.8,240.0,0.075
6,-0.035530664,1.2413757,-0.017327115,0.81461036,140.0,12.93566,0.8,280.0,0.025
7,-0.026594326,1.1807878,-0.013799448,0.7837556,160.0,12.598106,0.8,320.0,0.025
8,-0.019579865,1.1353388,-0.011041351,0.76218206,180.0,14.740063,0.9,360.0,0.05
9,-0.01215113,1.0954196,-0.0072663,0.74456465,200.0,15.095366,0.8,400.0,0.075
10,-0.016029537,1.0645332,-0.00960692,0.7281087,220.0,14.4629,0.95,440.0,0.15
11,-0.013020696,1.0344648,-0.008404095,0.7126902,240.0,15.323518,0.9,480.0,0.225
12,-0.009714238,1.0119262,-0.0060302243,0.7010671,260.0,14.449065,0.85,520.0,0.075
13,-0.008287372,0.99049145,-0.0057583675,0.69139415,280.0,16.077742,0.95,560.0,0.175
14,-0.010124262,0.9710518,-0.0061977184,0.68206793,300.0,15.349459,0.95,600.0,0.2
15,-0.0060568284,0.9557581,-0.0039294716,0.6748595,320.0,15.265267,0.85,640.0,0.125
16,-0.010398715,0.93877494,-0.0055703428,0.6667789,340.0,16.090307,1.0,680.0,0.2
17,-0.013918251,0.92569405,-0.007340649,0.660552,360.0,15.017255,0.85,720.0,0.125
18,-0.012783954,0.9138297,-0.006924815,0.6565807,380.0,15.812307,0.85,760.0,0.05
19,-0.0054748096,0.90380824,-0.002980385,0.6523092,400.0,15.00947,0.95,800.0,0.2
20,0.0010276437,0.8932059,0.00077348296,0.6465638,420.0,15.622288,0.85,840.0,0.225
21,0.0002877079,0.882612,-6.3739717e-06,0.64197654,440.0,15.082726,0.9,880.0,0.175
22,-0.0032062363,0.8728105,-0.0015866896,0.6377162,460.0,16.656342,0.8,920.0,0.125
23,-0.002348639,0.86508477,-0.0011842484,0.63453007,480.0,16.062265,0.95,960.0,0.1
24,-0.0022651702,0.8577566,-0.0010805447,0.6316136,500.0,15.619155,0.65,1000.0,0.15
