epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.015789717,1.258781,0.0058608055,0.8224132,20.0,5.703841,0.45,40.0,0.0
1,0.14246783,1.393908,0.07638363,0.8872397,40.0,1.2483914,0.25,80.0,0.0
2,0.23460719,2.0736642,0.12704712,1.248891,60.0,8.536189,0.4,120.0,0.0
3,0.20267414,2.017195,0.1134697,1.2156398,80.0,6.4843345,0.45,160.0,0.05
4,0.20200758,1.8665662,0.11399311,1.1330639,100.0,8.555631,0.5,200.0,0.0
5,0.18499056,1.7681048,0.10397094,1.080916,120.0,11.260099,0.8,240.0,0.075
6,0.19417076,1.6803342,0.10684266,1.033889,140.0,10.878966,0.6,280.0,0.0
7,0.18505263,1.5903628,0.10183722,0.98586965,160.0,9.824815,0.65,320.0,0.125
8,0.16953573,1.5234075,0.09254867,0.9513643,180.0,11.784163,0.7,360.0,0.1
9,0.1661353,1.463146,0.09143715,0.92147887,200.0,12.67956,0.9,400.0,0.1
10,0.15001446,1.4086723,0.082640596,0.8926846,220.0,12.81097,0.95,440.0,0.15
11,0.14081274,1.3612001,0.07707289,0.86743844,240.0,13.119156,0.95,480.0,0.225
12,0.13196626,1.3201923,0.07277085,0.84568834,260.0,11.97905,0.95,520.0,0.325
13,0.12357301,1.2831423,0.06738626,0.82716715,280.0,13.622997,1.0,560.0,0.2
14,0.11416652,1.2505517,0.06267298,0.81071186,300.0,12.282895,0.65,600.0,0.25
15,0.11239913,1.2225436,0.0616787,0.7965133,320.0,12.212557,0.7,640.0,0.2
16,0.1015206,1.1954547,0.056323975,0.7833734,340.0,13.915941,0.8,680.0,0.35
17,0.092934296,1.1721908,0.051790692,0.7721002,360.0,11.716302,0.6,720.0,0.175
18,0.089001186,1.1514231,0.049439635,0.76359785,380.0,11.552168,0.65,760.0,0.125
19,0.091356486,1.1318308,0.050574493,0.7545732,400.0,12.018925,0.75,800.0,0.05
20,0.09321565,1.1131754,0.051778555,0.7452363,420.0,11.180436,0.9,840.0,0.2
21,0.087253034,1.0956168,0.04802777,0.7374564,440.0,11.4251,0.65,880.0,0.1
22,0.08007669,1.0804378,0.04422699,0.7307897,460.0,12.319253,0.85,920.0,0.05
23,0.07814979,1.0665282,0.04295946,0.72454625,480.0,11.960147,0.65,960.0,0.15
24,0.07464473,1.0539505,0.04111948,0.71908784,500.0,11.8376045,0.6,1000.0,0.075
