epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.41761994,2.1044807,0.24221739,1.1958218,20.0,-1.7375607,0.0,40.0,0.0
1,0.25499937,2.0345485,0.14623408,1.1655191,40.0,-2.3784335,0.0,80.0,0.0
2,0.03651746,1.8878597,0.020219982,1.0960048,60.0,-2.312209,0.0,120.0,0.0
3,0.0046641976,1.8385444,-0.006973518,1.0731282,80.0,-3.0359204,0.0,160.0,0.0
4,-0.0075535793,1.8009974,-0.015261615,1.056672,100.0,-2.774273,0.0,200.0,0.0
5,0.0058800247,1.7392507,-0.0073679863,1.0284898,120.0,-2.2911453,0.0,240.0,0.0
6,0.027497077,1.6743052,0.0072629275,0.99692416,140.0,-1.9039054,0.05,280.0,0.0
7,0.013001765,1.6225294,0.0033005602,0.9747477,160.0,-1.1512889,0.0,320.0,0.0
8,0.0064434893,1.5689311,0.0017626975,0.9529425,180.0,-0.20608857,0.0,360.0,0.0
9,0.014923524,1.515023,0.0066370387,0.93095016,200.0,0.0040985835,0.2,400.0,0.025
10,0.00840679,1.471209,0.0011829892,0.9122743,220.0,-0.10211131,0.0,440.0,0.0
11,0.011752434,1.4306402,0.0027877307,0.8953307,240.0,0.69438857,0.4,480.0,0.0
12,-0.0033779982,1.394815,-0.004799883,0.88081706,260.0,1.0062407,0.5,520.0,0.05
13,0.005890878,1.3583369,7.4160285e-05,0.86467874,280.0,1.5062099,0.65,560.0,0.025
14,-0.0036478993,1.3249972,-0.0045699296,0.84986496,300.0,1.6365417,0.7,600.0,0.05
15,-0.0023475327,1.2952639,-0.002492372,0.8369082,320.0,1.3883417,0.4,640.0,0.025
16,0.0025263708,1.2684584,-0.00040948344,0.8252088,340.0,2.1398313,0.85,680.0,0.05
17,0.0051084086,1.2416031,0.001397925,0.81286573,360.0,2.0029447,0.8,720.0,0.05
18,0.009843043,1.2171036,0.0038047708,0.8014641,380.0,2.345081,0.95,760.0,0.1
19,0.011806653,1.1939135,0.0052016666,0.7914018,400.0,3.0362797,0.95,800.0,0.075
20,0.006573542,1.1725318,0.0025377208,0.78148675,420.0,2.6603673,1.0,840.0,0.1
21,0.007280483,1.1544483,0.0033199987,0.7727392,440.0,3.349632,1.0,880.0,0.175
22,0.006317192,1.138133,0.0024038586,0.76605344,460.0,3.0875514,1.0,920.0,0.15
23,0.004778323,1.122709,0.0015187813,0.75886357,480.0,3.2350185,1.0,960.0,0.15
24,0.008641087,1.1069397,0.0037809873,0.75217414,500.0,3.877914,1.0,1000.0,0.075
