epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.21293743,1.8564768,0.12400037,1.0790029,20.0,-1.6238204,0.0,40.0,0.0
1,0.033029072,1.7384415,0.021252163,1.0154167,40.0,-1.8424178,0.0,80.0,0.0
2,-0.08634312,1.689785,-0.05704259,0.99410164,60.0,-1.9380174,0.0,120.0,0.0
3,-0.07959752,1.6481055,-0.05553656,0.9756002,80.0,-2.9547303,0.0,160.0,0.0
4,-0.0752199,1.6532884,-0.05493439,0.9847207,100.0,-2.3848543,0.0,200.0,0.0
5,-0.043077275,1.608971,-0.035737522,0.96420145,120.0,-2.064723,0.0,240.0,0.0
6,-0.016160496,1.5563068,-0.019170322,0.9399188,140.0,-1.2792672,0.0,280.0,0.0
7,-0.027666215,1.5024886,-0.022737077,0.91801167,160.0,-1.0919689,0.0,320.0,0.0
8,-0.029790971,1.4563951,-0.02182881,0.90134376,180.0,-0.3051221,0.0,360.0,0.0
9,-0.027503863,1.4056001,-0.019774131,0.88112426,200.0,-0.084368095,0.0,400.0,0.0
10,-0.028314989,1.3599721,-0.020854395,0.86358035,220.0,0.3183653,0.0,440.0,0.0
11,-0.029890208,1.3200839,-0.021828499,0.8486172,240.0,0.49163952,0.2,480.0,0.0
12,-0.042396743,1.2870232,-0.028226374,0.83418715,260.0,1.1402999,0.3,520.0,0.0
13,-0.033982124,1.2555494,-0.024468074,0.820546,280.0,1.5961833,0.15,560.0,0.0
14,-0.039809752,1.2259189,-0.027050963,0.80737454,300.0,1.7278131,0.5,600.0,0.0
15,-0.033406388,1.1992607,-0.022359245,0.79565763,320.0,1.7420453,0.4,640.0,0.0
16,-0.027502839,1.1762342,-0.019756105,0.7867896,340.0,2.1065373,0.1,680.0,0.0
17,-0.023643449,1.1535192,-0.017023414,0.77665603,360.0,2.2151108,0.55,720.0,0.05
18,-0.017161904,1.132158,-0.013201067,0.7674514,380.0,2.6217215,0.5,760.0,0.0
19,-0.014569582,1.1120868,-0.011164899,0.75875366,400.0,3.178521,0.7,800.0,0.025
20,-0.017437475,1.0940261,-0.012463465,0.750157,420.0,2.7713575,0.65,840.0,0.025
21,-0.014755828,1.0780929,-0.010473033,0.74210227,440.0,3.3884327,0.8,880.0,0.0
22,-0.01291485,1.0638134,-0.010042282,0.73585826,460.0,3.1986852,0.95,920.0,0.0
23,-0.011604661,1.0508078,-0.009303465,0.7298912,480.0,3.3193269,0.8,960.0,0.025
24,-0.0069546653,1.0370276,-0.0071101915,0.7241783,500.0,3.8460298,1.0,1000.0,0.05
