epoch,loss
0,990.6411
1,366.97668
2,180.06111
3,115.73403
4,86.3003
5,65.82004
6,50.16217
7,36.889225
8,25.585207
9,16.933758
10,10.839986
11,6.9201493
12,4.857247
13,3.6632397
14,3.0586984
15,2.6310618
16,2.322861
17,2.0460541
18,1.8407326
19,1.6792716
20,1.5556902
21,1.4272054
22,1.3515784
23,1.2544595
24,1.1674
25,1.1071755
26,1.0376263
27,0.9869285
28,0.9228844
29,0.88826656
30,0.84936506
31,0.8098049
32,0.774278
33,0.739433
34,0.70309114
35,0.6834318
36,0.66171056
37,0.63484305
38,0.60384965
39,0.57936585
40,0.56145376
41,0.55295473
42,0.52369696
43,0.5014418
44,0.4834548
45,0.47720197
46,0.4622866
47,0.4470792
48,0.42569122
49,0.42647564
50,0.4091814
51,0.39102852
52,0.38699976
53,0.3812573
54,0.36408892
55,0.34626833
56,0.34098017
57,0.32803905
58,0.32160366
59,0.31254476
60,0.3128848
61,0.29832706
62,0.29597068
63,0.28858984
64,0.27768356
65,0.2703508
66,0.26807514
67,0.25309536
68,0.25475
69,0.24953549
70,0.24142452
71,0.23584507
72,0.22429784
73,0.2295352
74,0.22956257
75,0.21343821
76,0.2159167
77,0.22052002
78,0.20555662
79,0.19683035
