epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.013779275,2.0764055,0.03145616,1.1916966,20.0,0.80391055,0.0,40.0,0.0
1,-0.06545359,1.8206598,-0.029116897,1.0643132,40.0,0.34599274,0.0,80.0,0.0
2,-0.045193654,1.9937413,-0.018572068,1.1618904,60.0,0.5746388,0.0,120.0,0.0
3,-0.037543587,1.9913341,-0.01329642,1.1582108,80.0,1.1326365,0.0,160.0,0.0
4,-0.023446847,1.9981413,-0.009486033,1.1621606,100.0,0.23447393,0.0,200.0,0.0
5,-0.0033243503,2.0424814,-0.0020889877,1.1812629,120.0,3.4149384,0.05,240.0,0.0
6,0.012431277,2.0188406,0.004741268,1.1660455,140.0,4.4932747,0.0,280.0,0.0
7,-0.016240912,1.9721599,-0.011086556,1.1404743,160.0,2.526968,0.0,320.0,0.0
8,-0.034552313,1.9531455,-0.021907272,1.1294618,180.0,6.348866,0.1,360.0,0.0
9,-0.02485331,1.9523668,-0.01654603,1.1275077,200.0,5.630799,0.05,400.0,0.025
10,-0.024710016,1.9164232,-0.015710251,1.1093117,220.0,7.138581,0.3,440.0,0.125
11,-0.0325873,1.8898654,-0.02106977,1.0945046,240.0,9.628054,0.45,480.0,0.1
12,-0.013880724,1.8588455,-0.010237806,1.0777838,260.0,8.257049,0.3,520.0,0.225
13,-0.025832314,1.8413609,-0.017545175,1.068598,280.0,14.149993,0.75,560.0,0.3
14,-0.024194084,1.836571,-0.015243873,1.0657588,300.0,13.644599,0.55,600.0,0.275
15,-0.024137411,1.8231778,-0.014816083,1.0581647,320.0,11.398688,0.55,640.0,0.4
16,-0.019919192,1.813582,-0.012395803,1.0546079,340.0,14.833279,0.65,680.0,0.325
17,-0.023620127,1.7918289,-0.014571801,1.0444093,360.0,9.2920475,0.45,720.0,0.325
18,-0.019962328,1.805767,-0.012707436,1.0521963,380.0,14.3849125,0.6,760.0,0.225
19,-0.022825163,1.7932892,-0.014460814,1.0461156,400.0,10.150815,0.4,800.0,0.35
20,-0.010220762,1.7681422,-0.0072041894,1.0330575,420.0,10.628118,0.5,840.0,0.45
21,-0.010349756,1.7583323,-0.007816296,1.0276624,440.0,13.6098,0.55,880.0,0.35
22,-0.025845323,1.7553971,-0.016805062,1.026882,460.0,20.619118,0.85,920.0,0.3
23,-0.022964451,1.7374045,-0.014919015,1.0176346,480.0,17.593918,0.7,960.0,0.525
24,-0.017064186,1.724891,-0.011931441,1.0128108,500.0,16.2115,0.6,1000.0,0.45
25,-0.022068039,1.7183678,-0.013861956,1.0091693,520.0,21.182308,0.85,1040.0,0.45
26,-0.025739253,1.7123921,-0.015707366,1.0066413,540.0,17.871815,0.75,1080.0,0.5
27,-0.02531537,1.7012826,-0.01610073,1.0012163,560.0,20.59254,0.85,1120.0,0.55
28,-0.017376656,1.6858354,-0.011064945,0.99451846,580.0,18.242723,0.8,1160.0,0.525
29,-0.024422865,1.6759663,-0.01565121,0.99018526,600.0,19.49126,0.8,1200.0,0.525
30,-0.024192682,1.6536487,-0.015587764,0.9795036,620.0,21.222387,0.8,1240.0,0.675
31,-0.0229275,1.6423659,-0.014999831,0.9739218,640.0,23.865503,0.9,1280.0,0.675
32,-0.023621866,1.6262375,-0.015415522,0.966324,660.0,20.78656,0.8,1320.0,0.575
33,-0.0246046,1.6137551,-0.0159924,0.96014607,680.0,26.207762,0.95,1360.0,0.675
34,-0.024219977,1.6010934,-0.01582474,0.9542061,700.0,27.499807,0.95,1400.0,0.55
35,-0.022261098,1.583666,-0.014840804,0.94589937,720.0,21.647787,0.9,1440.0,0.75
36,-0.020257061,1.5683634,-0.013077218,0.939366,740.0,24.304617,1.0,1480.0,0.725
37,-0.022073846,1.5511327,-0.0142669305,0.9309746,760.0,23.634472,0.9,1520.0,0.775
38,-0.024285778,1.53355,-0.015452776,0.92270195,780.0,28.681652,1.0,1560.0,0.675
39,-0.023124002,1.52076,-0.014433883,0.9170339,800.0,27.33201,1.0,1600.0,0.525
