epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.49019754,1.9439287,0.2821393,1.1133946,20.0,0.10797955,0.0,40.0,0.0
1,0.22484809,2.0653005,0.13082984,1.1894369,40.0,0.041636545,0.0,80.0,0.0
2,0.04987283,1.9910207,0.028246734,1.1592249,60.0,0.10525989,0.0,120.0,0.0
3,0.020254828,1.9956477,0.0024730414,1.1626631,80.0,0.02088128,0.0,160.0,0.0
4,0.02415523,2.0121098,0.0020072833,1.1684806,100.0,0.05194699,0.0,200.0,0.025
5,0.07150691,2.0454524,0.03041865,1.1847693,120.0,0.12831505,0.0,240.0,0.0
6,0.121550255,2.0253377,0.05960755,1.1713616,140.0,0.15943629,0.0,280.0,0.0
7,0.11863545,2.01463,0.063588604,1.1651495,160.0,0.19732352,0.05,320.0,0.0
8,0.13103344,2.0167801,0.07028775,1.1665344,180.0,0.72777665,0.2,360.0,0.0
9,0.15878221,2.0177903,0.08641373,1.1677732,200.0,0.85545295,0.2,400.0,0.05
10,0.10798819,2.0259624,0.05716274,1.1694367,220.0,0.6739459,0.15,440.0,0.1
11,0.09438147,2.0068817,0.049113892,1.1592953,240.0,1.0180713,0.25,480.0,0.125
12,0.093949944,2.000337,0.049904373,1.1531329,260.0,1.941136,0.35,520.0,0.125
13,0.080336966,1.9865073,0.040962372,1.1454794,280.0,1.365079,0.25,560.0,0.125
14,0.08174396,1.9791912,0.044521026,1.1404448,300.0,2.2655852,0.4,600.0,0.2
15,0.10977849,1.9797759,0.061906777,1.1402713,320.0,2.5148246,0.4,640.0,0.05
16,0.099405415,1.9746945,0.055467837,1.1373845,340.0,2.948405,0.45,680.0,0.25
17,0.093894355,1.9705081,0.051939115,1.1360984,360.0,3.8978274,0.55,720.0,0.2
18,0.08850098,1.9553329,0.04848411,1.1280031,380.0,2.1794946,0.3,760.0,0.35
19,0.09636092,1.9409636,0.053896025,1.1207225,400.0,5.662755,0.7,800.0,0.25
20,0.08652939,1.9333543,0.04839209,1.117205,420.0,3.7692075,0.45,840.0,0.25
21,0.09069314,1.9142294,0.0509905,1.1070373,440.0,6.5366664,0.75,880.0,0.25
22,0.079178095,1.9046572,0.04255078,1.103328,460.0,5.024928,0.55,920.0,0.375
23,0.06891346,1.8906176,0.036490828,1.0965538,480.0,3.8173137,0.4,960.0,0.3
24,0.07160201,1.8879571,0.037842408,1.0953424,500.0,7.163522,0.75,1000.0,0.4
25,0.07358906,1.8750687,0.03969051,1.0883093,520.0,6.5292726,0.65,1040.0,0.475
26,0.07343303,1.8597393,0.03971167,1.0805001,540.0,7.6982746,0.75,1080.0,0.3
27,0.07464753,1.8432815,0.040738937,1.072406,560.0,10.483033,0.95,1120.0,0.325
28,0.06700491,1.8299198,0.036373217,1.0663568,580.0,10.447558,0.95,1160.0,0.45
29,0.063078,1.8144064,0.033928033,1.0585966,600.0,9.749192,0.85,1200.0,0.375
30,0.05974477,1.803263,0.031600665,1.0534332,620.0,9.706171,0.85,1240.0,0.3
31,0.06345402,1.7860812,0.034133192,1.0453368,640.0,9.217146,0.8,1280.0,0.475
32,0.068053015,1.7732794,0.03668292,1.039629,660.0,11.2155695,0.9,1320.0,0.575
33,0.07331701,1.7610435,0.039796915,1.0338062,680.0,11.029067,0.9,1360.0,0.3
34,0.072541,1.7435215,0.039537974,1.0255901,700.0,13.073805,1.0,1400.0,0.425
35,0.069973744,1.7275796,0.03801258,1.0180668,720.0,11.39402,0.85,1440.0,0.325
36,0.06982586,1.7128663,0.03828837,1.0113592,740.0,12.820199,0.95,1480.0,0.55
37,0.06736505,1.7029378,0.036835954,1.006192,760.0,13.422763,1.0,1520.0,0.4
38,0.064851105,1.6877663,0.035510108,0.9993459,780.0,13.289016,0.95,1560.0,0.525
39,0.059884995,1.6727242,0.032656036,0.9923569,800.0,14.111508,1.0,1600.0,0.475
