epoch,stats_o/mean,stats_o/std,test/Q,test/Q_plus_P,test/episodes,test/info_is_success_max,test/info_is_success_mean,test/info_is_success_min,test/info_shaping_reward_max,test/info_shaping_reward_mean,test/info_shaping_reward_min,test/reward_per_eps,test/steps,train/Q,train/Q_plus_P,train/episodes,train/info_is_success_max,train/info_is_success_mean,train/info_is_success_min,train/info_shaping_reward_max,train/info_shaping_reward_mean,train/info_shaping_reward_min,train/reward_per_eps,train/steps
0,0.43124208,0.061552238,-1.3436074,-1.3436074,10,0.0,0.0,0.0,-0.12701952189801863,-0.25598516093932616,-0.4788468082112668,-40.0,400,nan,nan,40,0.0,0.0,0.0,-0.11533223133313919,-0.2688199582490284,-0.4496128349558419,-40.0,1600
1,0.42395672,0.053168755,-1.6449171,-1.6449171,20,0.0,0.0,0.0,-0.1899893324293839,-0.2558127182509311,-0.33536959541551487,-40.0,800,nan,nan,80,0.0,0.0,0.0,-0.13713260055885157,-0.22460896688340526,-0.33311784490557,-40.0,3200
2,0.4191618,0.05053745,-1.9554083,-1.9554083,30,0.0,0.0,0.0,-0.17723732695529548,-0.22700874724772965,-0.2870303275763692,-40.0,1200,nan,nan,120,0.0,0.0,0.0,-0.1702649336248454,-0.2451897002972407,-0.32707376252349246,-40.0,4800
3,0.417164,0.047469627,-2.3287144,-2.3287144,40,0.0,0.0,0.0,-0.17800696403809274,-0.22408029846814975,-0.2806513331272324,-40.0,1600,nan,nan,160,0.0,0.0,0.0,-0.17657745937121727,-0.2455800589485781,-0.32227428071694564,-40.0,6400
4,0.41515115,0.0450875,-2.741546,-2.741546,50,0.0,0.0,0.0,-0.1634290697021742,-0.226510270617321,-0.2972572377540744,-40.0,2000,nan,nan,200,0.0,0.0,0.0,-0.16888481774519037,-0.233612106182202,-0.3060664225845905,-40.0,8000
5,0.4140661,0.04320137,-3.1439033,-3.1439033,60,0.0,0.0,0.0,-0.17047398688840779,-0.23494560579864984,-0.29062292451084715,-40.0,2400,nan,nan,240,0.0,0.0,0.0,-0.1795545678177599,-0.238094630075466,-0.2952918708357055,-40.0,9600
6,0.41361728,0.04200332,-3.5617719,-3.5617719,70,0.0,0.0,0.0,-0.18051539361107488,-0.25571539382309616,-0.27596296607717835,-40.0,2800,nan,nan,280,0.0,0.0,0.0,-0.17203672585543012,-0.24436549654733247,-0.31384045224516155,-40.0,11200
7,0.41366324,0.040906038,-3.967771,-3.967771,80,0.0,0.0,0.0,-0.16508084896294972,-0.22788877322357387,-0.27351811276498256,-40.0,3200,nan,nan,320,0.0,0.0,0.0,-0.1814729458519189,-0.24456412196022376,-0.3095159307626911,-40.0,12800
8,0.41325685,0.039875884,-4.3835793,-4.3835793,90,0.0,0.0,0.0,-0.1785913168639019,-0.23765182253733796,-0.3083781422104853,-40.0,3600,nan,nan,360,0.0,0.0,0.0,-0.1702468974914106,-0.239394158439662,-0.31775026808896467,-40.0,14400
9,0.41299298,0.038943585,-4.7871666,-4.7871666,100,0.0,0.0,0.0,-0.16614798266022682,-0.21902246133456557,-0.3030447730504905,-40.0,4000,nan,nan,400,0.0,0.0,0.0,-0.17076238355037412,-0.23196047106634757,-0.3007975872023817,-40.0,16000
10,0.4125555,0.038561475,-5.220507,-5.220507,110,0.0,0.0,0.0,-0.1562383781307461,-0.25546143618021394,-0.3231732906116486,-40.0,4400,nan,nan,440,0.0,0.0,0.0,-0.17644657976877012,-0.24801590565944015,-0.32119631194144704,-40.0,17600
11,0.4127486,0.038092013,-5.599419,-5.599419,120,0.0,0.0,0.0,-0.18735275704878807,-0.23285728445461146,-0.30584987983770173,-40.0,4800,nan,nan,480,0.0,0.0,0.0,-0.1649232181218753,-0.2405284752978994,-0.31511798911720545,-40.0,19200
12,0.4127479,0.037628878,-6.0069866,-6.0069866,130,0.0,0.0,0.0,-0.1695376306388194,-0.2269011133454452,-0.31158709684774927,-40.0,5200,nan,nan,520,0.0,0.0,0.0,-0.15547979097035441,-0.2380465141863397,-0.3165251006518586,-40.0,20800
13,0.41275835,0.037450653,-6.396289,-6.396289,140,0.0,0.0,0.0,-0.1571896317281247,-0.2060345518441343,-0.2722978875380906,-40.0,5600,nan,nan,560,0.0,0.0,0.0,-0.15774656998634878,-0.24010930152814716,-0.31982848631626626,-40.0,22400
14,0.4127487,0.037288852,-6.792903,-6.792903,150,0.0,0.0,0.0,-0.16276332017227318,-0.22592910684045012,-0.28328991912309737,-40.0,6000,nan,nan,600,0.0,0.0,0.0,-0.1702951690412527,-0.24533710781651447,-0.32751643808873687,-40.0,24000
15,0.41282198,0.037007656,-7.1559014,-7.1559014,160,0.0,0.0,0.0,-0.15755402011429387,-0.20782135387002554,-0.2719934371222301,-40.0,6400,nan,nan,640,0.0,0.0,0.0,-0.15529577564608488,-0.2283577612816449,-0.3124146424125735,-40.0,25600
16,0.4129176,0.036620606,-7.565344,-7.565344,170,0.0,0.0,0.0,-0.171012246540925,-0.22476026065309487,-0.29798569471891717,-40.0,6800,nan,nan,680,0.0,0.0,0.0,-0.1603668227652648,-0.22607199304405606,-0.3040123639573096,-40.0,27200
17,0.41312623,0.036424305,-7.9602523,-7.9602523,180,0.0,0.0,0.0,-0.18311289772030395,-0.23977935473913825,-0.3018640087093594,-40.0,7200,nan,nan,720,0.0,0.0,0.0,-0.15733907834704633,-0.2354704470158256,-0.3149806058383378,-40.0,28800
18,0.41309214,0.0362869,-8.319995,-8.319995,190,0.0,0.0,0.0,-0.17724939747650634,-0.25055581369806795,-0.3024714378711588,-40.0,7600,nan,nan,760,0.0,0.0,0.0,-0.15990366285029045,-0.23692367993066527,-0.3157560900002375,-40.0,30400
19,0.41328606,0.036146376,-8.687636,-8.687636,200,0.0,0.0,0.0,-0.1802232974354655,-0.23561565069551513,-0.2913631923498506,-40.0,8000,nan,nan,800,0.0,0.0,0.0,-0.16239978953159143,-0.23437654851808415,-0.32085053492656035,-40.0,32000
20,0.41333497,0.03595813,-9.068371,-9.068371,210,0.0,0.0,0.0,-0.15788476158186937,-0.21682528071416932,-0.31002270994468034,-40.0,8400,nan,nan,840,0.0,0.0,0.0,-0.1573033401933786,-0.23019178194929912,-0.3073529382354107,-40.0,33600
21,0.41343486,0.03582387,-9.434953,-9.434953,220,0.0,0.0,0.0,-0.1559911530076971,-0.20766000595229892,-0.2709590614814016,-40.0,8800,nan,nan,880,0.0,0.0,0.0,-0.13617387311420198,-0.22084999789423118,-0.31156013806993627,-40.0,35200
22,0.41348353,0.03558682,-9.806812,-9.806812,230,0.0,0.0,0.0,-0.18644327722470314,-0.22645014574166042,-0.28597884374374616,-40.0,9200,nan,nan,920,0.0,0.0,0.0,-0.151041332053148,-0.2158291963057533,-0.28991563604772347,-40.0,36800
23,0.4135431,0.035460852,-10.150011,-10.150011,240,0.0,0.0,0.0,-0.1697224089694497,-0.2103240261716588,-0.27648048429826644,-40.0,9600,nan,nan,960,0.0,0.0,0.0,-0.138155036229237,-0.22077319353753425,-0.31002734356340456,-40.0,38400
24,0.4135686,0.035404302,-10.524671,-10.524671,250,0.0,0.0,0.0,-0.16052728422400314,-0.21038622211990402,-0.28645144769105624,-40.0,10000,nan,nan,1000,0.0,0.0,0.0,-0.14124951435992508,-0.22748079300789997,-0.3099834605898476,-40.0,40000
25,0.41364536,0.035351668,-10.873887,-10.873887,260,0.0,0.0,0.0,-0.1624220237576661,-0.2083734856127169,-0.2683070576675907,-40.0,10400,nan,nan,1040,0.0,0.0,0.0,-0.14295026179653314,-0.22372330076255964,-0.3168210082349915,-40.0,41600
26,0.4134685,0.035374973,-11.211538,-11.211538,270,0.0,0.0,0.0,-0.16826629460240394,-0.2154719659126635,-0.28600200139326387,-40.0,10800,nan,nan,1080,0.0,0.0,0.0,-0.1468524126394834,-0.23109533113797184,-0.3072440671609654,-40.0,43200
27,0.4134867,0.03530885,-11.555471,-11.555471,280,0.0,0.0,0.0,-0.16556150993097257,-0.22539201942157355,-0.29379816182024265,-40.0,11200,nan,nan,1120,0.0,0.0,0.0,-0.13149915316142283,-0.21894857278057395,-0.3024971386318712,-40.0,44800
28,0.41327393,0.0352297,-11.894846,-11.894846,290,0.0,0.0,0.0,-0.15699997140418998,-0.20906815126581002,-0.29421069785101556,-40.0,11600,nan,nan,1160,0.0,0.0,0.0,-0.14738373802068896,-0.22691447398780523,-0.3116276062992716,-40.0,46400
29,0.4131935,0.03518874,-12.250204,-12.250204,300,0.0,0.0,0.0,-0.16882199467444373,-0.20627167411607275,-0.24968188246944203,-40.0,12000,nan,nan,1200,0.0,0.0,0.0,-0.14238720733793778,-0.22658479806058257,-0.3027110554129616,-40.0,48000
30,0.413209,0.035175446,-12.581805,-12.581805,310,0.0,0.0,0.0,-0.1672635980255664,-0.21274363883813735,-0.28430462019016306,-40.0,12400,nan,nan,1240,0.0,0.0,0.0,-0.13008383522097683,-0.21796569502651258,-0.3029880033826434,-40.0,49600
31,0.413303,0.03509802,-12.909443,-12.909443,320,0.0,0.0,0.0,-0.18467453967933678,-0.22311204199405432,-0.2964266628312009,-40.0,12800,nan,nan,1280,0.0,0.0,0.0,-0.1421301492727355,-0.21513110661574708,-0.3028444324339372,-40.0,51200
32,0.4132929,0.035053395,-13.235068,-13.235068,330,0.0,0.0,0.0,-0.1505362618045263,-0.21044219549417792,-0.3037156533418932,-40.0,13200,nan,nan,1320,0.0,0.0,0.0,-0.1317623032863096,-0.22117502107833045,-0.31166507413232203,-40.0,52800
33,0.41319135,0.034962866,-13.5599985,-13.5599985,340,0.0,0.0,0.0,-0.16929100436384867,-0.21945286216944154,-0.2914666404594701,-40.0,13600,nan,nan,1360,0.0,0.0,0.0,-0.1392853217746654,-0.22244077252686098,-0.3081780282484433,-40.0,54400
34,0.41313758,0.03501473,-13.887686,-13.887686,350,0.0,0.0,0.0,-0.1699392824797647,-0.20918475509998188,-0.27580435430567657,-40.0,14000,nan,nan,1400,0.0,0.0,0.0,-0.14692568920139404,-0.2200085515029439,-0.29156616759363546,-40.0,56000
35,0.4130188,0.03501551,-14.196536,-14.196536,360,0.0,0.0,0.0,-0.15862511779751437,-0.2227913196561118,-0.3081941992335277,-40.0,14400,nan,nan,1440,0.0,0.0,0.0,-0.13384539654944264,-0.22251196257925115,-0.32465947583704213,-40.0,57600
36,0.41308978,0.03501452,-14.498846,-14.498846,370,0.0,0.0,0.0,-0.19782980051814575,-0.23298911212016662,-0.31243680583496386,-40.0,14800,nan,nan,1480,0.0,0.0,0.0,-0.13385131254239815,-0.2268570975011907,-0.3128569351168172,-40.0,59200
37,0.41309193,0.034971155,-14.81583,-14.81583,380,0.0,0.0,0.0,-0.16621718077230196,-0.21204696760133362,-0.2949189418065945,-40.0,15200,nan,nan,1520,0.0,0.0,0.0,-0.14926999318453127,-0.22403361464110097,-0.300926878382162,-40.0,60800
38,0.41310382,0.03498467,-15.126534,-15.126534,390,0.0,0.0,0.0,-0.17110596796049563,-0.2121523412368601,-0.3037814073570483,-40.0,15600,nan,nan,1560,0.0,0.0,0.0,-0.14359297693281706,-0.22035023381639324,-0.30439808632683707,-40.0,62400
39,0.4129578,0.035001863,-15.403271,-15.403271,400,0.0,0.0,0.0,-0.17165030333348838,-0.22000788234146662,-0.29445451731129557,-40.0,16000,nan,nan,1600,0.0,0.0,0.0,-0.13793130021874284,-0.22886200997879907,-0.3262035767700093,-40.0,64000
40,0.41276017,0.03496781,-15.717688,-15.717688,410,0.0,0.0,0.0,-0.16934532020284665,-0.20655381943187132,-0.24975539308019373,-40.0,16400,nan,nan,1640,0.0,0.0,0.0,-0.14839564988176038,-0.22330717409857007,-0.29766865720208285,-40.0,65600
