epoch,stats_o/mean,stats_o/std,test/Q,test/Q_plus_P,test/episodes,test/info_is_success_max,test/info_is_success_mean,test/info_is_success_min,test/info_shaping_reward_max,test/info_shaping_reward_mean,test/info_shaping_reward_min,test/reward_per_eps,test/steps,train/Q,train/Q_plus_P,train/episodes,train/info_is_success_max,train/info_is_success_mean,train/info_is_success_min,train/info_shaping_reward_max,train/info_shaping_reward_mean,train/info_shaping_reward_min,train/reward_per_eps,train/steps
0,0.4404584,0.037735824,-1.3024591,-1.3024591,10,1.0,0.0425,0.0,-0.0052088340018334005,-0.08406533393482458,-0.22888662473469398,-38.3,400,nan,nan,40,0.0,0.0,0.0,-0.06764548513529692,-0.1426656473215145,-0.3161061992780917,-40.0,1600
1,0.44237438,0.036370512,-1.6393052,-1.6393052,20,1.0,0.0525,0.0,-0.0022614903260213255,-0.08553357489631207,-0.2246974213774296,-37.9,800,nan,nan,80,0.0,0.0,0.0,-0.06091271725017013,-0.11790248508554069,-0.24948799445216685,-40.0,3200
2,0.44322565,0.035532907,-1.9019504,-1.9019504,30,1.0,0.1725,0.0,-0.003227254806904907,-0.07900007049131151,-0.26934394935467504,-33.1,1200,nan,nan,120,0.1,0.01625,0.0,-0.06156727841131522,-0.12361323240185858,-0.2532753824564044,-39.35,4800
3,0.44288847,0.034465607,-2.2990568,-2.2990568,40,1.0,0.0975,0.0,-0.00717917524433189,-0.0938977048287676,-0.24424749906961574,-36.1,1600,nan,nan,160,0.1,0.00125,0.0,-0.06567035288966609,-0.12925832356098224,-0.25195528980425447,-39.95,6400
4,0.44159982,0.03463575,-2.5431075,-2.5431075,50,1.0,0.165,0.0,-0.012391667339804957,-0.09332623192984331,-0.23530582936460887,-33.4,2000,nan,nan,200,0.1,0.014374999999999999,0.0,-0.07066144806691387,-0.1630560723019368,-0.274438935850116,-39.425,8000
5,0.43939468,0.035324525,-3.1177535,-3.1177535,60,1.0,0.045,0.0,-0.012898089058312896,-0.12700296546643092,-0.2516085176609505,-38.2,2400,nan,nan,240,0.0,0.0,0.0,-0.08422416921319767,-0.1902684479493063,-0.28968034854115665,-40.0,9600
6,0.43777135,0.035642978,-2.9316058,-2.9316058,70,1.0,0.3425,0.0,-0.0014425824419433385,-0.07591622174066988,-0.24802331546752412,-26.3,2800,nan,nan,280,0.0,0.0,0.0,-0.08748481738075112,-0.18832265054217526,-0.2925351180549087,-40.0,11200
7,0.4356375,0.035873603,-3.7969074,-3.7969074,80,1.0,0.0475,0.0,-0.00431361825761243,-0.10065203453237505,-0.2628250372506589,-38.1,3200,nan,nan,320,0.0,0.0,0.0,-0.08615078331256854,-0.1927654337364057,-0.2894062469885408,-40.0,12800
8,0.43414438,0.035645127,-3.8542206,-3.8542206,90,1.0,0.19,0.0,-0.0037185481209191904,-0.08884142362461837,-0.24495569371109457,-32.4,3600,nan,nan,360,0.0,0.0,0.0,-0.0850678630747255,-0.17828602094192403,-0.273153025549479,-40.0,14400
9,0.43238714,0.03579486,-4.4850416,-4.4850416,100,0.0,0.0,0.0,-0.06980964924155382,-0.09503797496309183,-0.23998751928840692,-40.0,4000,nan,nan,400,0.0,0.0,0.0,-0.08192831312857532,-0.1817661808693955,-0.3070476232343461,-40.0,16000
10,0.4312457,0.035626363,-4.6300173,-4.6300173,110,0.0,0.0,0.0,-0.06853109280110514,-0.09364947830315147,-0.23883654289305373,-40.0,4400,nan,nan,440,0.0,0.0,0.0,-0.06868966436285803,-0.1592277482837438,-0.3022596999640783,-40.0,17600
11,0.43072906,0.035342462,-5.3225193,-5.3225193,120,0.0,0.0,0.0,-0.06831908742486766,-0.08760444711043376,-0.23918325121547432,-40.0,4800,nan,nan,480,0.0,0.0,0.0,-0.0563821083363803,-0.13748529146774696,-0.2660000582699661,-40.0,19200
12,0.43036386,0.034959313,-5.3555555,-5.3555555,130,1.0,0.0575,0.0,-0.004796549377388737,-0.082945321057786,-0.21474274902183674,-37.7,5200,nan,nan,520,0.0,0.0,0.0,-0.057077695616811405,-0.12714621034530652,-0.2597444773112768,-40.0,20800
