epoch,stats_o/mean,stats_o/std,test/Q,test/Q_plus_P,test/episodes,test/info_is_success_max,test/info_is_success_mean,test/info_is_success_min,test/info_shaping_reward_max,test/info_shaping_reward_mean,test/info_shaping_reward_min,test/reward_per_eps,test/steps,train/Q,train/Q_plus_P,train/episodes,train/info_is_success_max,train/info_is_success_mean,train/info_is_success_min,train/info_shaping_reward_max,train/info_shaping_reward_mean,train/info_shaping_reward_min,train/reward_per_eps,train/steps
0,0.43854964,0.038853202,-1.3106675,-1.3106675,10,0.0,0.0,0.0,-0.05410752987847076,-0.1279715372610266,-0.2827417187032878,-40.0,400,nan,nan,40,0.0,0.0,0.0,-0.07518509666414927,-0.173711297105428,-0.3000712573703391,-40.0,1600
1,0.4343741,0.04081165,-1.5806578,-1.5806578,20,0.0,0.0,0.0,-0.12586991858084026,-0.22669830102287492,-0.39368872724996284,-40.0,800,nan,nan,80,0.0,0.0,0.0,-0.07312769912562794,-0.17009068708721897,-0.28883509686833986,-40.0,3200
2,0.43101633,0.043854177,-1.9192923,-1.9192923,30,0.0,0.0,0.0,-0.1405717919801889,-0.21314219951129432,-0.2870998593097412,-40.0,1200,nan,nan,120,0.0,0.0,0.0,-0.12308769916709132,-0.22883746222096377,-0.35192539530067557,-40.0,4800
3,0.4297578,0.045829937,-2.3211164,-2.3211164,40,0.0,0.0,0.0,-0.15529577523857702,-0.23654702113891157,-0.3025553148156957,-40.0,1600,nan,nan,160,0.0,0.0,0.0,-0.1481009756661469,-0.24410120512535555,-0.35573069776501826,-40.0,6400
4,0.42885935,0.046304002,-2.762132,-2.762132,50,0.0,0.0,0.0,-0.16322025000728327,-0.24667859386464117,-0.35778333350747143,-40.0,2000,nan,nan,200,0.0,0.0,0.0,-0.1522667016358962,-0.23292226965526736,-0.328206871785706,-40.0,8000
5,0.4281081,0.046433304,-3.1579957,-3.1579957,60,0.0,0.0,0.0,-0.17566510689429235,-0.22632848106063502,-0.26640519608370716,-40.0,2400,nan,nan,240,0.0,0.0,0.0,-0.15022965649841188,-0.2346452435503193,-0.32809761349940003,-40.0,9600
6,0.42754638,0.046909437,-3.5658495,-3.5658495,70,0.0,0.0,0.0,-0.1811409281452223,-0.23920333159437235,-0.2888853472370396,-40.0,2800,nan,nan,280,0.0,0.0,0.0,-0.1524885157707196,-0.2421883491894398,-0.35116727517350776,-40.0,11200
7,0.4268379,0.046888564,-3.9696808,-3.9696808,80,0.0,0.0,0.0,-0.19729040914636875,-0.24240006490209445,-0.3164009124972252,-40.0,3200,nan,nan,320,0.0,0.0,0.0,-0.1700216884320622,-0.24273019662038423,-0.32855764359676487,-40.0,12800
8,0.42629477,0.04628228,-4.3799934,-4.3799934,90,0.0,0.0,0.0,-0.19178232331736467,-0.24318023140103334,-0.30227112494756075,-40.0,3600,nan,nan,360,0.0,0.0,0.0,-0.1492950756083884,-0.22060292872497014,-0.2983954189144357,-40.0,14400
9,0.42592502,0.046003688,-4.8091297,-4.8091297,100,0.0,0.0,0.0,-0.16923511195028493,-0.23091351801446092,-0.3173801259463313,-40.0,4000,nan,nan,400,0.0,0.0,0.0,-0.14922166639521747,-0.23105981963716854,-0.3137707808488115,-40.0,16000
