epoch,stats_o/mean,stats_o/std,test/Q,test/Q_plus_P,test/episodes,test/info_is_success_max,test/info_is_success_mean,test/info_is_success_min,test/info_shaping_reward_max,test/info_shaping_reward_mean,test/info_shaping_reward_min,test/reward_per_eps,test/steps,train/Q,train/Q_plus_P,train/episodes,train/info_is_success_max,train/info_is_success_mean,train/info_is_success_min,train/info_shaping_reward_max,train/info_shaping_reward_mean,train/info_shaping_reward_min,train/reward_per_eps,train/steps
0,0.44697657,0.06264899,-1.2727659,-1.2727659,10,0.0,0.0,0.0,-0.053106332183058505,-0.21561864180343412,-1.02214121888094,-40.0,400,nan,nan,40,0.0,0.0,0.0,-0.08585297259389424,-0.2887132778210264,-0.7415107143383564,-40.0,1600
1,0.44115806,0.061908882,-1.5195208,-1.5195208,20,0.0,0.0,0.0,-0.055880250534721156,-0.1487649676859202,-0.30005823266987786,-40.0,800,nan,nan,80,0.0,0.0,0.0,-0.08231936071141739,-0.2053541239959344,-0.4265031419471548,-40.0,3200
2,0.43358234,0.06280058,-1.9106354,-1.9106354,30,0.0,0.0,0.0,-0.08698947711247862,-0.22367706728292133,-0.47683959805664544,-40.0,1200,nan,nan,120,0.0,0.0,0.0,-0.08396116662886043,-0.2434809585124056,-0.4692174365836932,-40.0,4800
3,0.43127218,0.06038338,-2.28108,-2.28108,40,0.0,0.0,0.0,-0.058140654054909986,-0.17564221996335705,-0.32397503243294495,-40.0,1600,nan,nan,160,0.0,0.0,0.0,-0.0705985713327392,-0.20019619063508362,-0.34363699672953085,-40.0,6400
4,0.42849323,0.060254097,-2.6723492,-2.6723492,50,0.0,0.0,0.0,-0.08570789111662161,-0.1622634646804398,-0.31314684239232493,-40.0,2000,nan,nan,200,0.0,0.0,0.0,-0.10024695698651984,-0.23582705758546685,-0.43047533910105945,-40.0,8000
5,0.42904118,0.06506734,-3.120575,-3.120575,60,0.0,0.0,0.0,-0.1588334385284925,-0.5793760451955215,-1.0452996404577413,-40.0,2400,nan,nan,240,0.0,0.0,0.0,-0.10641595136241366,-0.31409232438877177,-0.6868147989772824,-40.0,9600
6,0.43019727,0.07004701,-3.5378666,-3.5378666,70,1.0,0.0375,0.0,-0.004632554595749708,-0.1605441445775655,-0.8249126910359152,-38.5,2800,nan,nan,280,0.0,0.0,0.0,-0.12999597051213987,-0.36957319619661033,-0.8568583385855048,-40.0,11200
7,0.4316646,0.06849231,-4.0929537,-4.0929537,80,0.0,0.0,0.0,-0.08382074116514357,-0.38389637023173206,-1.012121374559136,-40.0,3200,nan,nan,320,0.0,0.0,0.0,-0.062831845652939,-0.18892541633325996,-0.44762804215759777,-40.0,12800
8,0.43287942,0.066894464,-4.3471813,-4.3471813,90,0.0,0.0,0.0,-0.06508498116810274,-0.1472534225238182,-0.3040209418171095,-40.0,3600,nan,nan,360,0.0,0.0,0.0,-0.06135145877737447,-0.16846904760948472,-0.35997865633028087,-40.0,14400
9,0.43368682,0.065227576,-4.764402,-4.764402,100,1.0,0.0375,0.0,-0.002385530448465546,-0.11825762771473182,-0.31527521048149143,-38.5,4000,nan,nan,400,0.0,0.0,0.0,-0.059643463900824735,-0.15722274180295143,-0.3400590581765425,-40.0,16000
